"compound","sent1_modifier","sent1_head","sent2_modifier","sent2_head","sent3_modifier","sent3_head"
"ar livre","E vamos também construir uma piscina de livre em Vila Verde .","E vamos também construir uma piscina de ar em Vila Verde .","Artística , gosta de coisas bonitas e também da natureza e de livre .","Artística , gosta de coisas bonitas e também da natureza e de ar .","Este restaurante ao livre está especializado em pratos tradicionais brasileiros , como a galinhada caipira .","Este restaurante ao ar está especializado em pratos tradicionais brasileiros , como a galinhada caipira ."
"arma branca","Oito pessoas foram detidas com rojões e brancas .","Oito pessoas foram detidas com rojões e armas .","Gangues ligadas ao grupo costumam portar brancas e de fogo .","Gangues ligadas ao grupo costumam portar armas e de fogo .","Foices e facões são brancas de uso corriqueiro .","Foices e facões são armas de uso corriqueiro ."
"ato falho","Ocorre que temos razões para nossos esquecimentos , falhos e medos exagerados .","Ocorre que temos razões para nossos esquecimentos , atos e medos exagerados .","Astúcia proposital ou falho freudiano , a redação ambígua confere ao depoimento um valor que não tem .","Astúcia proposital ou ato freudiano , a redação ambígua confere ao depoimento um valor que não tem .","Mas não é um falho e , ao invés de atrapalhar , trás um elemento a mais para a narrativa .","Mas não é um ato e , ao invés de atrapalhar , trás um elemento a mais para a narrativa ."
"banho turco","Tome banho em um hammam , ou seja um turco .","Tome banho em um hammam , ou seja um banho .","Somente no século XVII houve a introdução das casas de saunas e turcos .","Somente no século XVII houve a introdução das casas de saunas e banhos .","O banho comunal na idade média e o turco tinham fins semelhantes .","O banho comunal na idade média e o banho tinham fins semelhantes ."
"batata-doce","Como entrada veio um ceviche amazônico com doce .","Como entrada veio um ceviche amazônico com batata .","O doce é um alimento de baixo índice glicêmico .","A batata é um alimento de baixo índice glicêmico .","Confira em quais preparações a doce pode ser utilizada .","Confira em quais preparações a batata pode ser utilizada ."
"bebida alcoólica","Você costuma ingerir alcoólica ?","Você costuma ingerir bebida ?","Proibiram a venda de alcoólicas ?","Proibiram a venda de bebidas ?","As alcoólicas podem causar consequências graves .","As bebidas podem causar consequências graves ."
"bode expiatório","A classe médica está sendo usada como expiatório .","A classe médica está sendo usada como bode .","Peguei - o para expiatório , Ziraldo ?","Peguei - o para bode , Ziraldo ?","Dialoguem e não arranjem mais um expiatório .","Dialoguem e não arranjem mais um bode ."
"braço direito","Ele era praticamente o direito de meu avô .","Ele era praticamente o braço de meu avô .","Não me considero direito do senhor Carlos .","Não me considero braço do senhor Carlos .","Tem 37 anos e é o direito de seu pai , Agustín .","Tem 37 anos e é o braço de seu pai , Agustín ."
"buraco negro","Esses negros poderiam ter tamanhos subatômicos .","Esses buracos poderiam ter tamanhos subatômicos .","Os negros primordiais são propostas teóricas .","Os buracos primordiais são propostas teóricas .","Um negro pode engolir pelo menos 10 . 000 sóis !","Um buraco pode engolir pelo menos 10 . 000 sóis !"
"café colonial","Termine a viagem na Floos Haus e saia rolando de tanto comer no colonial .","Termine a viagem na Floos Haus e saia rolando de tanto comer no café .","Os hotéis locais também oferecem boas alternativas , como noites de bailes e coloniais aos sábados .","Os hotéis locais também oferecem boas alternativas , como noites de bailes e café aos sábados .","Inclui colonial , almoço , jantar e todas as atividades de lazer , incluindo cavalgadas , caiaque e pesca esportiva .","Inclui café , almoço , jantar e todas as atividades de lazer , incluindo cavalgadas , caiaque e pesca esportiva ."
"caixa-forte","Experts em assaltos a cofres e fortes .","Experts em assaltos a cofres e caixas .","Quero que estes sejam instalados em forte em condições de conservação adequadas a cargo da câmara municipal .","Quero que estes sejam instalados em caixa em condições de conservação adequadas a cargo da câmara municipal .","A lucidez que lhe permitiu guardar esses presentes em uma forte blindada daquela casa , em vez dos guardar no Museu da Presidência da República .","A lucidez que lhe permitiu guardar esses presentes em uma caixa blindada daquela casa , em vez dos guardar no Museu da Presidência da República ."
"caixa-preta","Quando será aberta a preta do sindicalismo brasileiro ?","Quando será aberta a caixa do sindicalismo brasileiro ?","Eles foram convocados para abrir a preta do panamericano .","Eles foram convocados para abrir a caixa do panamericano .","Em suma : aparelhos são pretas que simulam o pensamento humano .","Em suma : aparelhos são caixas que simulam o pensamento humano ."
"caixeiro viajante","Além de marinheiro e viajante devo ter sido poeta . . .","Além de marinheiro e caixeiro devo ter sido poeta . . .","Os viajantes partiram , não para vender a produção , mas para vender o país .","Os caixeiros partiram , não para vender a produção , mas para vender o país .","Ridículo que os viajantes de agora tentam vender o que os outros vão produzir .","Ridículo que os caixeiros de agora tentam vender o que os outros vão produzir ."
"câmara fria","Fomos os primeiros da região a implantar uma fria para sementes .","Fomos os primeiros da região a implantar uma câmara para sementes .","A fria armazena cerca de 30 bois e a capacidade diária de abate chega a 60 bois diários .","A câmara armazena cerca de 30 bois e a capacidade diária de abate chega a 60 bois diários .","Logo após a produção os barris seguem para os bares da rede e permanecem armazenados em frias .","Logo após a produção os barris seguem para os bares da rede e permanecem armazenados em câmaras ."
"carne branca","Ideal para acompanhar brancas e massas .","Ideal para acompanhar carnes e massas .","As carnes vermelhas são mais nutritivas do que as brancas , com relação a micronutrientes .","As carnes vermelhas são mais nutritivas do que as carnes , com relação a micronutrientes .","Trata - se de branca , com pouca gordura e boa fonte de proteína .","Trata - se de carne , com pouca gordura e boa fonte de proteína ."
"carne vermelha","Você poderá comer frango grelhado ou cozido ao invés de vermelha .","Você poderá comer frango grelhado ou cozido ao invés de carne .","Como os nutricionistas vêem o consumo de vermelha ?","Como os nutricionistas vêem o consumo de carne ?","Ideal para acompanhar vermelhas , caças e porco .","Ideal para acompanhar carnes , caças e porco ."
"carro-forte","Quando o forte deixou o banco , os veículos ingressaram no estacionamento .","Quando o carro deixou o banco , os veículos ingressaram no estacionamento .","Já tivemos ministros que nem sabiam a diferença entre um blindado e um forte .","Já tivemos ministros que nem sabiam a diferença entre um blindado e um carro .","Assaltos mais ousados passaram a acontecer , e os fortes foram se tornando verdadeiras fortalezas .","Assaltos mais ousados passaram a acontecer , e os carros foram se tornando verdadeiras fortalezas ."
"carta aberta","Reproduzimos , na íntegra a aberta que foi redigida em inglês , macuxi e português .","Reproduzimos , na íntegra a carta que foi redigida em inglês , macuxi e português .","A aberta também faz denúncias de descaso com a saúde de indígenas .","A carta também faz denúncias de descaso com a saúde de indígenas .","As cartas argumentativas podem ser : aberta à população , carta de reclamação e carta de solicitação .","As cartas argumentativas podem ser : carta à população , carta de reclamação e carta de solicitação ."
"centro comercial","A chuva levou muita gente aos comerciais .","A chuva levou muita gente aos centros .","Normalmente , os restaurantes encontram - se dentro de comerciais .","Normalmente , os restaurantes encontram - se dentro de centros .","Pedimos para ir ao maior comercial de Delhi .","Pedimos para ir ao maior centro de Delhi ."
"centro espírita","Qual o papel que o espírita deve desempenhar ?","Qual o papel que o centro deve desempenhar ?","O espírita tem que ser o lugar de doutrina espírita .","O centro tem que ser o lugar de doutrina espírita .","O público que frequenta um espírita busca o que em uma palestra ?","O público que frequenta um centro busca o que em uma palestra ?"
"cerca viva","É bem possível realizar uma viva , com espécies distintas ao redor da horta .","É bem possível realizar uma cerca , com espécies distintas ao redor da horta .","Ela forma uma ótima viva quando plantada a cada metro e meio .","Ela forma uma ótima cerca quando plantada a cada metro e meio .","Também são cultivadas para vivas inclusive de divisas territoriais e para sombreamento de estradas .","Também são cultivadas para cercas inclusive de divisas territoriais e para sombreamento de estradas ."
"céu aberto","Em Florianópolis , o shopping a aberto será na rua Vidal Ramos .","Em Florianópolis , o shopping a céu será na rua Vidal Ramos .","Eram umas lobas que , a aberto lutavam raivosamente para proteger sua tribo .","Eram umas lobas que , a céu lutavam raivosamente para proteger sua tribo .","O Inhotim reune obras de arte a aberto , galerias e um acervo com cerca de 500 obras de arte .","O Inhotim reune obras de arte a céu , galerias e um acervo com cerca de 500 obras de arte ."
"cheiro-verde","Pique o verde e as folhas de aipo .","Pique o cheiro e as folhas de aipo .","Bouquet garni : palavra de origem francesa que significa um ramalhete de verdes .","Bouquet garni : palavra de origem francesa que significa um ramalhete de cheiros .","Acerte o sal e finalize com suco de limão cravo e o verde .","Acerte o sal e finalize com suco de limão cravo e o cheiro ."
"circuito integrado","Nascia aí o integrado , um pequeno pedaço , um pequeno chip .","Nascia aí o circuito , um pequeno pedaço , um pequeno chip .","Em 1965 , produziu seu primeiro integrado experimental e começou a lançar equipamentos electrônicos transistorizados .","Em 1965 , produziu seu primeiro circuito experimental e começou a lançar equipamentos electrônicos transistorizados .","Isto culminou com a construção do primeiro integrado no final da década de sessenta .","Isto culminou com a construção do primeiro circuito no final da década de sessenta ."
"círculo vicioso","Como cortar este vicioso negativo , destrutivo ?","Como cortar este círculo negativo , destrutivo ?","Acelerou - se o vicioso entre finanças e política .","Acelerou - se o círculo entre finanças e política .","Comendo mais , engorda e assim começa um vicioso .","Comendo mais , engorda e assim começa um círculo ."
"círculo virtuoso","Em um virtuoso , o processo se auto - alimenta .","Em um círculo , o processo se auto - alimenta .","Um comportamento altruístico que gera o virtuoso da reciprocidade .","Um comportamento altruístico que gera o círculo da reciprocidade .","Foi criado um virtuoso , em que se geram empregos formais , com salários maiores .","Foi criado um círculo , em que se geram empregos formais , com salários maiores ."
"classe executiva","E ainda falta contar o preço de as passagens , todas na executiva .","E ainda falta contar o preço de as passagens , todas na classe .","Ninguém viaja de executiva e os quartos dos hotéis são sempre compartilhados .","Ninguém viaja de classe e os quartos dos hotéis são sempre compartilhados .","Os lounges para primeira classe e executiva ficam no andar de cima .","Os lounges para primeira classe e classe ficam no andar de cima ."
"colégio militar","Ela tem apenas 18 anos e cursa o último ano no militar de Porto Alegre .","Ela tem apenas 18 anos e cursa o último ano no colégio de Porto Alegre .","Em 1960 ingressou no militar em Lisboa .","Em 1960 ingressou no colégio em Lisboa .","Cursou o militar do Rio de Janeiro , no qual obteve o diploma de agrimensor .","Cursou o colégio do Rio de Janeiro , no qual obteve o diploma de agrimensor ."
"coluna social","O casal foi o assunto em todas as sociais .","O casal foi o assunto em todas as colunas .","Seus rostos ilustram as sociais e as revistas de fofocas revelam sua vida privada .","Seus rostos ilustram as colunas e as revistas de fofocas revelam sua vida privada .","Depois de três anos vivendo em Washington , ele nunca apareceu em sociais .","Depois de três anos vivendo em Washington , ele nunca apareceu em colunas ."
"comida caseira","Deve estar habituado a caseira porque só quer latas de comida .","Deve estar habituado a comida porque só quer latas de comida .","Na passagem vimos uma plaquinha em uma casa anunciando caseira .","Na passagem vimos uma plaquinha em uma casa anunciando comida .","No fundo do quintal tem mesinhas onde ela serve caseira .","No fundo do quintal tem mesinhas onde ela serve comida ."
"companhia aérea","A TAM linhas aéreas é uma aérea brasileira .","A TAM linhas aéreas é uma companhia brasileira .","A Varig foi a primeira aérea brasileira .","A Varig foi a primeira companhia brasileira .","Nossas aéreas têm um histórico assustador .","Nossas companhias têm um histórico assustador ."
"conta-corrente","O governo britânico ameaçou congelar poupanças islandesas e correntes .","O governo britânico ameaçou congelar poupanças islandesas e contas .","Por exemplo , as transações ilegais de valores de correntes .","Por exemplo , as transações ilegais de valores de contas .","Um cartão de débito tem ligação com sua corrente .","Um cartão de débito tem ligação com sua conta ."
"coração partido","Está com o partido , sangrando por dentro ?","Está com o coração , sangrando por dentro ?","Estou realmente destruída , com o meu partido .","Estou realmente destruída , com o meu coração .","A dor de um partido é inevitável , mas o sofrimento é opcional .","A dor de um coração é inevitável , mas o sofrimento é opcional ."
"corda bamba","Você está sempre à beira do erro , na bamba .","Você está sempre à beira do erro , na corda .","É difícil viver o tempo todo nessa bamba .","É difícil viver o tempo todo nessa corda .","É uma bamba , mas acho que conseguimos nos equilibrar muito bem .","É uma corda , mas acho que conseguimos nos equilibrar muito bem ."
"cordas vocais","Sussurrar não poupa as vocais , muito pelo contrário .","Sussurrar não poupa as cordas , muito pelo contrário .","A freqüência da voz é determinada pelas vocais .","A freqüência da voz é determinada pelas cordas .","Crises de tosse também podem causar lesão nas vocais .","Crises de tosse também podem causar lesão nas cordas ."
"curto-circuito","A memória entra em circuito .","A memória entra em curto .","Apagaram as luzes com um circuito na casa de força .","Apagaram as luzes com um curto na casa de força .","O incêndio foi provocado pelo circuito de um video - game .","O incêndio foi provocado pelo curto de um video - game ."
"deputado federal","Ele quer se candidatar a federal em 2014 .","Ele quer se candidatar a deputado em 2014 .","Em 1986 , elegeu - se federal por São Paulo .","Em 1986 , elegeu - se deputado por São Paulo .","O Nordeste tem 27 senadores e mais de uma centena de federais .","O Nordeste tem 27 senadores e mais de uma centena de deputados ."
"desfile militar","Durante este festival os Sikhs realizam militares e espectáculos de artes marciais .","Durante este festival os Sikhs realizam desfiles e espectáculos de artes marciais .","Apenas será mantido o militar na avenida Champs - Élysées .","Apenas será mantido o desfile na avenida Champs - Élysées .","Em Moscou , a data é comemorada com militares , apresentações musicais e queima de fogos .","Em Moscou , a data é comemorada com desfiles , apresentações musicais e queima de fogos ."
"direitos humanos","Os crimes relacionados com humanos prescrevem ?","Os crimes relacionados com direitos prescrevem ?","Defensor ou agressor dos humanos ?","Defensor ou agressor dos direitos ?","O documento citará a violação de humanos .","O documento citará a violação de direitos ."
"disco rígido","Os spywares exploram os cookies armazenados no rígido .","Os spywares exploram os cookies armazenados no disco .","20Mb de espaço disponível no rígido ;","20Mb de espaço disponível no disco ;","A imagem do sistema deve ser salva em um rígido .","A imagem do sistema deve ser salva em um disco ."
"disco voador","Ilustração do que se acredita serem voadores .","Ilustração do que se acredita serem discos .","Estamos totalmente alheios a esse assunto de voador .","Estamos totalmente alheios a esse assunto de disco .","Um encontro fatal com tripulantes de um voador ?","Um encontro fatal com tripulantes de um disco ?"
"efeito especial","Os especiais são convincentes .","Os efeitos são convincentes .","A cena é grotesca , com especiais exagerados e nojentos .","A cena é grotesca , com efeitos exagerados e nojentos .","Um mundo repleto de fabulosos especiais tridimensionais .","Um mundo repleto de fabulosos efeitos tridimensionais ."
"elefante branco","Alguns dos estádios novos foram criticados por se tornarem """" brancos """" após a Copa .","Alguns dos estádios novos foram criticados por se tornarem """" elefantes """" após a Copa .","Tenho preocupação com o futuro do estádio de Manaus , pode ser mesmo um branco .","Tenho preocupação com o futuro do estádio de Manaus , pode ser mesmo um elefante .","Os projectos megalómanos pontificavam - se como verdadeiros brancos desbaratando a eito toda a ajuda da cooperação internacional","Os projectos megalómanos pontificavam - se como verdadeiros elefantes desbaratando a eito toda a ajuda da cooperação internacional"
"escada rolante","Os elevadores , rolantes e esteiras rolantes ;","Os elevadores , escadas e esteiras rolantes ;","Próximo existem duas rolantes e dois elevadores .","Próximo existem duas escadas e dois elevadores .","Nas outras subo de rolante com acompanhante .","Nas outras subo de escada com acompanhante ."
"estrela cadente","Um meteoro é também por vezes designado de cadente .","Um meteoro é também por vezes designado de estrela .","Nosso sistema solar também apresenta um fenômeno atmosférico frequente : as cadentes .","Nosso sistema solar também apresenta um fenômeno atmosférico frequente : as estrelas .","E não é que uma chuva de cadentes caiu sobre a Terra ?","E não é que uma chuva de estrelas caiu sobre a Terra ?"
"exame clínico","Esse diagnostico é realizado através de clínico e radiográfico .","Esse diagnostico é realizado através de exame e radiográfico .","Simples clínico poderia perfeitamente atender à exigência do tipo .","Simples exame poderia perfeitamente atender à exigência do tipo .","Durante um clínico , muitas vezes o médico pode palpar a bexiga cheia .","Durante um exame , muitas vezes o médico pode palpar a bexiga cheia ."
"exame laboratorial","Reagentes aceleram o resultado de laboratoriais .","Reagentes aceleram o resultado de exames .","O diagnóstico é feito através de laboratoriais .","O diagnóstico é feito através de exames .","Não basta fazer laboratoriais e radiografias para estabelecer o diagnóstico .","Não basta fazer exames e radiografias para estabelecer o diagnóstico ."
"farinha integral","Elaboração de macarrão cozido à base de integral de quinoa e farinha de arroz .","Elaboração de macarrão cozido à base de farinha de quinoa e farinha de arroz .","Use integral em lugar da farinha branca ou fina , que é pobre de elementos nutritivos .","Use farinha em lugar da farinha branca ou fina , que é pobre de elementos nutritivos .","Cada uma dessas linhas tem várias subdivisões com pães elaborados a partir de matérias - primas como centeio , glúten , linhaça e integral .","Cada uma dessas linhas tem várias subdivisões com pães elaborados a partir de matérias - primas como centeio , glúten , linhaça e farinha ."
"febre amarela","Jean - Baptiste morreu de amarela quando o filho tinha quinze meses .","Jean - Baptiste morreu de febre quando o filho tinha quinze meses .","O Rio de Janeiro era assolado por doenças como varíola e amarela .","O Rio de Janeiro era assolado por doenças como varíola e febre .","Fui olhar o meu atestado de vacina contra amarela .","Fui olhar o meu atestado de vacina contra febre ."
"ficha limpa","A questão da corrupção , da limpa .","A questão da corrupção , da ficha .","Não há objeção dos deputados para que haja limpa .","Não há objeção dos deputados para que haja ficha .","Só deputado e senador têm que ter limpa ?","Só deputado e senador têm que ter ficha ?"
"fila indiana","Caminhavam em indiana , uma influência indígena .","Caminhavam em fila , uma influência indígena .","Seguimos em indiana subindo e descendo encostas de areia carregando nossas enormes mochilas .","Seguimos em fila subindo e descendo encostas de areia carregando nossas enormes mochilas .","Chamamos de indiana a fila em que uma pessoa fica atrás da outra esperando sua vez .","Chamamos de fila a fila em que uma pessoa fica atrás da outra esperando sua vez ."
"fio condutor","Esse é o condutor dessa coletânea de textos .","Esse é o fio dessa coletânea de textos .","Tem um condutor em redor do qual se desencadeia toda a história .","Tem um fio em redor do qual se desencadeia toda a história .","A grande preocupação foi que houvesse um condutor em todo o concerto .","A grande preocupação foi que houvesse um fio em todo o concerto ."
"força bruta","A bruta seria a solução para a criminalidade que nos assola .","A força seria a solução para a criminalidade que nos assola .","A mobilidade da vida social moderna exige inteligência , não bruta ;","A mobilidade da vida social moderna exige inteligência , não força ;","Usar a bruta , para tentar impor um ponto de vista não vai funcionar .","Usar a força , para tentar impor um ponto de vista não vai funcionar ."
"gato-pingado","Não deu quase ninguém , só alguns pingados !","Não deu quase ninguém , só alguns gatos !","Os esquerdistas , na comparação , eram meia dúzia de pingados .","Os esquerdistas , na comparação , eram meia dúzia de gatos .","Se der mil pingados pode registrar como o primeiro milagre no século XXI .","Se der mil gatos pode registrar como o primeiro milagre no século XXI ."
"gelo-seco","Weldon igualou os efeitos filmados em Yellowstone com seco e máquinas de fumaça .","Weldon igualou os efeitos filmados em Yellowstone com gelo e máquinas de fumaça .","Sim , o seco , que é dióxido de carbono na forma sólida , é uma substância perigosa .","Sim , o gelo , que é dióxido de carbono na forma sólida , é uma substância perigosa .","Os pólos estão cobertos por calotas polares formadas por seco ( dióxido de carbono congelado ) e gelo de água .","Os pólos estão cobertos por calotas polares formadas por gelo ( dióxido de carbono congelado ) e gelo de água ."
"golpe baixo","A Internet abre possibilidades sem fim para abusos e baixos .","A Internet abre possibilidades sem fim para abusos e golpes .","Em esse campo são corriqueiras as brigas judiciais , baixos e acusações de favorecimento .","Em esse campo são corriqueiras as brigas judiciais , golpes e acusações de favorecimento .","No afã de alcançar seus objetivos , para alguns vale tudo , até baixos .","No afã de alcançar seus objetivos , para alguns vale tudo , até golpes ."
"governo federal","Apenas o federal teria essa autoridade .","Apenas o governo teria essa autoridade .","Armados e treinados pelo federal .","Armados e treinados pelo governo .","Uma crise política abalou o federal .","Uma crise política abalou o governo ."
"gripe aviária","Há suspeitas de que o foco da aviária tenha surgido nesses locais .","Há suspeitas de que o foco da gripe tenha surgido nesses locais .","Seja essa pandemia causada pelo vírus da aviária , suína ou qualquer outro .","Seja essa pandemia causada pelo vírus da gripe , suína ou qualquer outro .","Os porcos também podem ser infectados por vírus da aviária e por vírus da influenza sazonal humana .","Os porcos também podem ser infectados por vírus da gripe e por vírus da influenza sazonal humana ."
"gripe suína","Como a suína se espalha ?","Como a gripe se espalha ?","Como diferenciar entre gripe comum e suína ?","Como diferenciar entre gripe comum e gripe ?","Existe uma vacina que combate a suína ?","Existe uma vacina que combate a gripe ?"
"guarda-florestal","Um florestal faz patrulhas regulares para afastar os caçadores .","Um guarda faz patrulhas regulares para afastar os caçadores .","Ele foi no início utilizado por florestais para combater a caça clandestina .","Ele foi no início utilizado por guardas para combater a caça clandestina .","No inverno , só pode visitar a Spruce Tree House em uma visita guiada por um florestal .","No inverno , só pode visitar a Spruce Tree House em uma visita guiada por um guarda ."
"jogo duro","Eu sou franco e duro , não abro mão de aquilo que eu gosto .","Eu sou franco e jogo , não abro mão de aquilo que eu gosto .","A captação de recursos privados tem sido afetada pelo duro do Planalto e pela ausência de uma lei das ONGs .","A captação de recursos privados tem sido afetada pelo jogo do Planalto e pela ausência de uma lei das ONGs .","A oposição fez um duro , não dando trégua , na esperança de enfraquecer lula e derrotá - lo","A oposição fez um jogo , não dando trégua , na esperança de enfraquecer lula e derrotá - lo"
"juízo final","A ressurreição dos mortos ocorrerá antes do final .","A ressurreição dos mortos ocorrerá antes do juízo .","A parede do fundo exibia cenas relativas ao final .","A parede do fundo exibia cenas relativas ao juízo .","Esse veredito de Deus sobre Davi nos leva ao grande final .","Esse veredito de Deus sobre Davi nos leva ao grande juízo ."
"leite integral","Depois do primeiro aniversário , já dá para dar integral .","Depois do primeiro aniversário , já dá para dar leite .","O brasileiro aumentou o consumo de integral e carne com gordura .","O brasileiro aumentou o consumo de leite e carne com gordura .","Troque o integral pelo desnatado e economize nas calorias .","Troque o leite pelo desnatado e economize nas calorias ."
"lista negra","Maradona e Palermo também estão na negra de Román .","Maradona e Palermo também estão na lista de Román .","Passou sete meses com homens que estavam na negra de Israel .","Passou sete meses com homens que estavam na lista de Israel .","Quem se recusasse a aceitar esse Evangelho era colocado na negra .","Quem se recusasse a aceitar esse Evangelho era colocado na lista ."
"livre-docente","Sou também mestre e doutor , e depois docente .","Sou também mestre e doutor , e depois livre .","Membro da American Academy of Forensic Science , Wilmes é docente e dá aulas em três faculdades .","Membro da American Academy of Forensic Science , Wilmes é livre e dá aulas em três faculdades .","Seu pai era químico e foi docente da Universidade de Praga .","Seu pai era químico e foi livre da Universidade de Praga ."
"livro aberto","Quem adora desta forma nada tem a esconder , sua vida é um aberto .","Quem adora desta forma nada tem a esconder , sua vida é um livro .","Você é simplesmente um aberto , contando ao mundo a respeito de seu autor .","Você é simplesmente um livro , contando ao mundo a respeito de seu autor .","Porque eu posso ser um aberto - mas algumas páginas estão e continuarão coladas , hehehe .","Porque eu posso ser um livro - mas algumas páginas estão e continuarão coladas , hehehe ."
"longa data","Todos vocês me conhecem de data .","Todos vocês me conhecem de longa .","Essa colaboração de data também ajuda .","Essa colaboração de longa também ajuda .","Não é que fôssemos amigos de data .","Não é que fôssemos amigos de longa ."
"longa-metragem","A metragem tem Isabella Rossellini no elenco .","O longa tem Isabella Rossellini no elenco .","A metragem mudo francês quebrou diversos paradigmas .","O longa mudo francês quebrou diversos paradigmas .","Seus documentários de metragem alcançaram grande sucesso .","Seus documentários de longa alcançaram grande sucesso ."
