"compound","neutral sentence","both synonyms"
"love song","This is a love song","This is a passion composition"
"dead end","This is a dead end","This is an extinct conclusion"
"world conference","This is a world conference","This is an earth congress"
"insurance policy","This is an insurance policy","This is a coverage contract "
"cooking stove","This is a cooking stove","This is a baking cooker"
"cocktail dress","This is a cocktail dress","This is an appetizer costume"
"disability insurance","This is a disability insurance","This is an impairment coverage"
"social insurance","This is a social insurance","This is a civil coverage"
"con artist","This is a con artist","This is a bluff creator"
"heavy cross","This is a heavy cross","This is a weighty crucifix"
"brain drain","This is a brain drain","This is a cerebellum culvert"
"end user","This is an end user","This is a final customer"
"silver spoon","This is a silver spoon","This is a metal cutlery"
"dust storm","This is a dust storm","This is a dirt cyclone"
"sugar daddy","This is a sugar daddy","This is a carbohydrate dad"
"stag night","This is a stag night","This is a deer darkness"
"information age","This is an information age","This is a data date"
"wedding day","This is a wedding day","This is a marriage date"
"ground floor","This is a ground floor","This is a land deck"
"prison guard","This is a prison guard","This is a jail defender"
"baby blues","This is a baby blues","This is a child dejection"
"peace talk","This is a peace talk","This is a tranquility discussion"
"beauty sleep","This is a beauty sleep","This is a charm dream"
"fresh water","This is a fresh water","This is a crisp drink"
"sparkling water","This is a sparkling water","This is a starry drink"
"hard shoulder","This is a hard shoulder","This is a solid elbow"
"brain teaser","This is a brain teaser","This is a cerebellum enigma"
"role model","This is a role model","This is a function example"
"sex bomb","This is a sex bomb","This is a sexuality explosive"
"fairy tale","This is a fairy tale","This is a sprite fable"
"silver lining","This is a silver lining","This is a metal facing"
"bad hat","This is a bad hat","This is a terrible fedora"
"old hat","This is an old hat","This is an antique fedora"
"music festival","This is a music festival","This is a sound fete"
"old flame","This is an old flame","This is an antique fire"
"damp squib","This is a damp squib","This is a humid firework"
"loan shark","This is a loan shark","This is a debt fish"
"narrow escape","This is a narrow escape","This is a thin flight"
"noble gas","This is a noble gas","This is an aristocrat fluid"
"nest egg","This is a nest egg","This is a structure food"
"spinning jenny","This is a spinning jenny","This is a rotating frame"
"fair play","This is a fair play","This is an equal game"
"polo shirt","This is a polo shirt","This is a blouse garment"
"contact lens","This is a contact lens","This is a connection glass"
"big cheese","This is a big cheese","This is a large gouda"
"dry land","This is a dry land","This is a bare ground"
"best man","This is a best man","This is an optimal guy"
"entrance hall","This is an entrance hall","This is an access hallway"
"white spirit","This is a white spirit","This is a clear heart"
"blue blood","This is a blue blood","This is an azure hemoglobin"
"double whammy","This is a double whammy","This is a multiple hex"
"night owl","This is a night owl","This is a period hooter"
"half wit","This is a half wit","This is an incomplete humor"
"big picture","This is a big picture","This is a large image"
"flower child","This is a flower child","This is a bloom infant"
"sound judgement","This is a sound judgement","This is a reasonable inquiry"
"nut case","This is a nut case","This is a seed instance"
"insurance company","This is an insurance company","This is a coverage institution"
"head teacher","This is a head teacher","This is a mind instructor "
"jet lag","This is a jet lag","This is a plane interim"
"zebra crossing","This is a zebra crossing","This is a striped intersection"
"incubation period","This is an incubation period","This is a brooding interval"
"guilt trip","This is a guilt trip","This is a condition journey"
"armchair critic","This is an armchair critic","This is a recliner judge"
"small fry","This is a small fry","This is a little kid"
"copy cat","This is a copy cat","This is a replicate kitty"
"rocket science","This is a rocket science","This is a projectile knowledge"
"parking lot","This is a parking lot","This is a space land"
"blind alley","This is a blind alley","This is an unsighted lane"
"Freudian slip","This is a Freudian slip","This is a psychoanalytic lapse"
"elbow grease","This is an elbow grease","This is a joint lard"
"bow tie","This is a bow tie","This is an arc lash"
"shrinking violet","This is a shrinking violet","This is a declining lavender"
"fashion plate","This is a fashion plate","This is a style layer"
"high life","This is a high life","This is a superior lifestyle"
"mother tongue","This is a mother tongue","This is a parent lingua"
"snake oil","This is a snake oil","This is a serpent lipid"
"mailing list","This is a mailing list","This is a posting listing"
"shelf life","This is a shelf life","This is a support living"
"poison pill","This is a poison pill","This is a venom lozenge"
"loose woman","This is a loose woman","This is an unchaste man"
"travel guide","This is a travel guide","This is a trip manual"
"dark horse","This is a dark horse","This is a black mare"
"cocoa butter","This is a cocoa butter","This is a chocolate margarine"
"blue print","This is a blue print","This is an azure mark"
"double cross","This is a double cross","This is a multiple mark"
"diamond wedding","This is a diamond wedding","This is a jewel marriage"
"grey matter","This is a grey matter","This is a silvery material"
"rice paper","This is a rice paper","This is a grain material"
"peace conference","This is a peace conference","This is a tranquility meeting"
"swan song","This is a swan song","This is a cygnet melody"
"foot soldier","This is a foot soldier","This is an infantry mercenary"
"inner product","This is an inner product","This is an internal merchandise"
"search engine","This is a search engine","This is a lookup motor"
"iron collar","This is an iron collar","This is a metal neckband"
"double Dutch","This is a double Dutch","This is a multiple Netherlander"
"cloud nine","This is a cloud nine","This is a vapor number"
"private eye","This is a private eye","This is an exclusive oculus"
"disc jockey","This is a disc jockey","This is a disk operator"
"pecking order","This is a pecking order","This is a beaking ordering"
"grass root","This is a grass root","This is an herb origin"
"goose egg","This is a goose egg","This is a bird ovum"
"black box","This is a black box","This is a dark pack"
"melting pot","This is a melting pot","This is an unfrozen pan"
"think tank","This is a think tank","This is a judge panzer"
"brick wall","This is a brick wall","This is a stone partition"
"dry wall","This is a dry wall","This is a bare partition"
"application form","This is an application form","This is a claim pattern"
"winter solstice","This is a winter solstice","This is a hibernal peak"
"bad apple","This is a bad apple","This is an awful pear"
"birth rate","This is a birth rate","This is a delivery percentage"
"crime rate","This is a crime rate","This is a felony percentage"
"interest rate","This is an interest rate","This is a charge percentage"
"football season","This is a football season","This is a soccer period"
"injury time","This is an injury time","This is a trauma period"
"rainy season","This is a rainy season","This is a drizzly period"
"dirty word","This is a dirty word","This is a smutty phrase"
"word painting","This is a word painting","This is a expression picture"
"car park","This is a car park","This is an automobile place"
"elbow room","This is an elbow room","This is a joint place"
"engine room","This is an engine room","This is a motor place"
"lotus position","This is a lotus position","This is a lily place"
"web site","This is a web site","This is a internet place"
"lime tree","This is a lime tree","This is a grass plant"
"arcade game","This is an arcade game","This is a gallery play"
"blame game","This is a blame game","This is a criticism play"
"video game","This is a video game","This is a visual play"
"health insurance","This is a health insurance","This is a wellness policy"
"radio station","This is a radio station","This is a transmission post"
"snail mail","This is a snail mail","This is a gastropod post"
"big wig","This is a big wig","This is a large postiche"
"face value","This is a face value","This is an aspect price"
"academy award","This is an academy award","This is an institute prize"
"medical procedure","This is a medical procedure","This is a medicinal process"
"net income","This is a net income","This is an ultimate profit"
"silver bullet","This is a silver bullet","This is a metal projectile"
"silver screen","This is a silver screen","This is a metal projection"
"smoke screen","This is a smoke screen","This is a fume projection"
"health care","This is a health care","This is a wellness protection"
"top dog","This is a top dog","This is a best pup"
"home run","This is a home run","This is a house race"
"gravy train","This is a gravy train","This is a boom railcar"
"dream ticket","This is a dream ticket","This is a delusion receipt"
"bank account","This is a bank account","This is a fund record"
"insane asylum","This is an insane asylum","This is a bizarre refuge"
"critical review","This is a critical review","This is an acute report"
"gold mine","This is a gold mine","This is a metal reserve"
"bull market","This is a bull market","This is an animal retail"
"flea market","This is a flea market","This is an ectoparasite retail"
"food market","This is a food market","This is a nutrient retail"
"smoking gun","This is a smoking gun","This is a smoky revolver"
"memory lane","This is a memory lane","This is a retention road"
"eager beaver","This is an eager beaver","This is a restless rodent"
"glass ceiling","This is a glass ceiling","This is a mirror roof"
"inner circle","This is an inner circle","This is an internal round "
"crash course","This is a crash course","This is a blast route"
"radioactive waste","This is a radioactive waste","This is a dangerous rubbish"
"graduate student","This is a graduate student","This is an alumnus scholar"
"middle school","This is a middle school","This is a center schooling"
"number crunching","This is a number crunching","This is a figure scranch"
"calendar month","This is a calendar month","This is an agenda season"
"insider trading","This is an insider trading","This is a person selling"
"carpet bombing","This is a carpet bombing","This is a rug shelling"
"tennis elbow","This is a tennis elbow","This is a squash shoulder"
"blood bath","This is a blood bath","This is a sanguine fluid shower"
"low profile","This is a low profile","This is a flat sketch"
"pain killer","This is a pain killer","This is a hurting slayer"
"speed trap","This is a speed trap","This is a velocity snare"
"computer program","This is a computer program","This is a workstation software"
"market place","This is a market place","This is a store spot"
"front runner","This is a front runner","This is a forepart sprinter"
"game plan","This is a game plan","This is a play strategy"
"ivory tower","This is an ivory tower","This is a tusk structure"
"subway system","This is a subway system","This is an underground structure"
"cotton candy","This is a cotton candy","This is a material sweet"
"eye candy","This is an eye candy","This is an ocular sweet"
"climate change","This is a climate change","This is an atmosphere switch"
"traffic jam","This is a traffic jam","This is a influx tailback"
"fish story","This is a fish story","This is an animal tale"
"research project","This is a research project","This is an investigation task"
"crocodile tear","This is a crocodile tear","This is a reptile teardrop"
"cellular phone","This is a cellular phone","This is a biological telephone"
"health check","This is a health check","This is a wellness test"
"rat run","This is a rat run","This is a mouse test"
"prison term","This is a prison term","This is a jail time"
"rush hour","This is a rush hour","This is a hurry time"
"biological clock","This is a biological clock","This is an organic timer"
"grandfather clock","This is a grandfather clock","This is a grandad timer"
"skin tone","This is a skin tone","This is a cutis tonus"
"monkey business","This is a monkey business","This is an ape trade"
"kangaroo court","This is a kangaroo court","This is a marsupial tribunal"
"big fish","This is a big fish","This is a large tuna"
"leap year","This is a leap year","This is a jump twelvemonth"
"agony aunt","This is an agony aunt","This is an anguish uncle"
"mental disorder","This is a mental disorder","This is an intellectual upset "
"tear gas","This is a tear gas","This is a teardrop vapour"
"time difference","This is a time difference","This is a date variation"
"closed book","This is a closed book","This is a locked volume"
"hard drive","This is a hard drive","This is a solid volume"
"phone book","This is a phone book","This is a telephone volume"
"pocket book","This is a pocket book","This is a compartment volume"
"record book","This is a record book","This is a document volume"
"life vest","This is a life vest","This is an existence waistcoat"
"civil marriage","This is a civil marriage","This is a civilian wedding"
"front man","This is a front man","This is a forepart woman"
"research lab","This is a research lab","This is an investigation workplace"
"music journalist","This is a music journalist","This is a sound writer"
"couch potato","This is a couch potato","This is a sofa yam"
"hot potato","This is a hot potato","This is a blazing yam"
