"compound","neutral sentence","mwe synonym"
"double whammy","This is a double whammy","This is a dual threat"
"night owl","This is a night owl","This is a nocturnal person"
"half wit","This is a half wit","This is a stupid person"
"big picture","This is a big picture","This is a whole situation"
"flower child","This is a flower child","This is a hippie"
"sound judgement","This is a sound judgement","This is a correct judgement"
"nut case","This is a nut case","This is a crazy person"
"insurance company","This is an insurance company","This is an insurance provider"
"head teacher","This is a head teacher","This is a director"
"jet lag","This is a jet lag","This is a travel fatigue"
"zebra crossing","This is a zebra crossing","This is a pedestrian crossing"
"incubation period","This is an incubation period","This is a development time"
"guilt trip","This is a guilt trip","This is a guilt source"
"armchair critic","This is an armchair critic","This is a bystander"
"small fry","This is a small fry","This is an insignificant"
"copy cat","This is a copy cat","This is an imitator"
"rocket science","This is a rocket science","This is a difficult problem"
"parking lot","This is a parking lot","This is a car park"
"blind alley","This is a blind alley","This is an unknown territory"
"Freudian slip","This is a Freudian slip","This is a subconscious confession"
"elbow grease","This is an elbow grease","This is a hard work"
"bow tie","This is a bow tie","This is a tie"
"shrinking violet","This is a shrinking violet","This is a shy person"
"fashion plate","This is a fashion plate","This is a photo"
"high life","This is a high life","This is an expensive lifestyle"
"mother tongue","This is a mother tongue","This is a native language"
"snake oil","This is a snake oil","This is a fake solution"
"mailing list","This is a mailing list","This is an address list"
"shelf life","This is a shelf life","This is an expiration date"
"poison pill","This is a poison pill","This is an emergency exit"
"loose woman","This is a loose woman","This is a promiscuous woman"
"travel guide","This is a travel guide","This is a guidebook"
"dark horse","This is a dark horse","This is an unexpected winner"
"cocoa butter","This is a cocoa butter","This is a moisturizer"
"blue print","This is a blue print","This is an instructions"
"double cross","This is a double cross","This is a betrayal"
"diamond wedding","This is a diamond wedding","This is an anniversary"
"grey matter","This is a grey matter","This is a brain"
"rice paper","This is a rice paper","This is a wrapper"
"peace conference","This is a peace conference","This is a peace meeting"
"swan song","This is a swan song","This is a final performance"
"foot soldier","This is a foot soldier","This is a common soldier"
"inner product","This is an inner product","This is an algebraic operation"
"search engine","This is a search engine","This is a searching program"
"iron collar","This is an iron collar","This is a punishment collar"
"double Dutch","This is a double Dutch","This is a nonsense"
"cloud nine","This is a cloud nine","This is a state of happiness"
"private eye","This is a private eye","This is a detective"
"disc jockey","This is a disc jockey","This is a music host"
"pecking order","This is a pecking order","This is a hiearchical order"
"grass root","This is a grass root","This is a people driven"
"goose egg","This is a goose egg","This is a bump"
"black box","This is a black box","This is a secret information"
"melting pot","This is a melting pot","This is a mixture"
"think tank","This is a think tank","This is a research company"
"brick wall","This is a brick wall","This is an obstacle"
"dry wall","This is a dry wall","This is a plaster board"
"application form","This is an application form","This is a form"
"winter solstice","This is a winter solstice","This is a shortest day"
"bad apple","This is a bad apple","This is a troublemaker"
"birth rate","This is a birth rate","This is a birth statistic"
"crime rate","This is a crime rate","This is a crime levels"
"interest rate","This is an interest rate","This is a profit rate"
"football season","This is a football season","This is a sport season"
"injury time","This is an injury time","This is a recovery time"
"rainy season","This is a rainy season","This is a wet season"
"dirty word","This is a dirty word","This is a swear word"
"word painting","This is a word painting","This is a music writing"
"car park","This is a car park","This is a parking lot"
"elbow room","This is an elbow room","This is a space"
"engine room","This is an engine room","This is a motor room"
"lotus position","This is a lotus position","This is a yoga position"
"web site","This is a web site","This is an internet site"
"lime tree","This is a lime tree","This is a citrus tree"
"arcade game","This is an arcade game","This is a video game"
"blame game","This is a blame game","This is an exchanged accusations"
"video game","This is a video game","This is a game"
"health insurance","This is a health insurance","This is an insurance"
"radio station","This is a radio station","This is a radio broadcaster"
"snail mail","This is a snail mail","This is a postal service"
"big wig","This is a big wig","This is an important person"
"face value","This is a face value","This is an apparent value"
"academy award","This is an academy award","This is an award"
"medical procedure","This is a medical procedure","This is an operation"
"net income","This is a net income","This is a profit"
"silver bullet","This is a silver bullet","This is a guaranteed solution"
"silver screen","This is a silver screen","This is a cinema"
"smoke screen","This is a smoke screen","This is a distraction"
"health care","This is a health care","This is a preventive medicine"
"top dog","This is a top dog","This is a dominant person"
"home run","This is a home run","This is a scoring run"
"gravy train","This is a gravy train","This is an easy income"
"dream ticket","This is a dream ticket","This is an ideal opportunity"
"bank account","This is a bank account","This is a bank fund"
"insane asylum","This is an insane asylum","This is a mental insitution"
"critical review","This is a critical review","This is an analysis"
"gold mine","This is a gold mine","This is a source of fortune"
"bull market","This is a bull market","This is a rising market"
"flea market","This is a flea market","This is a secondhand market"
"food market","This is a food market","This is a grocery store"
"smoking gun","This is a smoking gun","This is an evidence"
"memory lane","This is a memory lane","This is a past"
"eager beaver","This is an eager beaver","This is a hard worker"
"glass ceiling","This is a glass ceiling","This is a barrier"
"inner circle","This is an inner circle","This is a close associates"
"crash course","This is a crash course","This is an intensive course"
"radioactive waste","This is a radioactive waste","This is a toxic trash"
"graduate student","This is a graduate student","This is a student"
"middle school","This is a middle school","This is a secondary school"
"number crunching","This is a number crunching","This is a calculations"
"calendar month","This is a calendar month","This is a period"
"insider trading","This is an insider trading","This is an unfair exchanges"
"carpet bombing","This is a carpet bombing","This is a massive bombing"
"tennis elbow","This is a tennis elbow","This is an elbow injury"
"blood bath","This is a blood bath","This is a massacre"
"low profile","This is a low profile","This is a subtle"
"pain killer","This is a pain killer","This is an analgesics"
"speed trap","This is a speed trap","This is a speed check"
"computer program","This is a computer program","This is a software"
"market place","This is a market place","This is a market"
"front runner","This is a front runner","This is a favourite"
"game plan","This is a game plan","This is a plan"
"ivory tower","This is an ivory tower","This is an isolation"
"subway system","This is a subway system","This is a metro"
"cotton candy","This is a cotton candy","This is a fluffy candy"
"eye candy","This is an eye candy","This is a pleasing image"
"climate change","This is a climate change","This is a change in climate"
"traffic jam","This is a traffic jam","This is a traffic congestion"
"fish story","This is a fish story","This is a exaggerated story"
"research project","This is a research project","This is a project"
"crocodile tear","This is a crocodile tear","This is a fake tears"
"cellular phone","This is a cellular phone","This is a phone"
"health check","This is a health check","This is a health evaluation"
"rat run","This is a rat run","This is a small road"
"prison term","This is a prison term","This is a prison sentence"
"rush hour","This is a rush hour","This is a busy time"
"biological clock","This is a biological clock","This is a life cycle"
"grandfather clock","This is a grandfather clock","This is a clock"
"skin tone","This is a skin tone","This is a skin color"
"monkey business","This is a monkey business","This is a mischievous behaviour"
"kangaroo court","This is a kangaroo court","This is an unauthorized court"
"big fish","This is a big fish","This is an important person"
"leap year","This is a leap year","This is a bissextile year"
"agony aunt","This is an agony aunt","This is a newspaper columnist"
"mental disorder","This is a mental disorder","This is a psychological disorder"
"tear gas","This is a tear gas","This is a chemical weapon"
"time difference","This is a time difference","This is a time gap"
"closed book","This is a closed book","This is a mystery"
"hard drive","This is a hard drive","This is a computer storage"
"phone book","This is a phone book","This is a telephone directory"
"pocket book","This is a pocket book","This is a wallet"
"record book","This is a record book","This is a log book"
"life vest","This is a life vest","This is a flotation device"
"civil marriage","This is a civil marriage","This is a legal marriage"
"front man","This is a front man","This is a representative"
"research lab","This is a research lab","This is a research facility"
"music journalist","This is a music journalist","This is a music reporter"
"couch potato","This is a couch potato","This is a lazy person"
"hot potato","This is a hot potato","This is a controversial issue"
