"compound","compositionality","sentence1","sentence2","sentence3"
"mail service","4.69","documents can be sent electronically or printed , and then mailed using the standard mail service .","a more recent development is the web - based mail service , such as hotmail , yahoo mail , and others .","all tutors have email facilities and offer telephone support as well as the traditional mail service ."
"computer expert","4.46","a computer user may call over the telephone to a computer expert for advice when things go wrong .","but computer experts warn that this new technology is susceptible to bugs , tampering and failure .","he has recently also become a computer expert and has been able to help with the database for the registrations ."
"cable car","2.68","here you have a choice - it is either 588 steps down or take the cable car .","i pestered the owners if the cable car was running , finding it hard to believe them , but eventually accepting the fact that it was .","every day offers a new and exciting trip as cable cars and funicular railways transport you throughout the region with absolute swiss precision ."
"panda car","1.81","night at 11 . 00 p . m . some two years earlier he had followed a cyclist in his panda car from the village , hoping that the man would realise he had failed to switch","alarms . the second is the provision of a comprehensive vehicle installation service ranging from panda cars to motorcycles . the last two units also install , repair and maintain communications equipment","staffordshire . logopolis & logo police . not the badge on the side of a panda car - dr who went to the former , the latter practise logography . m moat"
"credit card","4.67","button to confirm the order placed . the client shall provide his / her credit card details , the type , the expiry date and the security code ( 3 last","them are very easy to subscribe to and only need a phone call and a credit card to put you on their mailing list . if i had to choose just one","payment may be made by credit card or bank draft ( see note at foot of page ) , we do not accept money"
"basket case","0.42","now iraq is a basket case , the us is all but defeated by the resistance , and the threat of islamist terrorism is greater than ever .","i ' d forgotten what a basket case i am at the end of pregnancy ( mind you , last time i was for the whole 9 months !","africa , in other words , is a basket case , there just to be exploited economically and militarily ."
"life belt","2.84","flotation is achieved by the use of a miniature ' life belt ' .","above him the gondola had stopped and a life belt was thrown to him .","another life belt was thrown and the two men dragged her to shore on the east bank ."
"rock bottom","2.14","has been an acceptable outturn for this season for most of us since we hit rock bottom at xmas . some fans were talking about the club being relegated and being better",". the reason why so few do is probably because their prices are cut to rock bottom for commercial reasons and this precludes much in the way of on - site voicing . if",", by acting as a star chamber in the sale of prime development land at rock bottom prices . three members of the public who bravely chased and held on to a"
"swimming pool","4.87","an english style pub ) and more formal dining . there is a library , swimming pool , squash courts , a gym and various other athletic facilities . business / casual","mountain views . the complex is well maintained and consists of an indoor and outdoor swimming pool and lovely tropical gardens . its location makes this property an ideal holiday home with","leisure facilities : outdoor heated swimming pool may to september primarily intended for adults exercise swims ."
"public service","4.4","needs to be improved . the freeing - up of radio spectrum for new applications and modernising public services both need to be sped up too , the authors say . reding added :","hold them responsible for results but currently lacks opportunities to exercise any real influence on public services . localisation creates space for relationships - other than the otherwise dominant relationship between frontline","spraying champagne over the crowd . that is irresponsible and it does not deliver better public services . productivity in key services like the nhs has been falling like a stone ."
"sitting duck","0.96","tim to act as "" decoy , "" or as tim puts it "" a sitting duck . "" the police guard is removed from tim to lure the crooks who arrive",": ferdinand return gives lift to england james lawton : pot shots at europe ' s sitting ducks mean little as mcclaren ' s men wait for bigger game business directory christopher r nethercoat","have a formally constituted club . as things stand , we are slightly less a sitting duck for the tabloid rags , but the real reason by now is inertia . maybe"
"balance sheet","3.86","in the enron corp . ' s partnerships which were not even entered on enron ' s balance sheet because derivatives are still unregulated and do n ' t have to be reported . and once","to translate into something that can be finessed down to a statutory line on the balance sheet . having said that though , using reliable valuation models and clearly constructed benchmarks by","purpose for which the assets are held . explain how the financial position at the balance sheet date will affect the future commitments of the charity . give reasons for any change"
"cheat sheet","2.89","malaya , africa , etc . designed for skirmish to company level games . includes cheat sheet ' . . . . 5 . 75 ( plus 70 p p & p ) feba +","of poker champion free full poker strip videos play for fun video poker video poker cheat sheet cheap folding poker table texas hold em poker strategy on the pooled rule the world","english "" get in , get out "" information icons and other navigational aids tear - out cheat sheet top ten lists a dash of humor and fun discover how to : balance your"
"black cherry","3.11","plum and black cherry scented , this can be enjoyed now or cellared .","for those who have ever wondered : it tastes of vanilla with a hint of black cherry .","it has a spicy aroma of wild berries , offering black cherry and raspberry flavours ."
"guinea pig","0.45","you were a kind of guinea pig , as well as one of the architects of the assessment .","i am all in favour of being a guinea pig , but with the right precautions in place .","but ford has devised a test to prove them wrong - - and i agreed to play guinea pig ."
"human being","4.59","not only , got to be connected into things but also to be a decent human being  all that power can be corrupting . jc : the greatest strength of the",", there is no need to do so . you stand tall enough as a human being of unique qualities not to need to be seen as a saint . indeed to","' s critique of the goddess as a relational symbol in postmodern technological societies  how human beings relate to technology , a very processed form of nature  covent garden nature in"
"milk tooth","1.43","a human baby has 20 baby or milk teeth .","the roots dissolve until the milk teeth fall out .","do you remember putting your milk teeth under your pillow for the tooth fairy ?"
"cutting edge","1.25","it is committed to it ' s continued development of new products and the implementation of cutting edge online coaching educational services . our company will be launching several new and exciting projects","to create new work and gives people in shropshire a unique opportunity to see cutting edge art . "" "" demand for exhibition venues outstrips available space in shrewsbury , and","vast industry contacts and knowledge , while creating successful film and tv productions , a cutting edge artworks collection and has a charming ease , that is rare in our competitive world"
"fine line","2.69","particular aircraft . i also have to define the control surfaces , probably with ' fine line decals ' . the small size of my models means that some components have to","filter which reduces the moir effect you sometimes get when watching a picture that contains fine lines or patterns . exceptionally smooth images the acuity core brings other advantages . standard 100","it recently and have found it very useful for my work . it holds a fine line than other water - based resists i ' ve tried and does not break down with several applications"
"firing line","1.7","that are forced to be more responsible , because they are the ones in the firing line . ' if you are going to have a go at fast food , you","of these men who gave their lives . okay they were not on the front firing line but they risked their lives . never was so much owed to so few . .","allcock and the managing director of atlantic global , eugene blaine . first into the firing line was mark , presenting "" adeo future directions "" . his objective , to provide"
"speed limit","4.83","to have decided in advance that crashes can be cured by simply sticking to the speed limit . we are very concerned that the "" accident investigation "" angle could be a","there would eventually be a legal obligation on drivers to set limiters to the prevailing speed limit , but control would remain in the driver ' s hands .","camera . what chance do they have if this many people are completely ignoring the speed limit ? "" . wiltshire removes lane markings to cut speeds wiltshire county council has decided"
"sacred cow","1.52","seller , two ice cream vendors , a fruit stall , a beggar and a sacred cow have all arrived on the scene . about two dozen adults are waiting to go","worlds of art and sacrilege . for savoy , in fact , there are no sacred cows ; every icon is a balloon to be punctured . they ' ve been accused of","minds . in the complete plain words , sir ernest gowers quotes :  the sacred cows have come home to roost with a vengeance  as a stock example of the"
"fall guy","1.36","and though the chairman and chief executive have been the fall guys , much of the blame that has been placed upon them is a little unfair .","however , sadly and a bit arbitrarily , it seems tidal streams have now been selected as the fall guy .","alan johnson is the government ' s new fall guy for pensions - related incompetence ."
"street girl","3.16","they can get married , become street girls , or work as house girls .","in ghana , 6 , 000 babies are living on the streets of accra with their street girl mothers .","many young street girls are vulnerable to abuse which can also result in unplanned pregnancy"
"Dutch courage",1,"we had to go down to the pub to get some dutch courage !","we suggest you try the following cocktail to work up a bit of dutch courage to get you through the match !","after some dutch courage ( a few vodkas ) in the nightclub , and a nerve - racking conversation , we kissed !"
"eternal rest","3.25","they have been called home to their eternal rest and we are left behind .","these tolls announce the death of a nun and call for prayers for her eternal rest .","the passengers , with early morning porridge complexions , don ' t look far from eternal rest ."
"half sister","2.84","my mother was unaware of this half brother and half sister .","she had killed her own half sister when they were children .","he learns the truth , that his mistress is also his half sister ."
"labour union","4.76","that same year the first campesino labour union was formed .","they set up a successful communist labour union in france right after the war .","about two years ago , a labour union tried to organize the workers , but the workers refused ."
"cash cow","1.56","at the back there . grammar makes for good headlines , unlikely best - sellers and elt cash cows because deep down and for all sorts of reasons we wish it would do a","all of the telcos in europe woke up in a sweat , realising that their cash cows were shrinking . any fixed minute growth was mainly down to internet dialup , but","your character for the same price . overall the whole operation seems like a cynical cash cow . posted by : kadayi at april 5 , 2006 0 2 : 0 9"
"busy bee","0.88","i love being a busy bee but i would like a bit of ' jill ' time .","he was the busy bee of the party , but it was pleasant to hear him humming .","busy like a busy bee you may have noticed that i have been very quiet of late ."
"spelling bee","2.45","primarily with family and relatives or at church . activities such as penny readings , spelling bees and magic lantern shows were common forms of entertainment . occasionally travelling theatre groups would","sindi ' s repressed memory . tension mounts for bree as the state finals of the spelling bee loom . connor succeeds in luring toadie back into wrestling . episode 4730 network ten","turned up on time because he remembered to wind his watch . smith won the spelling bee because she knew how to spell ' antimacassar ' . factive mental states are broad"
"law firm","4.4","and israel . since the 60 s , clintons , as one of the leading law firms in the music industry , has represented artists in the pop , rock and classical","the chair of lawyers for change and a partner at kaltons llp , a commercial law firm specialising in technology and innovations . what i do is bring people together and help","duty by debenture , and so they go away for holland .  south west law firm foot anstey ' s continued expansion means a second office in taunton at the quad 3000"
"call centre","4.66","results private from the employee operator - particularly useful in an environment such as a call centre where higher levels of insider theft traditionally occur . uru ? allows the employee to","reduce costs . the most obvious way to cut these costs is by driving expensive call centre interactions onto the web . as the pressure grows to meet the targets set out","of investment in adria over the last few years together with seagate and a major call centre with stream . increasingly in an international business environment , competition had grown considerably ."
"white noise","1.17","there are a number of sound effects such as siren , telephone , electric shock and white noise .","if you try to transmit , in digital mode , into an analog repeater , all the analog radios on the repeater will simply hear white noise .","white noise is a mixture of all frequencies just as white light is a mixture all wavelengths ( colours ) of light ."
"benign tumour","4.69","prince came onboard to have a large benign tumour removed from his head .","we were told at that time it was a slow growing benign tumour and to watch and wait .","completely benign tumour is oncocytoma ( it represents about 5 % of all kidney tumors ) ."
"job fair","3.5","update your cv and visit plenty of career fairs , brush up on your interview techniques , ensure you dry - clean your best , plain suit in advance of any job fairs .","summer placements are encouraged and can be found , along with permanent jobs , through the laboratory supporters club annual job fair .","the recruitment department visits local schools , participates in job fairs and job shop week in conjunction with the employment service ."
"baby buggy","3.94","can i take my baby buggy on to the london eye ?","we also have a maclarens baby buggy and potties and high chair if needed .","a british company has launched the world ' s first baby buggy with a pollution proof passenger capsule ."
"pillow slip","3.7","i ' d rather use little incidents like when the clash stole a pillow slip from a hotel .","we provide : mattresses ; mattress cover and clean under sheet ; pillow & pillow slip .","she discovered a very beautifully bound leather book , with pages stiff and creamy as starched pillow slips ."
"dirty money","2.21","it is not right that criminal enterprises try to use dirty money with a clean face .","peter lilley describes money laundering as the cleaning of dirty money generated by criminal activity .","when dirty money disappears offshore , it becomes more difficult for governments to tackle corruption ."
"day shift","4.54","a working week of seven days was divided into two shifts : a day shift of three to four hours and a night shift which lasted from 10pm until dawn .","gillian particularly likes the day shifts as she gets to spend more time with the residents .","on the day shift on alternate weeks , we were confined to barracks on a tuesday evening ."
"graveyard shift","1.52","in the meyrick suite , bic at 12 . 45 pm . hmm , that ' s the graveyard shift of conference week is n ' t it ? not at all - it ' s the fringe meeting so",", dads working two jobs , dead end jobs , labor workers , helpers , graveyard shift workers , long commuters , students and on and on and on . actually ,","0 pm slot to his lower profile life as a dj on radio norwich ' s graveyard shift . here is a selection of images of his flirtation with the 800 and"
"head hunter","1.5","local recruitment agents and head hunters post vacancies for milton keynes , witney , skegness and felixstowe .","for a head hunter , networking is all about visibility and profile .","most of these appointments are advertised and head hunters are often involved too ."
"traffic control","3.69","police were requested for traffic control and to remove the lorry .","already new tramway lines systems are connected to the general traffic control systems and allow the tramways to run all over the city without stopping at any crossroad .","it will soon be central in air traffic control , guiding planes to land and take - off ."
"backroom boy","1.48","there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' backroom boys and girls '","cecil milner was a respected backroom boy in london music circles , arranging for many top orchestras such as mantovani , for whom he supplied around 220 scores .","translators are often thought of as backroom boys and girls who keep out of the limelight ."
"old timer","0.89","a handicap system means that any new player can successfully challenge the old timers .","i suppose newcomers to the groups probably think us old timers are hard - hearted and uncaring .","if you ' re an old timer , you might remember some of these events , perhaps in their european parallels ."
"brass ring","3.72","courtney to tori amos . which does n ' t mean the bends wo n ' t grab that brass ring . but it ' ll be a difficult stretch . 8 / 10 nude as the","of years ago - as a writing desk . three drawers , each with a brass ring pull , provide plenty of storage whatever you use it for . made from reclaimed","inferiority complex and left radiohead and james the last great u . k . hopes for america ' s brass ring . radiohead ' s reach may fall short with the bends , a sonically ambitious album"
"ghost town","1.5","the town centre is now deserted - it ' s almost like a ghost town !","dilapidated virginia city of old silver boom days is determined not to become a ghost town .","with the mines closing down in the early 1990 ' s it tumbled into the darkness of a small quiet ghost town ."
"close call","1.59","how does it feel to experience a close call only to come out alive and kicking ?","it ' s going to be a close call as both teams will be expecting to beat the other .","the close call with death left her deeply religious with a great devotion the virgin mary ."
"wet blanket","0.21","no wonder tom couldn ' t work with him ; he is a wet blanket .","brian takes the practical view that they cannot afford it and is branded a wet blanket .","and michael , on the other hand , can make elizabeth feel like a perpetual wet blanket or miser ."
"smoking jacket","2.32","the men in dinner jackets , except sir claud who is wearing a maroon velvet smoking jacket and the ladies in long , flowing , silk dresses of the 1930 ' s period","such populist drivel - i shall be watching series iv of frasier , wearing my smoking jacket ) , which spelling forum : the pub unmoderated 13 - 0","and slouchy trousers . the suiting is more dapper in tone . a black velvet smoking jacket looked super louche with a matching waistcoat and slim fitting trousers . all things considered"
"wedding anniversary","4.86","i also provide disco for engagement evenings , wedding evenings , wedding anniversaries , stag / hen parties .","they were presented with a card and a bottle of champagne to celebrate their 38 th wedding anniversary .","it ' s their wedding anniversary and he ' s planned a romantic night out ."
"banana republic","0.86","the result is our roads are more congested than ever before ; so congested , indeed , that we seem less like the world ' s fourth - largest economy and more like the most inept banana republic .","as britain grinds to a halt amidst rail chaos , fuel shortages and floods , the head of the cbi brands britain as being "" like a banana republic "" !","my point is in the past historians referred to the central american countries as banana republics , implying these are countries , nations with governments without any dignity ."
"hen party","1.05","you can spot the stag and hen parties easily because they always dress in stupid outfits or matching t - shirts with their names printed on .","torquay offers excellent nightlife , and is extremely popular as a stag weekend break , and hen parties !","we supply the lighting , sound , music , posters and tickets and some of the best hen party performers on the cabaret scene in the uk and europe ."
"news agency","4.39","the news was culled initially from a news agency teleprinter on the ship .","which news agency was responsible for this piece of speculative journalism ?","the news agency which filmed this event was threatened until it agreed to withdraw the footage from circulation ."
"rat race","0.86",". some people have felt the light commanding them to opt out of the rat race ' perhaps to abandon a status - driven career path in favour of work that embodies","in the bank you can then decide whether you need to get back into the rat race that put you in hospital in the first place . this cover goes hand in","could be short - term retreats for those members of the serious classes who may find the rat race - or even the mouse race - to be a bit too much for the"
"radioactive material","4.61","we are exhausting fossil fuels and using dangerous radioactive materials to produce energy and run cars .","but we use radioactive materials in medicine to treat cancers .","doctors fear that hundreds could have been contaminated and may have ingested radioactive material ."
"love song","4.58","the romance in moulin rouge breathes thanks to the love songs that his protagonists sing .","give someone the ultimate romantic anniversary or valentine gift - their very own , original love song , written about them .","i know but this is a love song you could really dance to ."
"dead end","1.32","the house is located on a dead end street .","we continued up the dead end road towards ardtalla .","corridors led to dead ends and doors which were locked ."
"world conference","3.96","the final report is available , and will be summarised in a paper at the 10th world conference on transport research .","eddie participated in several world conferences and was elected with the highest number of votes .","the un also held a world conference on human rights in vienna ."
"insurance policy","4.15","your insurance policy requires you to take care of your property at all times .","the person may also have had an insurance policy which will cover funeral costs .","the university has a travel insurance policy which can be purchased by students ."
"cooking stove","4.68","the shepherd could be assured of a hot meal from the cast - iron cooking stove inside .","they will be informed about avoiding the situation by using an environment friendly cooking stove .","the kitchen / dining room is open - plan and has a cooking stove , microwave and fridge ."
"cocktail dress","3.04","ladies ) . formal evenings require a suit or dinner jacket for men and a cocktail dress for ladies . the rating for children is very good . facilities for children are","to find a vest - top . no matter that said vest - top is 200 , or a cocktail dress almost 1 , 000 - women still ca n ' t get enough of those colourful prints . at","at the museum , such as a home guard uniform and even a 1940 s cocktail dress owned by the mayor of oxford ' s wife . there are also civil defence plans"
"disability insurance","4.45","if you have any other unemployment or disability insurance to cover your mortgage payment , we will reduce your monthly benefit .","obtain disability insurance quotes from the major insurance companies .","life and disability insurances tend to have much longer terms , and may even , in the case of whole - of - life cover , have no renewal date ."
"social insurance","2.83","social insurance and national assistance organised by the state are designed to guarantee , on condition of service , a basic income for subsistence .","the ministry is responsible for health , social welfare , environmental health , safety at work , social insurance , insurance , family , and gender equality .","there is strong support ( especially among the well off ) for a social insurance system based on the principle of solidarity and accountability ."
"con artist","2.1","by all accounts he was charming and plausible : a true con artist .","this man is not a firefighter but a manipulative con artist who is able to adapt to his surroundings .","a self - confessed thief , forger , and con artist , he used a roster of assumed names and false identities ."
"heavy cross","1.17","having to pay back university top - up fees is a heavy cross to carry , especially for those graduates from less well - off homes .","in this fallen world we may have a very heavy cross to carry .","her presentation gave the impression of being yet another masterclass on gold - plating regulations , and so creating more jobs for bureaucrats and a heavy cross for farmers to bear ."
"brain drain","2.08","this brain drain exacerbates the situation for those staying behind , as it leads to a loss of skills which are then not to be passed on to the next generation .","a flow of scientists in both directions between the us and europe would make the perceived "" brain drain "" of researchers to the former much less of a problem .","we are suffering a chronic "" brain drain "" as qualified people leave for greener pastures abroad ."
"end user","4.25","appropriate ro systems , there are far fewer with the resources and expertise to help end users maximise the return on their investment once the installation and commissioning engineersâ   work","the billing mechanism and price is different . would n ' t it be better for the end user if the telephone call went with the internet traffic with the attendant price saving ?",". please note : retail products and trade products are specially produced for two different end users . retail products may be unsuitable for some professional applications and likewise , some professional"
"silver spoon","1.52","a wee dig at little rich gurls   josephine snorts her coke from a silver spoon and wonders where here life is going to ?   . . these lyrics say",". the teapot was very large and almost square in shape , and the fiddle - pattern silver spoons shone brilliantly . the table looked well , and though jenifer still mourned the absence","that was made by susan matthews , chairman of the stewards ' committee . a silver spoon with an exeter hallmark was given on the day as the main part of the"
"dust storm","3.85","kabul is now hot and dusty with frequent dust storms .","kabul is now hot and dusty with frequent dust storms .","the hills on either side of the road were barely visible because of a dust storm ."
"sugar daddy","0.44","it is only polite that she doesn ' t start treating me like some sort of sugar daddy .","this kind of luxury doesn ' t come cheap , but if ever there was a reason to go trawling for a city sugar daddy , this place is it .","not only am i going to marry ewan mcgregor and javier bardem , but eastwood would make a wonderful sugar daddy ."
"stag night","1.44","although it is traditionally the best man ' s responsibility to organise the stag night it is ultimately the groom ' s decision as to where he wants to spend it and whom he wants to invite .","we have been organising stag nights , parties and weekends for a long time now but we ' ll never grow bored of it !","one of your roles is to help the best man prepare the stag night ."
"information age","3.4","computers are playing an ever increasing role in the delivery of education and training , and are indeed the nexus of the information age .","how to operate in a world characterized by information age technology , rapid change , deepening global linkages , and the continuous unbundling of value chains .","i said that the new information age economy would need not less but more competition ."
"wedding day","4.94","the engagement period is a busy and exciting time where the betrothed couple plan their wedding day and prepare for married life .","all of the flowers on our cakes are handmade using sugarcraft techniques and can be kept as lasting mementos of your wedding day .","each item is individually designed and handcrafted to complement the style of your dress and theme of your wedding day ."
"ground floor","4.67","eight , even the divers did n ' t get to see these floors . on the ground floor we were shown into one of the escape chambers , inside there was a red","our new flagship , setting the trends for university catering services is situated on the ground floor of the new building : food hall offers exciting , innovative dishes from around the","pillows and bed linen provided . cot available . bathrooms two : one on the ground floor and the other on the top floor . both have bath with electric shower over"
"prison guard","4.89","this man , a dangerous psychopath , kills a prison guard and escapes .","the partially - deaf defendant stood in the dock wearing a blue shirt and was flanked by a single prison guard .","anibalzinho claims that prison guard manuel macuacua was waiting for him and accompanied him as he crossed the prison ."
"baby blues","2.88","while as many as 80 % of mothers experience a temporary and mild condition referred to as the baby blues , up to 15 % of women have the more severe reaction you ' re experiencing .","this condition is different form the few days of weepiness called the baby blues .","baby blues is based on a true story , exposing the problems created by puerperal psychosis ; deep clinical depression that sometimes follows childbirth ."
"peace talk","4.13","the role of china is to promote the peace talk process through good offices .","the cease fire comes ahead of proposed peace talks in the region between the two groups .","the peace talks were secret but he succeeded in getting some information from friendly delegates ."
"beauty sleep","2.96","he obviously felt deprived of his beauty sleep , and had bags under his eyes .","get into the habit or regularly exfoliating your skin and drinking lots of water and making sure you get your beauty sleep .","dudley awoke from his beauty sleep with a ferocious appetite ."
"fresh water","4.2","backford brook is one of the few fresh water streams in the area .","finally , increased fresh water from melting glaciers and sea ice could alter ocean circulation patterns and destabilize regional climate patterns .","always make sure to provide plenty of fresh water for your kitty , and it does n ' t hurt to add water to wet food that your cat may be used to eating ."
"sparkling water","3.14","i make fizzy drinks by mixing juice with sparkling water .","pour this into two tall glasses and top with sparkling water .","add some slices of lemon to your iced tea or sparkling water ."
"hard shoulder","1.52","be aware that other vehicles may be stationary on the hard shoulder .","hard shoulders can be converted for use by traffic in only two years , compared with up to ten years to plan and construct additional lanes .","we think hard shoulders are essential for the safety of motorists who have broken down and to allow emergency services to get to the scene of accidents quickly ."
"brain teaser","2.65","for all its seeming simplicity , the game is a real brain teaser .","you may occasionally enjoy a good spirited debate or a ' brain teaser ' .","sudoku is a game of pure logic , an addictive brain teaser ."
"role model","4.11","- studying and observing individuals whose personal success in their field qualifies them as exceptional role models . no wonder they call it the study of excellence - the art of change","for such an honour than john charles , ' said councillor bailey . ' great role model ' ' it is , therefore , only fitting that our farewell to the gentle","encourages black , asians and orientals into underrepresented occupational fields and also identify much needed role models . 4 . the diversity lecture in the house of commons ( february ) which"
"sex bomb","0.53","i had almost forgotten dressing as a sex bomb at the holiday camp .","ferrara and holmes double - team canadian sex bomb bella marie wolf .","salma hayek , however , has taken a major diversion from her established big screen mexican sex bomb persona ."
"fairy tale","1.68","her dresses are those you would find in fairy tales .","i loved my father ' s old fairy tale books .","in fairy tales we can experience those lives and adventures ."
"silver lining","0.35","ah well , the silver lining is that her actions will be under much greater scruitiny than before .","but is the practice totally bad news for the local pharma companies or is there a silver lining ?","pursel tried to find a silver lining in his experiment gone wrong by claiming that the pig was leaner ."
"bad hat","0.62","one month later still another bad hat came along to further harass him","the jury heard the evidence presented , that he was general bad hat .","however , whitehall thinks that i am a thoroughly bad hat and will not talk to me ."
"old hat","0.35","i think perhaps that zap - it - up games are becoming a little bit old hat .","the trouble is that our citizens take all that for granted - it ' s all old hat .","this may be old hat in most of the world , but in iraq it ' s virtually a revolution ."
"music festival","4.58","he has performed in all the great music festivals in europe .","concerts and music festivals are hosted at singleton park , morfa stadium and margam country park .","during the eight day music festival , iccm will employ musicians to perform at pitches around the city to create the festival feel ."
"old flame","0.58","he runs into his old flame , now reunited with her husband .","she is an old flame of steve ' s , so he invites her to lunch .","a woman suspects her husband has rekindled an affair with an old flame ."
"damp squib","0.95","it was probably just a bit too much for everyone in the end and it finished in a damp squib , but we always said we were building for next season .","the important thing is to manage it well , ensure the season does n ' t fizzle out into a damp squib as it did after our cup run two years ago .","during this time the political environment has provided both damp squibs and powerful rockets ."
"loan shark",1,"a loan shark is someone who lends money at a high weekly interest rate .","bin bin fails the test for the army and borrows money from a loan shark .","one problem is that the illegal loan shark will not be covered by consumer credit laws ."
"narrow escape","1.75","i had a narrow escape by not being in the cinema at that time .","bolton made a narrow escape by sheltering himself in a corner .","he had a narrow escape when his mates and commanding officer were killed ."
"noble gas","1.18","the interaction of helium atoms is weak since it is a noble gas .","a noble gas configuration is reached if these are lost to form positively charged ions ( cations ) .","other elements in the periodic table react with other elements to gain the ' more stable ' noble gas configuration ."
"nest egg","0.78","allowing younger workers to save some of their taxes in a personal accountÍ - - a nest egg you can call your own , and government can never take away . in all","would be better off with no insurance and using the money saved to build a nest egg to see them through lean times or pay off their debt . for many customers","700 million savings scheme being piloted by the government to help people build up a nest egg . under the  saving gateway  project , families with an income of less"
"spinning jenny","2.28","scotch cotton mill . again in 1792 william kelly of new lanark introduced the mechanically - moved spinning jenny . in 1793 james louis robertson introduced the power loom . in 1795 archibald buchanan","the flying shuttle to weaving . its eventual use far outstripped that of the cruder spinning jenny and the more limited water frame . late night ball practice : : 2 years ,","not to mav > spiral jennie a spiral jennie , nicer than the history lesson spinning jenny , would it have worked has well though mav > for the body to be"
"fair play","2.59","but attitudes of kindness , fair play , loyalty , honesty , etc could not by definition be principles , and were simply sentimental notions .","fair play incorporates the concepts of friendship , respect for others and always playing in the right spirit .","but free trade , as practised within nations , has many restraints on it to ensure justice and fair play ."
