"compound","sentence1","sentence2","sentence3"
"carne branca","Ideal para acompanhar carne de peixe e massas .","As carnes vermelhas são mais nutritivas do que as carnes de peixe , com relação a micronutrientes .","Trata - se de carne de peixe , com pouca gordura e boa fonte de proteína ."
"carne vermelha","Você poderá comer frango grelhado ou cozido ao invés de carne bovina .","Como os nutricionistas vêem o consumo de carne bovina ?","Ideal para acompanhar carnes bovinas , caças e porco ."
"carro-forte","Quando o carro blindado deixou o banco , os veículos ingressaram no estacionamento .","Já tivemos ministros que nem sabiam a diferença entre um blindado e um carro blindado .","Assaltos mais ousados passaram a acontecer , e os carros blindados foram se tornando verdadeiras fortalezas ."
"carta aberta","Reproduzimos , na íntegra a carta pública que foi redigida em inglês , macuxi e português .","A carta pública também faz denúncias de descaso com a saúde de indígenas .","As cartas argumentativas podem ser : carta pública à população , carta de reclamação e carta de solicitação ."
"centro comercial","A chuva levou muita gente aos shoppings .","Normalmente , os restaurantes encontram - se dentro de shoppings .","Pedimos para ir ao maior shopping de Delhi ."
"centro espírita","Qual o papel que o centro religioso deve desempenhar ?","O centro religioso tem que ser o lugar de doutrina espírita .","O público que frequenta um centro religioso busca o que em uma palestra ?"
"cerca viva","É bem possível realizar uma cerca de plantas , com espécies distintas ao redor da horta .","Ela forma uma ótima cerca de plantas quando plantada a cada metro e meio .","Também são cultivadas para cercas de plantas inclusive de divisas territoriais e para sombreamento de estradas ."
"céu aberto","Em Florianópolis , o shopping ao ar livre será na rua Vidal Ramos .","Eram umas lobas que , ao ar livre lutavam raivosamente para proteger sua tribo .","O Inhotim reune obras de arte ao ar livre , galerias e um acervo com cerca de 500 obras de arte ."
"cheiro-verde","Pique o tempero e as folhas de aipo .","Bouquet garni : palavra de origem francesa que significa um ramalhete de tempero .","Acerte o sal e finalize com suco de limão cravo e o tempero ."
"circuito integrado","Nascia aí o chip , um pequeno pedaço , um pequeno chip .","Em 1965 , produziu seu primeiro chip experimental e começou a lançar equipamentos electrônicos transistorizados .","Isto culminou com a construção do primeiro chip no final da década de sessenta ."
"círculo vicioso","Como cortar este ciclo vicioso negativo , destrutivo ?","Acelerou - se o ciclo vicioso entre finanças e política .","Comendo mais , engorda e assim começa um ciclo vicioso ."
"círculo virtuoso","Em um ciclo virtuoso , o processo se auto - alimenta .","Um comportamento altruístico que gera o ciclo virtuoso da reciprocidade .","Foi criado um ciclo virtuoso , em que se geram empregos formais , com salários maiores ."
"classe executiva","E ainda falta contar o preço de as passagens , todas na primeira classe .","Ninguém viaja de primeira classe e os quartos dos hotéis são sempre compartilhados .","Os lounges para primeira classe e classe de negócios ficam no andar de cima ."
"colégio militar","Ela tem apenas 18 anos e cursa o último ano na escola militar de Porto Alegre .","Em 1960 ingressou na escola militar em Lisboa .","Cursou a escola militar do Rio de Janeiro , no qual obteve o diploma de agrimensor ."
"coluna social","O casal foi o assunto em todas as colunas de fofoca .","Seus rostos ilustram as colunas de fofoca e as revistas de fofocas revelam sua vida privada .","Depois de três anos vivendo em Washington , ele nunca apareceu em coluna de fofoca ."
"comida caseira","Deve estar habituado a comida feita em casa porque só quer latas de comida .","Na passagem vimos uma plaquinha em uma casa anunciando comida feita em casa .","No fundo do quintal tem mesinhas onde ela serve comida feita em casa ."
"companhia aérea","A TAM linhas aéreas é uma empresa aérea brasileira .","A Varig foi a primeira empresa aérea brasileira .","Nossas empresas aéreas têm um histórico assustador ."
"conta-corrente","O governo britânico ameaçou congelar poupanças islandesas e contas bancárias .","Por exemplo , as transações ilegais de valores de contas bancárias .","Um cartão de débito tem ligação com sua conta bancária ."
"coração partido","Está com uma decepção amorosa , sangrando por dentro ?","Estou realmente destruída , com uma decepção amorosa .","A dor de uma decepção amorosa é inevitável , mas o sofrimento é opcional ."
"corda bamba","Você está sempre à beira do erro , em situação delicada .","É difícil viver o tempo todo nessa situação delicada .","É uma situação delicada , mas acho que conseguimos nos equilibrar muito bem ."
"cordas vocais","Sussurrar não poupa as pregas vocais , muito pelo contrário .","A freqüência da voz é determinada pelas pregas vocais .","Crises de tosse também podem causar lesão nas pregas vocais ."
"curto-circuito","A memória entra em problema elétrico .","Apagaram as luzes com um problema elétrico na casa de força .","O incêndio foi provocado pelo problema elétrico de um video - game ."
"deputado federal","Ele quer se candidatar a política em 2014 .","Em 1986 , elegeu - se político por São Paulo .","O Nordeste tem 27 senadores e mais de uma centena de políticos ."
"desfile militar","Durante este festival os Sikhs realizam paradas militares e espectáculos de artes marciais .","Apenas será mantida a parada militar na avenida Champs - Élysées .","Em Moscou , a data é comemorada com paradas militares , apresentações musicais e queima de fogos ."
"direitos humanos","Os crimes relacionados com direitos prescrevem ?","Defensor ou agressor dos direitos ?","O documento citará a violação de direitos ."
"disco rígido","Os spywares exploram os cookies armazenados no hd .","20Mb de espaço disponível no hd ;","A imagem do sistema deve ser salva em um hd ."
"disco voador","Ilustração do que se acredita serem ovnis .","Estamos totalmente alheios a esse assunto de ovni .","Um encontro fatal com tripulantes de um ovni ?"
"efeito especial","Os efeitos são convincentes .","A cena é grotesca , com efeitos exagerados e nojentos .","Um mundo repleto de fabulosos efeitos tridimensionais ."
"elefante branco","Alguns dos estádios novos foram criticados por se tornarem """" inúteis """" após a Copa .","Tenho preocupação com o futuro do estádio de Manaus , pode ser mesmo um inútil .","Os projectos megalómanos pontificavam - se como verdadeiras construções inúteis desbaratando a eito toda a ajuda da cooperação internacional"
"escada rolante","Os elevadores , escadas automáticas e esteiras rolantes ;","Próximo existem duas escadas automáticas e dois elevadores .","Nas outras subo de escada automática com acompanhante ."
"estrela cadente","Um meteoro é também por vezes designado de meteoro .","Nosso sistema solar também apresenta um fenômeno atmosférico frequente : os meteoros .","E não é que uma chuva de meteoros caiu sobre a Terra ?"
"exame clínico","Esse diagnostico é realizado através de exame médico e radiográfico .","Simples exame médico poderia perfeitamente atender à exigência do tipo .","Durante um exame médico , muitas vezes o médico pode palpar a bexiga cheia ."
"exame laboratorial","Reagentes aceleram o resultado de exame de laboratório .","O diagnóstico é feito através de exames de laboratório .","Não basta fazer exames de laboratório e radiografias para estabelecer o diagnóstico ."
"farinha integral","Elaboração de macarrão cozido à base de farinha de quinoa e farinha de arroz .","Use farinha em lugar da farinha branca ou fina , que é pobre de elementos nutritivos .","Cada uma dessas linhas tem várias subdivisões com pães elaborados a partir de matérias - primas como centeio , glúten , linhaça e farinha ."
"febre amarela","Jean - Baptiste morreu de doença quando o filho tinha quinze meses .","O Rio de Janeiro era assolado por doenças como varíola e doença .","Fui olhar o meu atestado de vacina contra doença ."
"ficha limpa","A questão da corrupção , da honestidade .","Não há objeção dos deputados para que haja honestidade .","Só deputado e senador têm que ter honestos ?"
"fila indiana","Caminhavam em fila , uma influência indígena .","Seguimos em fila subindo e descendo encostas de areia carregando nossas enormes mochilas .","Chamamos de fila a fila em que uma pessoa fica atrás da outra esperando sua vez ."
"fio condutor","Esse é o tema principal dessa coletânea de textos .","Tem um tema principal em redor do qual se desencadeia toda a história .","A grande preocupação foi que houvesse um tema principal em todo o concerto ."
"força bruta","A violência seria a solução para a criminalidade que nos assola .","A mobilidade da vida social moderna exige inteligência , não violência ;","Usar a violência , para tentar impor um ponto de vista não vai funcionar ."
"gato-pingado","Não deu quase ninguém , só algumas pessoas !","Os esquerdistas , na comparação , eram meia dúzia de poucas pessoas .","Se der mil pessoas pode registrar como o primeiro milagre no século XXI ."
"gelo-seco","Weldon igualou os efeitos filmados em Yellowstone com fumaça e máquinas de fumaça .","Sim , a fumaça , que é dióxido de carbono na forma sólida , é uma substância perigosa .","Os pólos estão cobertos por calotas polares formadas por fumaça ( dióxido de carbono congelado ) e gelo de água ."
"golpe baixo","A Internet abre possibilidades sem fim para abusos e golpes sujos .","Em esse campo são corriqueiras as brigas judiciais , golpes sujos e acusações de favorecimento .","No afã de alcançar seus objetivos , para alguns vale tudo , até golpes sujos ."
"governo federal","Apenas o governo teria essa autoridade .","Armados e treinados pelo governo .","Uma crise política abalou o governo ."
"gripe aviária","Há suspeitas de que o foco da gripe tenha surgido nesses locais .","Seja essa pandemia causada pelo vírus da gripe , suína ou qualquer outro .","Os porcos também podem ser infectados por vírus da gripe e por vírus da influenza sazonal humana ."
"gripe suína","Como o h1n1 se espalha ?","Como diferenciar entre gripe comum e h1n1 ?","Existe uma vacina que combate o h1n1 ?"
"guarda-florestal","Um guarda da floresta faz patrulhas regulares para afastar os caçadores .","Ele foi no início utilizado por guardas da floresta para combater a caça clandestina .","No inverno , só pode visitar a Spruce Tree House em uma visita guiada por um guarda da floresta ."
"jogo duro","Eu sou franco e difícil , não abro mão de aquilo que eu gosto .","A captação de recursos privados tem sido afetada pelo jogo difícil do Planalto e pela ausência de uma lei das ONGs .","A oposição fez um jogo difícil , não dando trégua , na esperança de enfraquecer lula e derrotá - lo"
"juízo final","A ressurreição dos mortos ocorrerá antes do apocalipse .","A parede do fundo exibia cenas relativas ao apocalipse .","Esse veredito de Deus sobre Davi nos leva ao grande apocalipse ."
"leite integral","Depois do primeiro aniversário , já dá para dar leite .","O brasileiro aumentou o consumo de leite e carne com gordura .","Troque o leite pelo desnatado e economize nas calorias ."
"lista negra","Maradona e Palermo também estão na lista de coisas ruins de Román .","Passou sete meses com homens que estavam na lista de coisas ruins de Israel .","Quem se recusasse a aceitar esse Evangelho era colocado na lista de coisas ruins ."
"livre-docente","Sou também mestre e doutor , e depois professor .","Membro da American Academy of Forensic Science , Wilmes é professor e dá aulas em três faculdades .","Seu pai era químico e foi professor da Universidade de Praga ."
"livro aberto","Quem adora desta forma nada tem a esconder , sua vida é transparente .","Você é simplesmente um transparente , contando ao mundo a respeito de seu autor .","Porque eu posso ser um transparente - mas algumas páginas estão e continuarão coladas , hehehe ."
"longa data","Todos vocês me conhecem de muito tempo .","Essa colaboração de muito tempo também ajuda .","Não é que fôssemos amigos de muito tempo ."
"longa-metragem","O filme tem Isabella Rossellini no elenco .","O filme mudo francês quebrou diversos paradigmas .","Seus documentários de cinema alcançaram grande sucesso ."
"lua cheia","Este ano de lua completa é muito apropriadamente chamado !","O seguimento das estrelas permitiu - lhes reconhecer e antecipar eventos tais como eclipses e luas completas .","Todas as luas completas , possuem diferentes auréolas , a branca é simbólica da magia branca , a dourada trás prosperidade ."
"lua nova","Levantem - se pois agora e te salvem os astrólogos , que nas luas prognosticam o que há de vir sobre ti .","Período de maior intensidade : época das chuvas , nos meses de janeiro a maio e no mês de setembro , durante a lua e a cheia .","Para muitos povos antigos , um novo mês era anunciado na passagem da lua para a lua crescente ."
"lugar-comum","Cheias de clichês e banalidades ;","Clichê , chavão , clichê .","Metodologias de desenvolvimento ágil e scrum são agora clichê ."
"má-fé","Há uma tremenda maldade no que escreveu o fantasioso Will Durant .","Para o juiz , o consumidor agiu com maldade .","Não sei se ele age assim por ignorância ou maldade ."
"magia negra","E envolveu - se com satanismo e bruxaria .","Candomblé pensam logo em bruxaria , ou macumba .","O que faço para me proteger de bruxaria e mau olhado ?"
"mão-fechada","No jargão popular , um "" rei da sovinice "" , um verdadeiro "" pão duro "" .","A questão não é ser pão duro , mas acho que compensa mais você comprar um livro por um preço bacana e gastar o resto da grana com outra coisa .","Mas o time podre de rico , com caixa gordo e pão duro , como a Alemanha , anseia por novos mercados sem restrições para suas exportações ."
"máquina virtual","Feito isso , seu novo computador virtual estará pronta para receber o Windows 8 .","Os bytecodes são interpretados pelo computador virtual Java .","Para não deixar o computador virtual muito lento , é aconselhado utilizar metade da memória disponível ."
"mar aberto","Alcançada a ponta de Santo Antonio , saíram a alto mar .","Ele condena a turma a nadar em alto mar .","As espécies de alto mar têm por princípio a natação contínua ."
"maré alta","Em dias de mar alto , delas é possível apreciar as ondas que parecem invadir o ambiente .","Seu volume também o condiciona a uma oscilação muito maior de suas águas quando dos intervalos entre mar alto a maré baixa .","Em certas áreas litorâneas , como algumas ilhas do Pacífico , isso significou um avanço de 100 metros na maré cheia ."
"maré baixa","O adolescente perdeu a vida por meio de um mergulho na baixa mar .","Apresenta grandes raízes aéreas que ficam expostas durante a baixa mar .","Possui águas agitadas e mornas formando piscinas naturais na baixa mar ."
"massa cinzenta","Estudos mostram aumento de cérebro e branca em cérebros de adultos mais velhos .","E perceberam um aumento no cérebro daqueles que praticavam esportes .","Uma das áreas que não nascem prontas é a parte superior do cérebro , composta pelo neocórtex ."
"mau contato","Vi que o fio do seu carregador está com problema .","Os aparelhos podem pegar fogo se submetidos a problema ou curto circuito .","Verificar se há aquecimento nos fios ou problema , que causam fuga de energia ."
"mau-humor","Irritação , preguiça , desânimo .","Afaste de mim toda irritação e amargura .","Seriedade não é cara feia e irritação ."
"mau-olhado","Esquecer o olho grande e a inveja em volta .","Protege dos maus espíritos e da inveja .","Ela é também usada como amuleto para proteger da inveja ."
"mercado negro","Proliferou o mercado ilegal e incentivou - se o processo inflacionário .","Sua aquisição se faz via mercado ilegal ou por meio de receita especial .","As atividades do mercado ilegal exigem o cometimento de outros crimes ."
"mesa-redonda","Um debate diferente , mais dinâmico e com convidados especiais .","Em seguida haverá debates , palestras e debates com o secretário de direitos humanos Fernando Matos .","Capacitação gratuita diversas palestras , debates e conversas com especialistas estão sendo preparadas ."
"montanha-russa","Cada brinquedo é mais emocionante do que o outro !","As crianças deliciavam - se durante tardes inteiras , com seu brinquedo favorito : um brinquedo em forma de dinossauro !","Os brinquedos também são um dos atrativos de este parque ."
"navio negreiro","Acredita - se que tenham vindo da África em navios de escravos .","Derrotada , foi levada como escrava para um navio de escravos e desembarcada em Recife .","Esta lei permitia aos navios britânicos apreender navios de escravos que cruzassem o Atlântico ."
"nó cego","Há muitos nós apertados que têm de ser desatados e não podem ser abruptamente cortados em pedaços .","A minha tese é a de que o pragmatismo político do ex - presidente lula colocou a quase totalidade dos partidos brasileiros em uma sacola e deu um nó apertado .","Eu tinha o coração mais apertado que um nó apertado ."
"novo mundo","Lentamente estamos construindo uma novidade .","O ensino fundamental é uma novidade .","Comece a construir esta novidade em seu coração ."
"novo-rico","Os milionários recentes precisam despejar dinheiro , pois não têm tradição .","Perdemos a humildade e ganhámos a ganância dos milionários recentes .","Os milionários recentes , emergentes , ex - pobres , escolhem religiões novas , recém - fundadas ."
"núcleo atômico","As forças nucleares mantém os núcleos ( protons e neutrons ) unidos nos núcleos .","É proibido manipular núcleos , assim como realizar fissão e fusão nuclear .","Em estado de repouso , essas partículas têm massa e formam os átomos e os núcleos ."
"olho gordo","Eles também querem ser amados e terem amigos sinceros sem inveja em suas fortunas materiais .","O nome turco do amuleto que protege contra o mau olhado e inveja é Nazar Boncuk .","Eles são usados para espantar o mau olhado , ou a "" inveja "" , como alguns preferem dizer ."
"olho mágico","Espero você tocar a campainha olhando o escuro pelo visor .","Quem atendeu a porta fui eu , ao ver o rosto do zelador no visor .","Dificulte a ação dos infratores , se possível instale grades nas janelas , visor e trancas nas portas"
"olho nu","Ilusionismo : pode gerar imagens imperceptíveis à visão humana .","Escondidas no interior do metal , ficam invisíveis à visão humana .","Ele acha que as mulheres sempre estão reclamando , mesmo com prosperidade a visão humana ."
"ônibus executivo","Viagens em ônibus estão orçadas em R$ 60 .","Uma solução interessante são as "" lotações "" , que é como eles chamam os ônibus .","Tem ônibus , táxi , carona de amigo a questão é o quanto você quer , ou pode , gastar ."
"ovelha negra","Ele sempre foi o que você poderia chamar de diferente da família .","Já Eduardo Cunha deve sair do processo como a pessoa diferente do partido .","É claro que ela era a diferente da família , muito diferente de todos os demais ."
"pão-duro","Era um mão de vaca , um avarento .","O mão de vaca quer que seu cão seja tratado de graça .","Mas o mão de vaca não consegue pagar e recebe uma carta de cobrança ."
"papel higiênico","Forneciam sabonete , toalha e papel .","Coloque assentos nos vasos - sanitários , sabonete líquido , papel toalha individual e papel nos sanitários masculino e feminino dos alunos .","Pegue um pedaço de papel toalha ou papel , embeba em álcool e passe sobre a placa ; vá passando o papel até que não saia mais fuligem ."
"paraíso fiscal","Como se os seus donos tivessem embolsado os ganhos e mandado para algum refúgio fiscal .","A ilha de Jersey é considerada um refúgio fiscal .","A empresa também é suspeita de manter contas em refúgios fiscais através da M - Cor Holding ."
"pastor alemão","Pit Bulls , Rottweilers e cachorros também apresentam maior incidência de displasia coxo - femural .","Quando voltou aos Estados Unidos , ele trouxe um cachorro chamado Buddy .","As raças analisadas são , entre outras , o Golden Retriever e o cachorro para o câncer ."
"pau-mandado","Este submisso dos poderosos da Europa , este borra - botas pensa que já o esquecemos ?","Como um bom submisso , ele entregou as imensas riquezas de mineração e petróleo congolesas a corporações multinacionais .","A cidade não precisa de um submisso dos governos federal ou estadual para se sentir segura em esse processo ."
"pavio curto","É conhecido por sua falta de paciência e comportamento agressivo .","Sem paciência , admitiu que não tinha talento para obedecer ordens .","É impaciente , não tolera irreverências , coisas que acha fora de padrão ."
"pé quente","Espero confirmar lá no final do campeonato esta fama de sortudo .","O sortudo Cláudio Assis é , no Brasil , um recordista de prêmios .","Sou sortudo e gosto de vestir a camisa do time em que estou jogando ."
"pé-direito","Considera - se altura a altura compreendida entre o piso e o forro acabados .","Tijolos aparentes , altura alta e decoração moderna e bonitinha .","Todos os ambientes terão altura dupla ."
"pé-frio","Azarado é pouco para definir certos graus de azar inexplicáveis .","Após perder duas copas do mundo no comando da seleção brasileira de futebol , amargou por muito tempo a fama de azarado .","Ganhou até uma fama de "" azarado "" , por ter alguns rebaixamentos em seu currículo obviamente , folclore ."
"pente fino","Nós agora temos que fazer uma operação análise minuciosa .","Após uma análise minuciosa , a CGU apurou que a licitação para oito rotas foi forjada .","A Nature usa o método de amostragem , escolhendo um trabalho por edição para a análise minuciosa ."
"peso morto","Mas além do inútil eles geram outro desperdício .","Uma entidade , a paróquia , parecia ter se tornado sem utilidade e inútil .","Muitos fracassam na vida e se tornam inúteis , porque não se dão conta de isso ."
"planta baixa","Finalizaremos a planta do pavimento inferior .","Exercício : desenhar a planta da figura abaixo na escala de 1 : 50 .","Por - que não faz a planta de seu espaço de trabalho e projeta da forma que lhe for mais confortável ?"
"poção mágica","Para ser feliz não existe elixir .","De manhã , beba em jejum esse magnífico elixir de força e bem - estar .","Ela usou um elixir para transportá - lo , enquanto ele dormia ."
"pólo-aquático","Filho de brasileiros , ele foi vice - campeão olímpico de pólo na água pelos Estados Unidos em Pequim .","O pólo na água também faz parte do quadro de desportos dos jogos olímpicos .","Os atletas amadores preferem utilizar o lago para natação ou um jogo de pólo na água ."
"ponto cego","Estes aparelhos simulam o movimento natural das ondas permitindo evitar pontos ocultos .","Já no trânsito , a precariedade visual provoca excesso de pontos ocultos .","Cabe então nos perguntarmos : quais são os pontos ocultos da nossa ciência de hoje ?"
"ponto forte","Quais são suas qualidades ?","Ambas tem qualidades e fracos .","Todos nós temos qualidades e fragilidades ."
"ponto fraco","O projeto era simétrico , sem fraquezas .","E para reconhecer fraquezas é necessário muita maturidade .","Descubra o que seus clientes valorizam e quais são suas fraquezas ."
"prato feito","Escolhemos o prato pronto por R$ 15 , 00 .","Se você for comer na rua o prato típico é o Tali , que em Hindi quer dizer prato pronto .","Só tinha um cara , que eu saquei que devia ser o zelador , comendo um prato pronto , sentado perto de uma das janelas ."
"primeira infância","Isso se desenvolve desde os primeiros anos de vida .","Dos meus primeiros anos de vida só tenho lembranças felizes .","Apavorei - me com o tema : diversidade sexual nos primeiros anos de vida ."
"primeira mão","Lembram que este blog deu em novidade que a Procuradoria Geral da República tinha publicado um site explicando o Mensalão para as crianças ?","Encerrada a ligação , me dei conta de que tinha informações extraordinárias , obtidas de uma testemunha de novidade .","Matilde tinha caído depois que o Coturno Noturno denunciou , em novidade , as suas compras no Duty Free com dinheiro público ."
"primeira necessidade","Na ordem de prioridade dos usos da água , essa é a prioridade a ser atendida .","Os proprietários dos imóveis poderão usar das águas do aqueduto para as prioridades da vida .","O possuidor do imóvel superior não poderá poluir as águas indispensáveis às prioridades da vida dos possuidores dos imóveis inferiores ."
"primeira-dama","Foram padrinhos o prefeito e a esposa do presidente de Patrocínio Paulista .","Jorginho conta que Luviana é uma esposa do presidente com jeito de primeira ministra .","Siqueira deve viajar o nordeste em companhia da esposa do presidente . . ."
"primeiro ministro","Sócrates foi um péssimo chefe de estado ?","Considere - se o chefe de estado britânico David Cameron .","Tancredo Neves abriu a lista de chefes de estado ."
"primeiro plano","Um destaque mostra a tensão de seu semblante .","Eu realmente consigo trazer a emoção para a prioridade .","O sentido da sua vida ficou em prioridade ."
"príncipe encantado","Elas ainda são criadas para acreditar no homem perfeito .","Eu nunca esperei um homem perfeito pelo contrário , sempre achei os sapos mais interessantes !","As moças assistiam ao filme Sissi a imperatriz e sonhavam com o homem perfeito ."
"processo seletivo","Seleção inclui entrevista pessoal .","As inscrições para a seleção são gratuitas .","Será publicado edital com informações sobre a seleção ."
"pronto-socorro","Há crianças que chegam esqueléticas ao hospital .","A explosão acabou com 18 hospitais e 32 postos de hospital .","Além disso , diariamente pessoas chegam no hospital com ferimentos de bala ."
"puro-sangue","A paixão é como um legítimo cavalo de raça .","Que fazer se os outros cavalos grandes e de raça tinham toda a prioridade ?","Acredita - se que seja o antecessor do cavalo árabe e de outros de raça ."
"quadro-negro","O primeiro cardápio da rede era escrito em uma lousa .","Quando muito diríamos que só são entes de giz na lousa .","Mário taca um giz em Suzana , enquanto ela escreve na lousa ."
"queda livre","De facto o PIB grego permaneceu em uma queda ininterrupta .","Jovens curtindo a adrenalina da queda em direção ao abismo .","Mesmo o preço no mercado europeu tem estado em queda !"
"quinta categoria","Somos um carro novo rodando a todo vapor com combustível ruim .","Acabou o capítulo de "" Amor e Revolução "" , um folhetim ruim .","Espetáculo de ruim com produção onerosa para o bolso do contribuinte ."
"rede social","Veja as redes de contatos como Facebook .","O Twitter não é uma rede de contatos .","As redes de contatos são os sites mais acessados ."
"regime político","A democracia é o seu sistema político .","O absolutismo foi abolido em favor do sistema político liberal .","Os gregos distinguiam três sistemas políticos : monarquia , aristocracia e democracia ."
"relógio analógico","Vem com formas coloridas e relógios .","A leitura de um relógio em ângulo muda de acordo com a posição de quem lê .","Engastes de alumínio escovado nas portas e volante dão uma dose extra de requinte ao interior do modelo , assim como o generoso relógio no centro do console ."
"relógio biológico","O relógio interno responde melhor se habituado a horários regulares .","O DNA mitocondrial funciona , assim , como um verdadeiro relógio interno .","A melatonina é a chave que controla o relógio interno do ser humano ."
"reta final","Estávamos no fim de provas .","Foram nove partidas sem derrota no fim .","Isto tudo às vésperas do fim da competição ."
