"compound","neutral sentence","both synonyms"
"pólo-aquático","Este é um pólo-aquático .","Este é um andebol aquoso ."
"ponto cego","Este é um ponto cego .","Este é um lugar invisual ."
"ponto forte","Este é um ponto forte .","Este é um lugar duro ."
"ponto fraco","Este é um ponto fraco .","Este é um lugar débil ."
"prato feito","Este é um prato feito .","Esta é uma comida realizada ."
"primeira infância","Esta é uma primeira infância .","Esta é uma meninice inicial ."
"primeira mão","Esta é uma primeira mão .","Este é um palmo inicial ."
"primeira necessidade","Esta é uma primeira necessidade .","Esta é uma exigência inicial ."
"primeira-dama","Esta é uma primeira-dama .","Esta é uma mulher inicial ."
"primeiro ministro","Este é um primeiro ministro .","Este é um servidor inicial ."
"primeiro plano","Este é um primeiro plano .","Este é um nível inicial ."
"príncipe encantado","Este é um príncipe encantado .","Este é um infante enfeitiçado ."
"processo seletivo","Este é um processo seletivo .","Este é um procedimento selecionado ."
"pronto-socorro","Este é um pronto-socorro .","Esta é uma assistência rápida ."
"puro-sangue","Este é um puro-sangue .","Este é um plasma autêntico ."
"quadro-negro","Este é um quadro-negro .","Este é um painel preto ."
"queda livre","Esta é uma queda livre .","Esta é uma caída liberta ."
"quinta categoria","Esta é uma quinta categoria .","Esta é uma quarta classe ."
"rede social","Esta é uma rede social .","Esta é uma malha comunitária ."
"regime político","Este é um regime político .","Este é um sistema parlamentar ."
"relógio analógico","Este é um relógio analógico .","Este é um temporizador análogo ."
"relógio biológico","Este é um relógio biológico .","Este é um temporizador orgânico ."
"reta final","Esta é uma reta final .","Esta é uma linha última ."
"roda gigante","Esta é uma roda gigante .","Este é um círculo enorme ."
"roleta russa","Esta é uma roleta russa .","Esta é uma roda moscovita ."
"saia justa","Esta é uma saia justa .","Este é um vestido apertado ."
"sala cirúrgica","Esta é uma sala cirúrgica .","Este é um salão operatório ."
"salão paroquial","Este é um salão paroquial .","Esta é uma sala diocesana ."
"sangue azul","Este é um sangue azul .","Este é um plasma anil ."
"sangue frio","Este é um sangue frio .","Este é um plasma fresco ."
"sangue quente","Esta é uma sangue quente .","Este é um plasma cálido ."
"secretária eletrônica","Esta é uma secretária eletrônica .","Este é um ajudante digital ."
"segundas intenções","Estas são segundas intenções .","Estes são propósitos secundários ."
"segundo plano","Este é um segundo plano .","Este é um nível secundário ."
"sentença judicial","Esta é uma sentença judicial .","Esta é uma deliberação judiciária ."
"sétima arte","Esta é uma sétima arte .","Esta é uma sexta técnica ."
"sexto sentido","Este é um sexto sentido .","Este é um quinto significado ."
"sinal verde","Este é um sinal verde .","Este é um símbolo esverdeado ."
"sistema político","Este é um sistema político .","Esta é uma estrutura parlamentar ."
"tapete vermelho","Este é um tapete vermelho .","Esta é uma alcatifa encarnada ."
"tartaruga-marinha","Esta é uma tartaruga-marinha .","Este é um cágado marítimo ."
"tela plana","Esta é uma tela plana .","Este é um ecrã liso ."
"tempo real","Este é um tempo real .","Este é um período autêntico ."
"terceira idade","Esta é uma terceira idade .","Esta é uma terça vida ."
"terceira pessoa","Esta é uma terceira pessoa .","Esta é uma terça personalidade ."
"tiro livre","Este é um tiro livre .","Este é um disparo liberto ."
"trabalho braçal","Este é um trabalho braçal .","Esta é uma tarefa braquial ."
"trabalho escravo","Este é um trabalho escravo .","Esta é uma tarefa prisioneira ."
"vaca louca","Esta é uma vaca louca .","Este é um boi demente ."
"vinho branco","Este é um vinho branco .","Este é um champanhe alvo ."
"vinho tinto","Este é um vinho tinto .","Este é um champanhe tingido ."
"vista grossa","Esta é uma vista grossa .","Esta é uma visão espessa ."
"viva voz","Esta é uma viva voz .","Esta é uma fala ativa ."
"vôo doméstico","Este é um vôo doméstico .","Esta é uma viagem familiar ."
"vôo internacional","Este é um vôo internacional .","Esta é uma viagem exterior ."
"voto secreto","Este é um voto secreto .","Este é um sufrágio oculto ."
