"compound","neutral sentence","mwe synonym"
"efeito especial","Este é um efeito especial .","Este é um efeito ."
"elefante branco","Este é um elefante branco .","Este é um inútil ."
"escada rolante","Esta é uma escada rolante .","Esta é uma escada automática ."
"estrela cadente","Esta é uma estrela cadente .","Este é um meteoro ."
"exame clínico","Este é um exame clínico .","Este é um exame médico ."
"exame laboratorial","Este é um exame laboratorial .","Este é um exame de laboratório ."
"farinha integral","Esta é uma farinha integral .","Esta é uma farinha ."
"febre amarela","Esta é uma febre amarela .","Esta é uma doença ."
"ficha limpa","Esta é uma ficha limpa .","Esta é uma honestidade ."
"fila indiana","Esta é uma fila indiana .","Esta é uma fila ."
"fio condutor","Este é um fio condutor .","Este é um tema principal ."
"força bruta","Esta é uma força bruta .","Esta é uma violência ."
"gato-pingado","Este é um gato-pingado .","Esta é uma pessoa ."
"gelo-seco","Este é um gelo-seco .","Esta é uma fumaça ."
"golpe baixo","Este é um golpe baixo .","Este é um golpe sujo ."
"governo federal","Este é um governo federal .","Este é um governo ."
"gripe aviária","Esta é uma gripe aviária .","Esta é uma gripe ."
"gripe suína","Esta é uma gripe suína .","Este é um h1n1 ."
"guarda-florestal","Este é um guarda-florestal .","Este é um guarda da floresta ."
"jogo duro","Este é um jogo duro .","Este é o difícil ."
"juízo final","Este é um juízo final .","Este é um apocalipse ."
"leite integral","Este é um leite integral .","Isto é o leite ."
"lista negra","Esta é uma lista negra .","Esta é uma lista de coisas ruins ."
"livre-docente","Este é um livre-docente .","Este é um professor ."
"livro aberto","Este é um livro aberto .","Este é transparente ."
"longa data","Esta é uma longa data .","Isto é muito tempo ."
"longa-metragem","Este é um longa-metragem .","Este é um filme ."
"lua cheia","Esta é uma lua cheia .","Esta é uma lua completa ."
"lua nova","Esta é uma lua nova .","Esta é uma lua ."
"lugar-comum","Este é um lugar-comum .","Este é um clichê ."
"má-fé","Esta é uma má-fé .","Esta é uma maldade ."
"magia negra","Esta é uma magia negra .","Esta é uma bruxaria ."
"mão-fechada","Esta é uma mão-fechada .","Este é um pão duro ."
"máquina virtual","Esta é uma máquina virtual .","Este é um computador virtual ."
"mar aberto","Este é um mar aberto .","Este é um alto mar ."
"maré alta","Esta é uma maré alta .","Este é um mar alto ."
"maré baixa","Esta é uma maré baixa .","Esta é uma baixa mar ."
"massa cinzenta","Esta é uma massa cinzenta .","Este é um cérebro ."
"mau contato","Este é um mau contato .","Este é um problema ."
"mau-humor","Este é um mau-humor .","Esta é uma irritação ."
"mau-olhado","Este é um mau-olhado .","Esta é uma inveja ."
"mercado negro","Este é um mercado negro .","Este é um mercado ilegal ."
"mesa-redonda","Esta é uma mesa-redonda .","Este é um debate ."
"montanha-russa","Esta é uma montanha-russa .","Este é um brinquedo ."
"navio negreiro","Este é um navio negreiro .","Este é um navio de escravos ."
"nó cego","Este é um nó cego .","Este é um nó apertado ."
"novo mundo","Este é um novo mundo .","Esta é uma novidade ."
"novo-rico","Este é um novo-rico .","Este é um milionário recente ."
"núcleo atômico","Este é um núcleo atômico .","Este é um núcleo ."
"olho gordo","Este é um olho gordo .","Esta é uma inveja ."
"olho mágico","Este é um olho mágico .","Este é um visor ."
"olho nu","Este é um olho nu .","Esta é uma visão humana ."
"ônibus executivo","Este é um ônibus executivo .","Este é um ônibus ."
"ovelha negra","Esta é uma ovelha negra .","Este é um diferente ."
"pão-duro","Este é um pão-duro .","Este é um mão de vaca ."
"papel higiênico","Este é um papel higiênico .","Este é um papel ."
"paraíso fiscal","Este é um paraíso fiscal .","Este é um refúgio fiscal ."
"pastor alemão","Este é um pastor alemão .","Este é um cachorro ."
"pau-mandado","Este é um pau-mandado .","Este é um submisso ."
"pavio curto","Este é um pavio curto .","Esta é uma falta de paciência ."
"pé quente","Este é um pé quente .","Este é um sortudo ."
"pé-direito","Este é um pé-direito .","Esta é uma altura ."
"pé-frio","Este é um pé-frio .","Este é um azarado ."
"pente fino","Este é um pente fino .","Esta é uma análise minuciosa ."
"peso morto","Este é um peso morto .","Este é um inútil ."
"planta baixa","Esta é uma planta baixa .","Esta é uma planta ."
"poção mágica","Esta é uma poção mágica .","Este é um elixir ."
"pólo-aquático","Este é um pólo-aquático .","Este é um pólo na água ."
"ponto cego","Este é um ponto cego .","Este é um ponto oculto ."
"ponto forte","Este é um ponto forte .","Esta é uma qualidade ."
"ponto fraco","Este é um ponto fraco .","Esta é uma fraqueza ."
"prato feito","Este é um prato feito .","Este é um prato pronto ."
"primeira infância","Esta é uma primeira infância .","Este é um primeiro ano de vida ."
"primeira mão","Esta é uma primeira mão .","Esta é uma novidade ."
"primeira necessidade","Esta é uma primeira necessidade .","Esta é uma prioridade ."
"primeira-dama","Esta é uma primeira-dama .","Esta é uma esposa do presidente ."
"primeiro ministro","Este é um primeiro ministro .","Este é um chefe de estado ."
"primeiro plano","Este é um primeiro plano .","Este é um destaque ."
"príncipe encantado","Este é um príncipe encantado .","Este é um homem perfeito ."
"processo seletivo","Este é um processo seletivo .","Esta é uma seleção ."
"pronto-socorro","Este é um pronto-socorro .","Este é um hospital ."
"puro-sangue","Este é um puro-sangue .","Este é um de raça ."
"quadro-negro","Este é um quadro-negro .","Esta é uma lousa ."
"queda livre","Esta é uma queda livre .","Esta é uma queda ."
"quinta categoria","Esta é uma quinta categoria .","Este é um ruim ."
"rede social","Esta é uma rede social .","Esta é uma rede de contatos ."
"regime político","Este é um regime político .","Este é um sistema político ."
"relógio analógico","Este é um relógio analógico .","Este é um relógio ."
"relógio biológico","Este é um relógio biológico .","Este é um relógio interno ."
"reta final","Esta é uma reta final .","Este é um fim ."
"roda gigante","Esta é uma roda gigante .","Este é um brinquedo ."
"roleta russa","Esta é uma roleta russa .","Este é um jogo de azar ."
"saia justa","Esta é uma saia justa .","Esta é uma situação difícil ."
"sala cirúrgica","Esta é uma sala cirúrgica .","Esta é uma sala de cirurgia ."
"salão paroquial","Este é um salão paroquial .","Este é um salão da igreja ."
"sangue azul","Este é um sangue azul .","Esta é uma nobreza ."
"sangue frio","Este é um sangue frio .","Este é um sem piedade ."
"sangue quente","Esta é uma sangue quente .","Esta é uma raiva ."
"secretária eletrônica","Esta é uma secretária eletrônica .","Esta é uma resposta automática ."
"segundas intenções","Estas são segundas intenções .","Estas são malícias ."
"segundo plano","Este é um segundo plano .","Este é um não prioritário ."
"sentença judicial","Esta é uma sentença judicial .","Esta é uma decisão judicial ."
"sétima arte","Esta é uma sétima arte .","Este é um cinema ."
"sexto sentido","Este é um sexto sentido .","Esta é uma intuição ."
"sinal verde","Este é um sinal verde .","Esta é uma aprovação ."
"sistema político","Este é um sistema político .","Esta é uma política ."
"tapete vermelho","Este é um tapete vermelho .","Este é um Oscar ."
"tartaruga-marinha","Esta é uma tartaruga-marinha .","Esta é uma tartaruga do mar ."
"tela plana","Esta é uma tela plana .","Esta é uma tela reta ."
"tempo real","Este é um tempo real .","Este é ao vivo ."
"terceira idade","Esta é uma terceira idade .","Esta é uma velhice ."
"terceira pessoa","Esta é uma terceira pessoa .","Este é um narrador externo ."
"tiro livre","Este é um tiro livre .","Esta é uma falta ."
"trabalho braçal","Este é um trabalho braçal .","Este é um trabalho manual ."
"trabalho escravo","Este é um trabalho escravo .","Este é um trabalho forçado ."
"vaca louca","Esta é uma vaca louca .","Esta é uma encefalopatia espongiforme ."
"vinho branco","Este é um vinho branco .","Este é um vinho ."
"vinho tinto","Este é um vinho tinto .","Este é um vinho vermelho ."
"vista grossa","Esta é uma vista grossa .","Este ignorou ."
"viva voz","Esta é uma viva voz .","Esta é uma voz alta ."
"vôo doméstico","Este é um vôo doméstico .","Este é um vôo nacional ."
"vôo internacional","Este é um vôo internacional .","Esta é uma viagem internacional ."
"voto secreto","Este é um voto secreto .","Este é um voto oculto ."
