"compound","neutral sentence","head only","modifier only"
"caixeiro viajante","Este é um caixeiro viajante .","Este é um caixeiro .","Este é um viajante ."
"câmara fria","Esta é uma câmara fria .","Esta é uma câmara .","Esta é uma fria ."
"carne branca","Esta é uma carne branca .","Esta é uma carne .","Esta é uma branca ."
"carne vermelha","Esta é uma carne vermelha .","Esta é uma carne .","Esta é uma vermelha ."
"carro-forte","Este é um carro-forte .","Este é um carro .","Este é um forte ."
"carta aberta","Esta é uma carta aberta .","Esta é uma carta .","Esta é uma aberta ."
"centro comercial","Este é um centro comercial .","Este é um centro .","Este é um comercial ."
"centro espírita","Este é um centro espírita .","Este é um centro .","Este é um espírita ."
"cerca viva","Esta é uma cerca viva .","Esta é uma cerca .","Esta é uma viva ."
"céu aberto","Este é um céu aberto .","Este é um céu .","Este é um aberto ."
"cheiro-verde","Este é um cheiro-verde .","Este é um cheiro .","Este é um verde ."
"circuito integrado","Este é um circuito integrado .","Este é um circuito .","Este é um integrado ."
"círculo vicioso","Este é um círculo vicioso .","Este é um círculo .","Este é um vicioso ."
"círculo virtuoso","Este é um círculo virtuoso .","Este é um círculo .","Este é um virtuoso ."
"classe executiva","Esta é uma classe executiva .","Esta é uma classe .","Esta é uma executiva ."
"colégio militar","Este é um colégio militar .","Este é um colégio .","Este é um militar ."
"coluna social","Esta é uma coluna social .","Esta é uma coluna .","Esta é uma social ."
"comida caseira","Esta é uma comida caseira .","Esta é uma comida .","Esta é uma caseira ."
"companhia aérea","Esta é uma companhia aérea .","Esta é uma companhia .","Esta é uma aérea ."
"conta-corrente","Esta é uma conta-corrente .","Esta é uma conta .","Esta é uma corrente ."
"coração partido","Este é um coração partido .","Este é um coração .","Este é um partido ."
"corda bamba","Esta é uma corda bamba .","Esta é uma corda .","Esta é uma bamba ."
"cordas vocais","Estas são cordas vocais .","Estas são cordas .","Estas são vocais ."
"curto-circuito","Este é um curto-circuito .","Este é um circuito .","Este é um curto ."
"deputado federal","Este é um deputado federal .","Este é um deputado .","Este é um federal ."
"desfile militar","Este é um desfile militar .","Este é um desfile .","Este é um militar ."
"direitos humanos","Estes são direitos humanos .","Estes são direitos .","Estes são humanos ."
"disco rígido","Este é um disco rígido .","Este é um disco .","Este é um rígido ."
"disco voador","Este é um disco voador .","Este é um disco .","Este é um voador ."
"efeito especial","Este é um efeito especial .","Este é um efeito .","Este é um especial ."
"elefante branco","Este é um elefante branco .","Este é um elefante .","Este é um branco ."
"escada rolante","Esta é uma escada rolante .","Esta é uma escada .","Esta é uma rolante ."
"estrela cadente","Esta é uma estrela cadente .","Esta é uma estrela .","Esta é uma cadente ."
"exame clínico","Este é um exame clínico .","Este é um exame .","Este é um clínico ."
"exame laboratorial","Este é um exame laboratorial .","Este é um exame .","Este é um laboratorial ."
"farinha integral","Esta é uma farinha integral .","Esta é uma farinha .","Esta é uma integral ."
"febre amarela","Esta é uma febre amarela .","Esta é uma febre .","Esta é uma amarela ."
"ficha limpa","Esta é uma ficha limpa .","Esta é uma ficha .","Esta é uma limpa ."
"fila indiana","Esta é uma fila indiana .","Esta é uma fila .","Esta é uma indiana ."
"fio condutor","Este é um fio condutor .","Este é um fio .","Este é um condutor ."
"força bruta","Esta é uma força bruta .","Esta é uma força .","Esta é uma bruta ."
"gato-pingado","Este é um gato-pingado .","Este é um gato .","Este é um pingado ."
"gelo-seco","Este é um gelo-seco .","Este é um gelo .","Este é um seco ."
"golpe baixo","Este é um golpe baixo .","Este é um golpe .","Este é um baixo ."
"governo federal","Este é um governo federal .","Este é um governo .","Este é um federal ."
"gripe aviária","Esta é uma gripe aviária .","Esta é uma gripe .","Esta é uma aviária ."
"gripe suína","Esta é uma gripe suína .","Esta é uma gripe .","Esta é uma suína ."
"guarda-florestal","Este é um guarda-florestal .","Este é um guarda .","Este é um florestal ."
"jogo duro","Este é um jogo duro .","Este é um jogo .","Este é um duro ."
"juízo final","Este é um juízo final .","Este é um juízo .","Este é um final ."
"leite integral","Este é um leite integral .","Este é um leite .","Este é um integral ."
"lista negra","Esta é uma lista negra .","Esta é uma lista .","Esta é uma negra ."
"livre-docente","Este é um livre-docente .","Este é um docente .","Este é um livre ."
"livro aberto","Este é um livro aberto .","Este é um livro .","Este é um aberto ."
"longa data","Esta é uma longa data .","Esta é uma data .","Esta é uma longa ."
"longa-metragem","Este é um longa-metragem .","Esta é uma metragem .","Esta é uma longa ."
"lua cheia","Esta é uma lua cheia .","Esta é uma lua .","Esta é uma cheia ."
"lua nova","Esta é uma lua nova .","Esta é uma lua .","Esta é uma nova ."
"lugar-comum","Este é um lugar-comum .","Este é um lugar .","Este é um comum ."
"má-fé","Esta é uma má-fé .","Esta é uma fé .","Esta é uma má ."
"magia negra","Esta é uma magia negra .","Esta é uma magia .","Esta é uma negra ."
"mão-fechada","Esta é uma mão-fechada .","Esta é uma mão .","Esta é uma fechada ."
"máquina virtual","Esta é uma máquina virtual .","Esta é uma máquina .","Esta é uma virtual ."
"mar aberto","Este é um mar aberto .","Este é um mar .","Este é um aberto ."
"maré alta","Esta é uma maré alta .","Esta é uma maré .","Esta é uma alta ."
"maré baixa","Esta é uma maré baixa .","Esta é uma maré .","Esta é uma baixa ."
"massa cinzenta","Esta é uma massa cinzenta .","Esta é uma massa .","Esta é uma cinzenta ."
"mau contato","Este é um mau contato .","Este é um contato .","Este é um mau ."
"mau-humor","Este é um mau-humor .","Este é um humor .","Este é um mau ."
"mau-olhado","Este é um mau-olhado .","Este é um olhado .","Este é um mau ."
"mercado negro","Este é um mercado negro .","Este é um mercado .","Este é um negro ."
"mesa-redonda","Esta é uma mesa-redonda .","Esta é uma mesa .","Esta é uma redonda ."
"montanha-russa","Esta é uma montanha-russa .","Esta é uma montanha .","Esta é uma russa ."
"navio negreiro","Este é um navio negreiro .","Este é um navio .","Este é um negreiro ."
"nó cego","Este é um nó cego .","Este é um nó .","Este é um cego ."
"novo mundo","Este é um novo mundo .","Este é um mundo .","Este é um novo ."
"novo-rico","Este é um novo-rico .","Este é um rico .","Este é um novo ."
"núcleo atômico","Este é um núcleo atômico .","Este é um núcleo .","Este é um atômico ."
"olho gordo","Este é um olho gordo .","Este é um olho .","Este é um gordo ."
"olho mágico","Este é um olho mágico .","Este é um olho .","Este é um mágico ."
"olho nu","Este é um olho nu .","Este é um olho .","Este é um nu ."
"ônibus executivo","Este é um ônibus executivo .","Este é um ônibus .","Este é um executivo ."
"ovelha negra","Esta é uma ovelha negra .","Esta é uma ovelha .","Esta é uma negra ."
"pão-duro","Este é um pão-duro .","Este é um pão .","Este é um duro ."
"papel higiênico","Este é um papel higiênico .","Este é um papel .","Este é um higiênico ."
"paraíso fiscal","Este é um paraíso fiscal .","Este é um paraíso .","Este é um fiscal ."
"pastor alemão","Este é um pastor alemão .","Este é um pastor .","Este é um alemão ."
"pau-mandado","Este é um pau-mandado .","Este é um pau .","Este é um mandado ."
"pavio curto","Este é um pavio curto .","Este é um pavio .","Este é um curto ."
"pé quente","Este é um pé quente .","Este é um pé .","Este é um quente ."
"pé-direito","Este é um pé-direito .","Este é um pé .","Este é um direito ."
"pé-frio","Este é um pé-frio .","Este é um pé .","Este é um frio ."
"pente fino","Este é um pente fino .","Este é um pente .","Este é um fino ."
"peso morto","Este é um peso morto .","Este é um peso .","Este é um morto ."
"planta baixa","Esta é uma planta baixa .","Esta é uma planta .","Esta é uma baixa ."
"poção mágica","Esta é uma poção mágica .","Esta é uma poção .","Esta é uma mágica ."
"pólo-aquático","Este é um pólo-aquático .","Este é um pólo .","Este é um aquático ."
"ponto cego","Este é um ponto cego .","Este é um ponto .","Este é um cego ."
"ponto forte","Este é um ponto forte .","Este é um ponto .","Este é um forte ."
"ponto fraco","Este é um ponto fraco .","Este é um ponto .","Este é um fraco ."
"prato feito","Este é um prato feito .","Este é um prato .","Este é um feito ."
"primeira infância","Esta é uma primeira infância .","Esta é uma infância .","Esta é uma primeira ."
"primeira mão","Esta é uma primeira mão .","Esta é uma mão .","Esta é uma primeira ."
"primeira necessidade","Esta é uma primeira necessidade .","Esta é uma necessidade .","Esta é uma primeira ."
"primeira-dama","Esta é uma primeira-dama .","Esta é uma dama .","Esta é uma primeira ."
"primeiro ministro","Este é um primeiro ministro .","Este é um ministro .","Este é um primeiro ."
"primeiro plano","Este é um primeiro plano .","Este é um plano .","Este é um primeiro ."
"príncipe encantado","Este é um príncipe encantado .","Este é um príncipe .","Este é um encantado ."
"processo seletivo","Este é um processo seletivo .","Este é um processo .","Este é um seletivo ."
"pronto-socorro","Este é um pronto-socorro .","Este é um socorro .","Este é um pronto ."
"puro-sangue","Este é um puro-sangue .","Este é um sangue .","Este é um puro ."
"quadro-negro","Este é um quadro-negro .","Este é um quadro .","Este é um negro ."
"queda livre","Esta é uma queda livre .","Esta é uma queda .","Esta é uma livre ."
"quinta categoria","Esta é uma quinta categoria .","Esta é uma categoria .","Esta é uma quinta ."
"rede social","Esta é uma rede social .","Esta é uma rede .","Esta é uma social ."
"regime político","Este é um regime político .","Este é um regime .","Este é um político ."
"relógio analógico","Este é um relógio analógico .","Este é um relógio .","Este é um analógico ."
"relógio biológico","Este é um relógio biológico .","Este é um relógio .","Este é um biológico ."
"reta final","Esta é uma reta final .","Esta é uma reta .","Esta é uma final ."
"roda gigante","Esta é uma roda gigante .","Esta é uma roda .","Esta é uma gigante ."
"roleta russa","Esta é uma roleta russa .","Esta é uma roleta .","Esta é uma russa ."
"saia justa","Esta é uma saia justa .","Esta é uma saia .","Esta é uma justa ."
"sala cirúrgica","Esta é uma sala cirúrgica .","Esta é uma sala .","Esta é uma cirúrgica ."
"salão paroquial","Este é um salão paroquial .","Este é um salão .","Este é um paroquial ."
"sangue azul","Este é um sangue azul .","Este é um sangue .","Este é um azul ."
"sangue frio","Este é um sangue frio .","Este é um sangue .","Este é um frio ."
"sangue quente","Esta é uma sangue quente .","Este é um sangue .","Este é um quente ."
"secretária eletrônica","Esta é uma secretária eletrônica .","Esta é uma secretária .","Esta é uma eletrônica ."
"segundas intenções","Estas são segundas intenções .","Estas são intenções .","Estas são segundas ."
"segundo plano","Este é um segundo plano .","Este é um plano .","Este é um segundo ."
"sentença judicial","Esta é uma sentença judicial .","Esta é uma sentença .","Esta é uma judicial ."
"sétima arte","Esta é uma sétima arte .","Esta é uma arte .","Esta é uma sétima ."
"sexto sentido","Este é um sexto sentido .","Este é um sentido .","Este é um sexto ."
"sinal verde","Este é um sinal verde .","Este é um sinal .","Este é um verde ."
"sistema político","Este é um sistema político .","Este é um sistema .","Este é um político ."
"tapete vermelho","Este é um tapete vermelho .","Este é um tapete .","Este é um vermelho ."
"tartaruga-marinha","Esta é uma tartaruga-marinha .","Esta é uma tartaruga .","Esta é uma marinha ."
"tela plana","Esta é uma tela plana .","Esta é uma tela .","Esta é uma plana ."
"tempo real","Este é um tempo real .","Este é um tempo .","Este é um real ."
"terceira idade","Esta é uma terceira idade .","Esta é uma idade .","Esta é uma terceira ."
"terceira pessoa","Esta é uma terceira pessoa .","Esta é uma pessoa .","Esta é uma terceira ."
"tiro livre","Este é um tiro livre .","Este é um tiro .","Este é um livre ."
"trabalho braçal","Este é um trabalho braçal .","Este é um trabalho .","Este é um braçal ."
"trabalho escravo","Este é um trabalho escravo .","Este é um trabalho .","Este é um escravo ."
"vaca louca","Esta é uma vaca louca .","Esta é uma vaca .","Esta é uma louca ."
"vinho branco","Este é um vinho branco .","Este é um vinho .","Este é um branco ."
"vinho tinto","Este é um vinho tinto .","Este é um vinho .","Este é um tinto ."
"vista grossa","Esta é uma vista grossa .","Esta é uma vista .","Esta é uma grossa ."
"viva voz","Esta é uma viva voz .","Esta é uma voz .","Esta é uma viva ."
"vôo doméstico","Este é um vôo doméstico .","Este é um vôo .","Este é um doméstico ."
"vôo internacional","Este é um vôo internacional .","Este é um vôo .","Este é um internacional ."
"voto secreto","Este é um voto secreto .","Este é um voto .","Este é um secreto ."
