"compound","neutral sentence","head only","modifier only"
"polo shirt","This is a polo shirt","This is a shirt","This is a polo"
"contact lens","This is a contact lens","This is a lens","This is a contact"
"big cheese","This is a big cheese","This is a cheese","This is a big"
"dry land","This is a dry land","This is a land","This is a dry"
"best man","This is a best man","This is a man","This is a best"
"entrance hall","This is an entrance hall","This is a hall","This is an entrance"
"white spirit","This is a white spirit","This is a spirit","This is a white"
"blue blood","This is a blue blood","This is a blood","This is a blue"
"double whammy","This is a double whammy","This is a whammy","This is a double"
"night owl","This is a night owl","This is an owl","This is a night"
"half wit","This is a half wit","This is a wit","This is a half"
"big picture","This is a big picture","This is a picture","This is a big"
"flower child","This is a flower child","This is a child","This is a flower"
"sound judgement","This is a sound judgement","This is a judgement","This is a sound"
"nut case","This is a nut case","This is a case","This is a nut"
"insurance company","This is an insurance company","This is a company","This is an insurance"
"head teacher","This is a head teacher","This is a teacher","This is a head"
"jet lag","This is a jet lag","This is a lag","This is a jet"
"zebra crossing","This is a zebra crossing","This is a crossing","This is a zebra"
"incubation period","This is an incubation period","This is a period","This is an incubation"
"guilt trip","This is a guilt trip","This is a trip","This is a guilt"
"armchair critic","This is an armchair critic","This is a critic","This is an armchair"
"small fry","This is a small fry","This is a fry","This is a small"
"copy cat","This is a copy cat","This is a cat","This is a copy"
"rocket science","This is a rocket science","This is a science","This is a rocket"
"parking lot","This is a parking lot","This is a lot","This is a parking"
"blind alley","This is a blind alley","This is an alley","This is a blind"
"Freudian slip","This is a Freudian slip","This is a slip","This is a Freudian"
"elbow grease","This is an elbow grease","This is a grease","This is an elbow"
"bow tie","This is a bow tie","This is a tie","This is a bow"
"shrinking violet","This is a shrinking violet","This is a violet","This is a shrinking"
"fashion plate","This is a fashion plate","This is a plate","This is a fashion"
"high life","This is a high life","This is a life","This is a high"
"mother tongue","This is a mother tongue","This is a tongue","This is a mother"
"snake oil","This is a snake oil","This is an oil","This is a snake"
"mailing list","This is a mailing list","This is a list","This is a mailing"
"shelf life","This is a shelf life","This is a life","This is a shelf"
"poison pill","This is a poison pill","This is a pill","This is a poison"
"loose woman","This is a loose woman","This is a woman","This is a loose"
"travel guide","This is a travel guide","This is a guide","This is a travel"
"dark horse","This is a dark horse","This is a horse","This is a dark"
"cocoa butter","This is a cocoa butter","This is a butter","This is a cocoa"
"blue print","This is a blue print","This is a print","This is a blue"
"double cross","This is a double cross","This is a cross","This is a double"
"diamond wedding","This is a diamond wedding","This is a wedding","This is a diamond"
"grey matter","This is a grey matter","This is a matter","This is a grey"
"rice paper","This is a rice paper","This is a paper","This is a rice"
"peace conference","This is a peace conference","This is a conference","This is a peace"
"swan song","This is a swan song","This is a song","This is a swan"
"foot soldier","This is a foot soldier","This is a soldier","This is a foot"
"inner product","This is an inner product","This is a product","This is an inner"
"search engine","This is a search engine","This is an engine","This is a search"
"iron collar","This is an iron collar","This is a collar","This is an iron"
"double Dutch","This is a double Dutch","This is a Dutch","This is a double"
"cloud nine","This is a cloud nine","This is a nine","This is a cloud"
"private eye","This is a private eye","This is an eye","This is a private"
"disc jockey","This is a disc jockey","This is a jockey","This is a disc"
"pecking order","This is a pecking order","This is an order","This is a pecking"
"grass root","This is a grass root","This is a root","This is a grass"
"goose egg","This is a goose egg","This is an egg","This is a goose"
"black box","This is a black box","This is a box","This is a black"
"melting pot","This is a melting pot","This is a pot","This is a melting"
"think tank","This is a think tank","This is a tank","This is a think"
"brick wall","This is a brick wall","This is a wall","This is a brick"
"dry wall","This is a dry wall","This is a wall","This is a dry"
"application form","This is an application form","This is a form","This is an application"
"winter solstice","This is a winter solstice","This is a solstice","This is a winter"
"bad apple","This is a bad apple","This is an apple","This is a bad"
"birth rate","This is a birth rate","This is a rate","This is a birth"
"crime rate","This is a crime rate","This is a rate","This is a crime"
"interest rate","This is an interest rate","This is a rate","This is an interest"
"football season","This is a football season","This is a season","This is a football"
"injury time","This is an injury time","This is a time","This is an injury"
"rainy season","This is a rainy season","This is a season","This is a rainy"
"dirty word","This is a dirty word","This is a word","This is a dirty"
"word painting","This is a word painting","This is a painting","This is a word"
"car park","This is a car park","This is a park","This is a car"
"elbow room","This is an elbow room","This is a room","This is an elbow"
"engine room","This is an engine room","This is a room","This is an engine"
"lotus position","This is a lotus position","This is a position","This is a lotus"
"web site","This is a web site","This is a site","This is a web"
"lime tree","This is a lime tree","This is a tree","This is a lime"
"arcade game","This is an arcade game","This is a game","This is an arcade"
"blame game","This is a blame game","This is a game","This is a blame"
"video game","This is a video game","This is a game","This is a video"
"health insurance","This is a health insurance","This is an insurance","This is a health"
"radio station","This is a radio station","This is a station","This is a radio"
"snail mail","This is a snail mail","This is a mail","This is a snail"
"big wig","This is a big wig","This is a wig","This is a big"
"face value","This is a face value","This is a value","This is a face"
"academy award","This is an academy award","This is an award","This is an academy"
"medical procedure","This is a medical procedure","This is a procedure","This is a medical"
"net income","This is a net income","This is an income","This is a net"
"silver bullet","This is a silver bullet","This is a bullet","This is a silver"
"silver screen","This is a silver screen","This is a screen","This is a silver"
"smoke screen","This is a smoke screen","This is a screen","This is a smoke"
"health care","This is a health care","This is a care","This is a health"
"top dog","This is a top dog","This is a dog","This is a top"
"home run","This is a home run","This is a run","This is a home"
"gravy train","This is a gravy train","This is a train","This is a gravy"
"dream ticket","This is a dream ticket","This is a ticket","This is a dream"
"bank account","This is a bank account","This is an account","This is a bank"
"insane asylum","This is an insane asylum","This is an asylum","This is an insane"
"critical review","This is a critical review","This is a review","This is a critical"
"gold mine","This is a gold mine","This is a mine","This is a gold"
"bull market","This is a bull market","This is a market","This is a bull"
"flea market","This is a flea market","This is a market","This is a flea"
"food market","This is a food market","This is a market","This is a food"
"smoking gun","This is a smoking gun","This is a gun","This is a smoking"
"memory lane","This is a memory lane","This is a lane","This is a memory"
"eager beaver","This is an eager beaver","This is a beaver","This is an eager"
"glass ceiling","This is a glass ceiling","This is a ceiling","This is a glass"
"inner circle","This is an inner circle","This is a circle","This is an inner"
"crash course","This is a crash course","This is a course","This is a crash"
"radioactive waste","This is a radioactive waste","This is a waste","This is a radioactive"
"graduate student","This is a graduate student","This is a student","This is a graduate"
"middle school","This is a middle school","This is a school","This is a middle"
"number crunching","This is a number crunching","This is a crunching","This is a number"
"calendar month","This is a calendar month","This is a month","This is a calendar"
"insider trading","This is an insider trading","This is a trading","This is an insider"
"carpet bombing","This is a carpet bombing","This is a bombing","This is a carpet"
"tennis elbow","This is a tennis elbow","This is an elbow","This is a tennis"
"blood bath","This is a blood bath","This is a bath","This is a blood"
"low profile","This is a low profile","This is a profile","This is a low"
"pain killer","This is a pain killer","This is a killer","This is a pain"
"speed trap","This is a speed trap","This is a trap","This is a speed"
"computer program","This is a computer program","This is a program","This is a computer"
"market place","This is a market place","This is a place","This is a market"
"front runner","This is a front runner","This is a runner","This is a front"
"game plan","This is a game plan","This is a plan","This is a game"
"ivory tower","This is an ivory tower","This is a tower","This is an ivory"
"subway system","This is a subway system","This is a system","This is a subway"
"cotton candy","This is a cotton candy","This is a candy","This is a cotton"
"eye candy","This is an eye candy","This is a candy","This is an eye"
"climate change","This is a climate change","This is a change","This is a climate"
"traffic jam","This is a traffic jam","This is a jam","This is a traffic"
"fish story","This is a fish story","This is a story","This is a fish"
"research project","This is a research project","This is a project","This is a research"
"crocodile tear","This is a crocodile tear","This is a tear","This is a crocodile"
"cellular phone","This is a cellular phone","This is a phone","This is a cellular"
"health check","This is a health check","This is a check","This is a health"
"rat run","This is a rat run","This is a run","This is a rat"
"prison term","This is a prison term","This is a term","This is a prison"
"rush hour","This is a rush hour","This is an hour","This is a rush"
"biological clock","This is a biological clock","This is a clock","This is a biological"
"grandfather clock","This is a grandfather clock","This is a clock","This is a grandfather"
"skin tone","This is a skin tone","This is a tone","This is a skin"
"monkey business","This is a monkey business","This is a business","This is a monkey"
"kangaroo court","This is a kangaroo court","This is a court","This is a kangaroo"
"big fish","This is a big fish","This is a fish","This is a big"
"leap year","This is a leap year","This is a year","This is a leap"
"agony aunt","This is an agony aunt","This is an aunt","This is an agony"
"mental disorder","This is a mental disorder","This is a disorder","This is a mental"
"tear gas","This is a tear gas","This is a gas","This is a tear"
"time difference","This is a time difference","This is a difference","This is a time"
"closed book","This is a closed book","This is a book","This is a closed"
"hard drive","This is a hard drive","This is a drive","This is a hard"
"phone book","This is a phone book","This is a book","This is a phone"
"pocket book","This is a pocket book","This is a book","This is a pocket"
"record book","This is a record book","This is a book","This is a record"
"life vest","This is a life vest","This is a vest","This is a life"
"civil marriage","This is a civil marriage","This is a marriage","This is a civil"
"front man","This is a front man","This is a man","This is a front"
"research lab","This is a research lab","This is a lab","This is a research"
"music journalist","This is a music journalist","This is a journalist","This is a music"
"couch potato","This is a couch potato","This is a potato","This is a couch"
"hot potato","This is a hot potato","This is a potato","This is a hot"
