"compound","sent1_modifier","sent1_head","sent2_modifier","sent2_head","sent3_modifier","sent3_head"
"chain reaction","more modern methods are used to amplify portions of dna , typified by the polymerase chain ( pcr ) . the use of dna sequencing has rendered distance measures such as","more modern methods are used to amplify portions of dna , typified by the polymerase reaction ( pcr ) . the use of dna sequencing has rendered distance measures such as","in such a tense situation even a small little incident can result in a chain which nobody will be able to control . a major conflict could","in such a tense situation even a small little incident can result in a reaction which nobody will be able to control . a major conflict could","but the water in those seas would have been cool enough to allow the chemical chain required by "" spontaneous animation . "" so among darwinists there arose a broad consensus","but the water in those seas would have been cool enough to allow the chemical reactions required by "" spontaneous animation . "" so among darwinists there arose a broad consensus"
"ancient history","things that happened almost a year ago is ancient .","things that happened almost a year ago is history .","the days of triple - digit growth now seem like ancient .","the days of triple - digit growth now seem like history .","so be brave , be ready to change your views or be ancient .","so be brave , be ready to change your views or be history ."
"china clay","the ' lunar ' qualities of the landscape , dramatically shaped by the working of china , forming peaks and platforms of waste sand and pits often flooded with turquoise green","the ' lunar ' qualities of the landscape , dramatically shaped by the working of clay , forming peaks and platforms of waste sand and pits often flooded with turquoise green",", turning newquay from a fishing to a commodity port loading tin , lead and china . the famous six - oared gigs you can watch in harbour races originally competed to put",", turning newquay from a fishing to a commodity port loading tin , lead and clay . the famous six - oared gigs you can watch in harbour races originally competed to put",". prepare to be astounded by the scale of this attraction built in an old china pit . local attractions : * golf - reduced fee * tennis * 1 mile",". prepare to be astounded by the scale of this attraction built in an old clay pit . local attractions : * golf - reduced fee * tennis * 1 mile"
"divine service","thus the church was filled with people before divine began .","thus the church was filled with people before service began .","by the 19th century , parishioners attended divine with umbrellas .","by the 19th century , parishioners attended service with umbrellas .","after restoration in 1876 and again in 1905 , the building re - opened for divine .","after restoration in 1876 and again in 1905 , the building re - opened for service ."
"economic aid","we have already extended to greece certain types of relief and economic but these are inadequate .","we have already extended to greece certain types of relief and aid but these are inadequate .","the ussr was soon giving cuba economic , technical support and military ' advisers ' from the ussr .","the ussr was soon giving cuba aid , technical support and military ' advisers ' from the ussr .","a government ' s success in reducing population movement should be a key factor in allocating economic .","a government ' s success in reducing population movement should be a key factor in allocating aid ."
"lip service",". "" when we advocate sustainable development of air transport , we are not paying lip to the environment , rather we are calling for a comprehensive set of measures to",". "" when we advocate sustainable development of air transport , we are not paying service to the environment , rather we are calling for a comprehensive set of measures to","of course , the same in this country . the tory right has also paid lip to morality and not delivered . nor are things better now under the democratic left","of course , the same in this country . the tory right has also paid service to morality and not delivered . nor are things better now under the democratic left","the separation was a polite fiction , the financial houses at least had to pay lip to the notion . when morgan stanley spurned quattrone ' s attempt to bring research under","the separation was a polite fiction , the financial houses at least had to pay service to the notion . when morgan stanley spurned quattrone ' s attempt to bring research under"
"mail service","documents can be sent electronically or printed , and then mailed using the standard mail .","documents can be sent electronically or printed , and then mailed using the standard service .","a more recent development is the web - based mail , such as hotmail , yahoo mail , and others .","a more recent development is the web - based service , such as hotmail , yahoo mail , and others .","all tutors have email facilities and offer telephone support as well as the traditional mail .","all tutors have email facilities and offer telephone support as well as the traditional service ."
"computer expert","a computer user may call over the telephone to a computer for advice when things go wrong .","a computer user may call over the telephone to a expert for advice when things go wrong .","but computer warn that this new technology is susceptible to bugs , tampering and failure .","but experts warn that this new technology is susceptible to bugs , tampering and failure .","he has recently also become a computer and has been able to help with the database for the registrations .","he has recently also become a expert and has been able to help with the database for the registrations ."
"cable car","here you have a choice - it is either 588 steps down or take the cable .","here you have a choice - it is either 588 steps down or take the car .","i pestered the owners if the cable was running , finding it hard to believe them , but eventually accepting the fact that it was .","i pestered the owners if the car was running , finding it hard to believe them , but eventually accepting the fact that it was .","every day offers a new and exciting trip as cable and funicular railways transport you throughout the region with absolute swiss precision .","every day offers a new and exciting trip as cars and funicular railways transport you throughout the region with absolute swiss precision ."
"panda car","night at 11 . 00 p . m . some two years earlier he had followed a cyclist in his panda from the village , hoping that the man would realise he had failed to switch","night at 11 . 00 p . m . some two years earlier he had followed a cyclist in his car from the village , hoping that the man would realise he had failed to switch","alarms . the second is the provision of a comprehensive vehicle installation service ranging from panda to motorcycles . the last two units also install , repair and maintain communications equipment","alarms . the second is the provision of a comprehensive vehicle installation service ranging from cars to motorcycles . the last two units also install , repair and maintain communications equipment","staffordshire . logopolis & logo police . not the badge on the side of a panda - dr who went to the former , the latter practise logography . m moat","staffordshire . logopolis & logo police . not the badge on the side of a car - dr who went to the former , the latter practise logography . m moat"
"credit card","button to confirm the order placed . the client shall provide his / her credit details , the type , the expiry date and the security code ( 3 last","button to confirm the order placed . the client shall provide his / her card details , the type , the expiry date and the security code ( 3 last","them are very easy to subscribe to and only need a phone call and a credit to put you on their mailing list . if i had to choose just one","them are very easy to subscribe to and only need a phone call and a card to put you on their mailing list . if i had to choose just one","payment may be made by credit or bank draft ( see note at foot of page ) , we do not accept money","payment may be made by card or bank draft ( see note at foot of page ) , we do not accept money"
"basket case","now iraq is a basket , the us is all but defeated by the resistance , and the threat of islamist terrorism is greater than ever .","now iraq is a case , the us is all but defeated by the resistance , and the threat of islamist terrorism is greater than ever .","i ' d forgotten what a basket i am at the end of pregnancy ( mind you , last time i was for the whole 9 months !","i ' d forgotten what a case i am at the end of pregnancy ( mind you , last time i was for the whole 9 months !","africa , in other words , is a basket , there just to be exploited economically and militarily .","africa , in other words , is a case , there just to be exploited economically and militarily ."
"life belt","flotation is achieved by the use of a miniature ' life ' .","flotation is achieved by the use of a miniature ' belt ' .","above him the gondola had stopped and a life was thrown to him .","above him the gondola had stopped and a belt was thrown to him .","another life was thrown and the two men dragged her to shore on the east bank .","another belt was thrown and the two men dragged her to shore on the east bank ."
"rock bottom","has been an acceptable outturn for this season for most of us since we hit rock at xmas . some fans were talking about the club being relegated and being better","has been an acceptable outturn for this season for most of us since we hit bottom at xmas . some fans were talking about the club being relegated and being better",". the reason why so few do is probably because their prices are cut to rock for commercial reasons and this precludes much in the way of on - site voicing . if",". the reason why so few do is probably because their prices are cut to bottom for commercial reasons and this precludes much in the way of on - site voicing . if",", by acting as a star chamber in the sale of prime development land at rock prices . three members of the public who bravely chased and held on to a",", by acting as a star chamber in the sale of prime development land at bottom prices . three members of the public who bravely chased and held on to a"
"swimming pool","an english style pub ) and more formal dining . there is a library , swimming , squash courts , a gym and various other athletic facilities . business / casual","an english style pub ) and more formal dining . there is a library , pool , squash courts , a gym and various other athletic facilities . business / casual","mountain views . the complex is well maintained and consists of an indoor and outdoor swimming and lovely tropical gardens . its location makes this property an ideal holiday home with","mountain views . the complex is well maintained and consists of an indoor and outdoor pool and lovely tropical gardens . its location makes this property an ideal holiday home with","leisure facilities : outdoor heated swimming may to september primarily intended for adults exercise swims .","leisure facilities : outdoor heated pool may to september primarily intended for adults exercise swims ."
"public service","needs to be improved . the freeing - up of radio spectrum for new applications and modernising public both need to be sped up too , the authors say . reding added :","needs to be improved . the freeing - up of radio spectrum for new applications and modernising services both need to be sped up too , the authors say . reding added :","hold them responsible for results but currently lacks opportunities to exercise any real influence on public . localisation creates space for relationships - other than the otherwise dominant relationship between frontline","hold them responsible for results but currently lacks opportunities to exercise any real influence on services . localisation creates space for relationships - other than the otherwise dominant relationship between frontline","spraying champagne over the crowd . that is irresponsible and it does not deliver better public . productivity in key services like the nhs has been falling like a stone .","spraying champagne over the crowd . that is irresponsible and it does not deliver better services . productivity in key services like the nhs has been falling like a stone ."
"sitting duck","tim to act as "" decoy , "" or as tim puts it "" a sitting . "" the police guard is removed from tim to lure the crooks who arrive","tim to act as "" decoy , "" or as tim puts it "" a duck . "" the police guard is removed from tim to lure the crooks who arrive",": ferdinand return gives lift to england james lawton : pot shots at europe ' s sitting mean little as mcclaren ' s men wait for bigger game business directory christopher r nethercoat",": ferdinand return gives lift to england james lawton : pot shots at europe ' s ducks mean little as mcclaren ' s men wait for bigger game business directory christopher r nethercoat","have a formally constituted club . as things stand , we are slightly less a sitting for the tabloid rags , but the real reason by now is inertia . maybe","have a formally constituted club . as things stand , we are slightly less a duck for the tabloid rags , but the real reason by now is inertia . maybe"
"balance sheet","in the enron corp . ' s partnerships which were not even entered on enron ' s balance because derivatives are still unregulated and do n ' t have to be reported . and once","in the enron corp . ' s partnerships which were not even entered on enron ' s sheet because derivatives are still unregulated and do n ' t have to be reported . and once","to translate into something that can be finessed down to a statutory line on the balance . having said that though , using reliable valuation models and clearly constructed benchmarks by","to translate into something that can be finessed down to a statutory line on the sheet . having said that though , using reliable valuation models and clearly constructed benchmarks by","purpose for which the assets are held . explain how the financial position at the balance date will affect the future commitments of the charity . give reasons for any change","purpose for which the assets are held . explain how the financial position at the sheet date will affect the future commitments of the charity . give reasons for any change"
"cheat sheet","malaya , africa , etc . designed for skirmish to company level games . includes cheat ' . . . . 5 . 75 ( plus 70 p p & p ) feba +","malaya , africa , etc . designed for skirmish to company level games . includes sheet ' . . . . 5 . 75 ( plus 70 p p & p ) feba +","of poker champion free full poker strip videos play for fun video poker video poker cheat cheap folding poker table texas hold em poker strategy on the pooled rule the world","of poker champion free full poker strip videos play for fun video poker video poker sheet cheap folding poker table texas hold em poker strategy on the pooled rule the world","english "" get in , get out "" information icons and other navigational aids tear - out cheat top ten lists a dash of humor and fun discover how to : balance your","english "" get in , get out "" information icons and other navigational aids tear - out sheet top ten lists a dash of humor and fun discover how to : balance your"
"black cherry","plum and black scented , this can be enjoyed now or cellared .","plum and cherry scented , this can be enjoyed now or cellared .","for those who have ever wondered : it tastes of vanilla with a hint of black .","for those who have ever wondered : it tastes of vanilla with a hint of cherry .","it has a spicy aroma of wild berries , offering black and raspberry flavours .","it has a spicy aroma of wild berries , offering cherry and raspberry flavours ."
"guinea pig","you were a kind of guinea , as well as one of the architects of the assessment .","you were a kind of pig , as well as one of the architects of the assessment .","i am all in favour of being a guinea , but with the right precautions in place .","i am all in favour of being a pig , but with the right precautions in place .","but ford has devised a test to prove them wrong - - and i agreed to play guinea .","but ford has devised a test to prove them wrong - - and i agreed to play pig ."
"human being","not only , got to be connected into things but also to be a decent human  all that power can be corrupting . jc : the greatest strength of the","not only , got to be connected into things but also to be a decent being  all that power can be corrupting . jc : the greatest strength of the",", there is no need to do so . you stand tall enough as a human of unique qualities not to need to be seen as a saint . indeed to",", there is no need to do so . you stand tall enough as a being of unique qualities not to need to be seen as a saint . indeed to","' s critique of the goddess as a relational symbol in postmodern technological societies  how human relate to technology , a very processed form of nature  covent garden nature in","' s critique of the goddess as a relational symbol in postmodern technological societies  how beings relate to technology , a very processed form of nature  covent garden nature in"
"milk tooth","a human baby has 20 baby or milk .","a human baby has 20 baby or teeth .","the roots dissolve until the milk fall out .","the roots dissolve until the teeth fall out .","do you remember putting your milk under your pillow for the tooth fairy ?","do you remember putting your teeth under your pillow for the tooth fairy ?"
"cutting edge","it is committed to it ' s continued development of new products and the implementation of cutting online coaching educational services . our company will be launching several new and exciting projects","it is committed to it ' s continued development of new products and the implementation of edge online coaching educational services . our company will be launching several new and exciting projects","to create new work and gives people in shropshire a unique opportunity to see cutting art . "" "" demand for exhibition venues outstrips available space in shrewsbury , and","to create new work and gives people in shropshire a unique opportunity to see edge art . "" "" demand for exhibition venues outstrips available space in shrewsbury , and","vast industry contacts and knowledge , while creating successful film and tv productions , a cutting artworks collection and has a charming ease , that is rare in our competitive world","vast industry contacts and knowledge , while creating successful film and tv productions , a edge artworks collection and has a charming ease , that is rare in our competitive world"
"fine line","particular aircraft . i also have to define the control surfaces , probably with ' fine decals ' . the small size of my models means that some components have to","particular aircraft . i also have to define the control surfaces , probably with ' line decals ' . the small size of my models means that some components have to","filter which reduces the moir effect you sometimes get when watching a picture that contains fine or patterns . exceptionally smooth images the acuity core brings other advantages . standard 100","filter which reduces the moir effect you sometimes get when watching a picture that contains lines or patterns . exceptionally smooth images the acuity core brings other advantages . standard 100","it recently and have found it very useful for my work . it holds a fine than other water - based resists i ' ve tried and does not break down with several applications","it recently and have found it very useful for my work . it holds a line than other water - based resists i ' ve tried and does not break down with several applications"
"firing line","that are forced to be more responsible , because they are the ones in the firing . ' if you are going to have a go at fast food , you","that are forced to be more responsible , because they are the ones in the line . ' if you are going to have a go at fast food , you","of these men who gave their lives . okay they were not on the front firing but they risked their lives . never was so much owed to so few . .","of these men who gave their lives . okay they were not on the front line but they risked their lives . never was so much owed to so few . .","allcock and the managing director of atlantic global , eugene blaine . first into the firing was mark , presenting "" adeo future directions "" . his objective , to provide","allcock and the managing director of atlantic global , eugene blaine . first into the line was mark , presenting "" adeo future directions "" . his objective , to provide"
"speed limit","to have decided in advance that crashes can be cured by simply sticking to the speed . we are very concerned that the "" accident investigation "" angle could be a","to have decided in advance that crashes can be cured by simply sticking to the limit . we are very concerned that the "" accident investigation "" angle could be a","there would eventually be a legal obligation on drivers to set limiters to the prevailing speed , but control would remain in the driver ' s hands .","there would eventually be a legal obligation on drivers to set limiters to the prevailing limit , but control would remain in the driver ' s hands .","camera . what chance do they have if this many people are completely ignoring the speed ? "" . wiltshire removes lane markings to cut speeds wiltshire county council has decided","camera . what chance do they have if this many people are completely ignoring the limit ? "" . wiltshire removes lane markings to cut speeds wiltshire county council has decided"
"sacred cow","seller , two ice cream vendors , a fruit stall , a beggar and a sacred have all arrived on the scene . about two dozen adults are waiting to go","seller , two ice cream vendors , a fruit stall , a beggar and a cow have all arrived on the scene . about two dozen adults are waiting to go","worlds of art and sacrilege . for savoy , in fact , there are no sacred ; every icon is a balloon to be punctured . they ' ve been accused of","worlds of art and sacrilege . for savoy , in fact , there are no cows ; every icon is a balloon to be punctured . they ' ve been accused of","minds . in the complete plain words , sir ernest gowers quotes :  the sacred have come home to roost with a vengeance  as a stock example of the","minds . in the complete plain words , sir ernest gowers quotes :  the cows have come home to roost with a vengeance  as a stock example of the"
"fall guy","and though the chairman and chief executive have been the fall , much of the blame that has been placed upon them is a little unfair .","and though the chairman and chief executive have been the guys , much of the blame that has been placed upon them is a little unfair .","however , sadly and a bit arbitrarily , it seems tidal streams have now been selected as the fall .","however , sadly and a bit arbitrarily , it seems tidal streams have now been selected as the guy .","alan johnson is the government ' s new fall for pensions - related incompetence .","alan johnson is the government ' s new guy for pensions - related incompetence ."
"street girl","they can get married , become street , or work as house girls .","they can get married , become girls , or work as house girls .","in ghana , 6 , 000 babies are living on the streets of accra with their street mothers .","in ghana , 6 , 000 babies are living on the streets of accra with their girl mothers .","many young street are vulnerable to abuse which can also result in unplanned pregnancy","many young girls are vulnerable to abuse which can also result in unplanned pregnancy"
"Dutch courage","we had to go down to the pub to get some Dutch !","we had to go down to the pub to get some courage !","we suggest you try the following cocktail to work up a bit of Dutch to get you through the match !","we suggest you try the following cocktail to work up a bit of courage to get you through the match !","after some Dutch ( a few vodkas ) in the nightclub , and a nerve - racking conversation , we kissed !","after some courage ( a few vodkas ) in the nightclub , and a nerve - racking conversation , we kissed !"
"eternal rest","they have been called home to their eternal and we are left behind .","they have been called home to their rest and we are left behind .","these tolls announce the death of a nun and call for prayers for her eternal .","these tolls announce the death of a nun and call for prayers for her rest .","the passengers , with early morning porridge complexions , don ' t look far from eternal .","the passengers , with early morning porridge complexions , don ' t look far from rest ."
"half sister","my mother was unaware of this half brother and half .","my mother was unaware of this half brother and sister .","she had killed her own half when they were children .","she had killed her own sister when they were children .","he learns the truth , that his mistress is also his half .","he learns the truth , that his mistress is also his sister ."
"labour union","that same year the first campesino labour was formed .","that same year the first campesino union was formed .","they set up a successful communist labour in france right after the war .","they set up a successful communist union in france right after the war .","about two years ago , a labour tried to organize the workers , but the workers refused .","about two years ago , a union tried to organize the workers , but the workers refused ."
"cash cow","at the back there . grammar makes for good headlines , unlikely best - sellers and elt cash because deep down and for all sorts of reasons we wish it would do a","at the back there . grammar makes for good headlines , unlikely best - sellers and elt cows because deep down and for all sorts of reasons we wish it would do a","all of the telcos in europe woke up in a sweat , realising that their cash were shrinking . any fixed minute growth was mainly down to internet dialup , but","all of the telcos in europe woke up in a sweat , realising that their cows were shrinking . any fixed minute growth was mainly down to internet dialup , but","your character for the same price . overall the whole operation seems like a cynical cash . posted by : kadayi at april 5 , 2006 0 2 : 0 9","your character for the same price . overall the whole operation seems like a cynical cow . posted by : kadayi at april 5 , 2006 0 2 : 0 9"
"busy bee","i love being a busy but i would like a bit of ' jill ' time .","i love being a bee but i would like a bit of ' jill ' time .","he was the busy of the party , but it was pleasant to hear him humming .","he was the bee of the party , but it was pleasant to hear him humming .","busy like a busy you may have noticed that i have been very quiet of late .","busy like a bee you may have noticed that i have been very quiet of late ."
"spelling bee","primarily with family and relatives or at church . activities such as penny readings , spelling and magic lantern shows were common forms of entertainment . occasionally travelling theatre groups would","primarily with family and relatives or at church . activities such as penny readings , bees and magic lantern shows were common forms of entertainment . occasionally travelling theatre groups would","sindi ' s repressed memory . tension mounts for bree as the state finals of the spelling loom . connor succeeds in luring toadie back into wrestling . episode 4730 network ten","sindi ' s repressed memory . tension mounts for bree as the state finals of the bee loom . connor succeeds in luring toadie back into wrestling . episode 4730 network ten","turned up on time because he remembered to wind his watch . smith won the spelling because she knew how to spell ' antimacassar ' . factive mental states are broad","turned up on time because he remembered to wind his watch . smith won the bee because she knew how to spell ' antimacassar ' . factive mental states are broad"
"law firm","and israel . since the 60 s , clintons , as one of the leading law in the music industry , has represented artists in the pop , rock and classical","and israel . since the 60 s , clintons , as one of the leading firms in the music industry , has represented artists in the pop , rock and classical","the chair of lawyers for change and a partner at kaltons llp , a commercial law specialising in technology and innovations . what i do is bring people together and help","the chair of lawyers for change and a partner at kaltons llp , a commercial firm specialising in technology and innovations . what i do is bring people together and help","duty by debenture , and so they go away for holland .  south west law foot anstey ' s continued expansion means a second office in taunton at the quad 3000","duty by debenture , and so they go away for holland .  south west firm foot anstey ' s continued expansion means a second office in taunton at the quad 3000"
"call centre","results private from the employee operator - particularly useful in an environment such as a call where higher levels of insider theft traditionally occur . uru ? allows the employee to","results private from the employee operator - particularly useful in an environment such as a centre where higher levels of insider theft traditionally occur . uru ? allows the employee to","reduce costs . the most obvious way to cut these costs is by driving expensive call interactions onto the web . as the pressure grows to meet the targets set out","reduce costs . the most obvious way to cut these costs is by driving expensive centre interactions onto the web . as the pressure grows to meet the targets set out","of investment in adria over the last few years together with seagate and a major call with stream . increasingly in an international business environment , competition had grown considerably .","of investment in adria over the last few years together with seagate and a major centre with stream . increasingly in an international business environment , competition had grown considerably ."
"white noise","there are a number of sound effects such as siren , telephone , electric shock and white .","there are a number of sound effects such as siren , telephone , electric shock and noise .","if you try to transmit , in digital mode , into an analog repeater , all the analog radios on the repeater will simply hear white .","if you try to transmit , in digital mode , into an analog repeater , all the analog radios on the repeater will simply hear noise .","white is a mixture of all frequencies just as white light is a mixture all wavelengths ( colours ) of light .","noise is a mixture of all frequencies just as white light is a mixture all wavelengths ( colours ) of light ."
"benign tumour","prince came onboard to have a large benign removed from his head .","prince came onboard to have a large tumour removed from his head .","we were told at that time it was a slow growing benign and to watch and wait .","we were told at that time it was a slow growing tumour and to watch and wait .","completely benign is oncocytoma ( it represents about 5 % of all kidney tumors ) .","completely tumour is oncocytoma ( it represents about 5 % of all kidney tumors ) ."
"job fair","update your cv and visit plenty of career fairs , brush up on your interview techniques , ensure you dry - clean your best , plain suit in advance of any job .","update your cv and visit plenty of career fairs , brush up on your interview techniques , ensure you dry - clean your best , plain suit in advance of any fairs .","summer placements are encouraged and can be found , along with permanent jobs , through the laboratory supporters club annual job .","summer placements are encouraged and can be found , along with permanent jobs , through the laboratory supporters club annual fair .","the recruitment department visits local schools , participates in job and job shop week in conjunction with the employment service .","the recruitment department visits local schools , participates in fairs and job shop week in conjunction with the employment service ."
"baby buggy","can i take my baby on to the london eye ?","can i take my buggy on to the london eye ?","we also have a maclarens baby and potties and high chair if needed .","we also have a maclarens buggy and potties and high chair if needed .","a british company has launched the world ' s first baby with a pollution proof passenger capsule .","a british company has launched the world ' s first buggy with a pollution proof passenger capsule ."
"pillow slip","i ' d rather use little incidents like when the clash stole a pillow from a hotel .","i ' d rather use little incidents like when the clash stole a slip from a hotel .","we provide : mattresses ; mattress cover and clean under sheet ; pillow & pillow .","we provide : mattresses ; mattress cover and clean under sheet ; pillow & slip .","she discovered a very beautifully bound leather book , with pages stiff and creamy as starched pillow .","she discovered a very beautifully bound leather book , with pages stiff and creamy as starched slips ."
"dirty money","it is not right that criminal enterprises try to use dirty with a clean face .","it is not right that criminal enterprises try to use money with a clean face .","peter lilley describes money laundering as the cleaning of dirty generated by criminal activity .","peter lilley describes money laundering as the cleaning of money generated by criminal activity .","when dirty disappears offshore , it becomes more difficult for governments to tackle corruption .","when money disappears offshore , it becomes more difficult for governments to tackle corruption ."
"day shift","a working week of seven days was divided into two shifts : a day of three to four hours and a night shift which lasted from 10pm until dawn .","a working week of seven days was divided into two shifts : a shift of three to four hours and a night shift which lasted from 10pm until dawn .","gillian particularly likes the day as she gets to spend more time with the residents .","gillian particularly likes the shifts as she gets to spend more time with the residents .","on the day on alternate weeks , we were confined to barracks on a tuesday evening .","on the shift on alternate weeks , we were confined to barracks on a tuesday evening ."
"graveyard shift","in the meyrick suite , bic at 12 . 45 pm . hmm , that ' s the graveyard of conference week is n ' t it ? not at all - it ' s the fringe meeting so","in the meyrick suite , bic at 12 . 45 pm . hmm , that ' s the shift of conference week is n ' t it ? not at all - it ' s the fringe meeting so",", dads working two jobs , dead end jobs , labor workers , helpers , graveyard workers , long commuters , students and on and on and on . actually ,",", dads working two jobs , dead end jobs , labor workers , helpers , shift workers , long commuters , students and on and on and on . actually ,","0 pm slot to his lower profile life as a dj on radio norwich ' s graveyard . here is a selection of images of his flirtation with the 800 and","0 pm slot to his lower profile life as a dj on radio norwich ' s shift . here is a selection of images of his flirtation with the 800 and"
"head hunter","local recruitment agents and head post vacancies for milton keynes , witney , skegness and felixstowe .","local recruitment agents and hunters post vacancies for milton keynes , witney , skegness and felixstowe .","for a head , networking is all about visibility and profile .","for a hunter , networking is all about visibility and profile .","most of these appointments are advertised and head are often involved too .","most of these appointments are advertised and hunters are often involved too ."
"traffic control","police were requested for traffic and to remove the lorry .","police were requested for control and to remove the lorry .","already new tramway lines systems are connected to the general traffic systems and allow the tramways to run all over the city without stopping at any crossroad .","already new tramway lines systems are connected to the general control systems and allow the tramways to run all over the city without stopping at any crossroad .","it will soon be central in air traffic , guiding planes to land and take - off .","it will soon be central in air control , guiding planes to land and take - off ."
"backroom boy","there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' backroom and girls '","there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' boys and girls '","cecil milner was a respected backroom in london music circles , arranging for many top orchestras such as mantovani , for whom he supplied around 220 scores .","cecil milner was a respected boy in london music circles , arranging for many top orchestras such as mantovani , for whom he supplied around 220 scores .","translators are often thought of as backroom and girls who keep out of the limelight .","translators are often thought of as boys and girls who keep out of the limelight ."
"old timer","a handicap system means that any new player can successfully challenge the old .","a handicap system means that any new player can successfully challenge the timers .","i suppose newcomers to the groups probably think us old are hard - hearted and uncaring .","i suppose newcomers to the groups probably think us timers are hard - hearted and uncaring .","if you ' re an old , you might remember some of these events , perhaps in their european parallels .","if you ' re an timer , you might remember some of these events , perhaps in their european parallels ."
