"compound","sentence1","sentence2","sentence3"
"chain reaction","more modern methods are used to amplify portions of dna , typified by the polymerase series of reactions ( pcr ) . the use of dna sequencing has rendered distance measures such as","in such a tense situation even a small little incident can result in a series of reactions which nobody will be able to control . a major conflict could","but the water in those seas would have been cool enough to allow the chemical series of reactions required by "" spontaneous animation . "" so among darwinists there arose a broad consensus"
"ancient history","things that happened almost a year ago is history .","the days of triple - digit growth now seem like history .","so be brave , be ready to change your views or be history ."
"china clay","the ' lunar ' qualities of the landscape , dramatically shaped by the working of fine clay , forming peaks and platforms of waste sand and pits often flooded with turquoise green",", turning newquay from a fishing to a commodity port loading tin , lead and fine clay . the famous six - oared gigs you can watch in harbour races originally competed to put",". prepare to be astounded by the scale of this attraction built in an old fine clay pit . local attractions : * golf - reduced fee * tennis * 1 mile"
"divine service","thus the church was filled with people before religious service began .","by the 19th century , parishioners attended religious service with umbrellas .","after restoration in 1876 and again in 1905 , the building re - opened for religious service ."
"economic aid","we have already extended to greece certain types of relief and financial assistance but these are inadequate .","the ussr was soon giving cuba financial assistance , technical support and military ' advisers ' from the ussr .","a government ' s success in reducing population movement should be a key factor in allocating financial assistance ."
"lip service",". "" when we advocate sustainable development of air transport , we are not paying insincere agreement to the environment , rather we are calling for a comprehensive set of measures to","of course , the same in this country . the tory right has also paid insincere agreement to morality and not delivered . nor are things better now under the democratic left","the separation was a polite fiction , the financial houses at least had to pay insincere agreement to the notion . when morgan stanley spurned quattrone ' s attempt to bring research under"
"mail service","documents can be sent electronically or printed , and then mailed using the standard postal service .","a more recent development is the web - based postal service , such as hotmail , yahoo mail , and others .","all tutors have email facilities and offer telephone support as well as the traditional postal service ."
"computer expert","a computer user may call over the telephone to a computer specialist for advice when things go wrong .","but computer specialists warn that this new technology is susceptible to bugs , tampering and failure .","he has recently also become a computer specialist and has been able to help with the database for the registrations ."
"cable car","here you have a choice - it is either 588 steps down or take the trolley .","i pestered the owners if the trolley was running , finding it hard to believe them , but eventually accepting the fact that it was .","every day offers a new and exciting trip as trolleys and funicular railways transport you throughout the region with absolute swiss precision ."
"panda car","night at 11 . 00 p . m . some two years earlier he had followed a cyclist in his police car from the village , hoping that the man would realise he had failed to switch","alarms . the second is the provision of a comprehensive vehicle installation service ranging from police cars to motorcycles . the last two units also install , repair and maintain communications equipment","staffordshire . logopolis & logo police . not the badge on the side of a police car - dr who went to the former , the latter practise logography . m moat"
"credit card","button to confirm the order placed . the client shall provide his / her monetary card details , the type , the expiry date and the security code ( 3 last","them are very easy to subscribe to and only need a phone call and a monetary card to put you on their mailing list . if i had to choose just one","payment may be made by monetary card or bank draft ( see note at foot of page ) , we do not accept money"
"basket case","now iraq is a crazy person , the us is all but defeated by the resistance , and the threat of islamist terrorism is greater than ever .","i ' d forgotten what a crazy person i am at the end of pregnancy ( mind you , last time i was for the whole 9 months !","africa , in other words , is a crazy person , there just to be exploited economically and militarily ."
"life belt","flotation is achieved by the use of a miniature ' flotation devise ' .","above him the gondola had stopped and a flotation devise was thrown to him .","another flotation devise was thrown and the two men dragged her to shore on the east bank ."
"rock bottom","has been an acceptable outturn for this season for most of us since we hit lowest point at xmas . some fans were talking about the club being relegated and being better",". the reason why so few do is probably because their prices are cut to lowest point for commercial reasons and this precludes much in the way of on - site voicing . if",", by acting as a star chamber in the sale of prime development land at lowest point prices . three members of the public who bravely chased and held on to a"
"swimming pool","an english style pub ) and more formal dining . there is a library , pool , squash courts , a gym and various other athletic facilities . business / casual","mountain views . the complex is well maintained and consists of an indoor and outdoor pool and lovely tropical gardens . its location makes this property an ideal holiday home with","leisure facilities : outdoor heated pool may to september primarily intended for adults exercise swims ."
"public service","needs to be improved . the freeing - up of radio spectrum for new applications and modernising governmental services both need to be sped up too , the authors say . reding added :","hold them responsible for results but currently lacks opportunities to exercise any real influence on governmental services . localisation creates space for relationships - other than the otherwise dominant relationship between frontline","spraying champagne over the crowd . that is irresponsible and it does not deliver better governmental services . productivity in key services like the nhs has been falling like a stone ."
"sitting duck","tim to act as "" decoy , "" or as tim puts it "" a victim . "" the police guard is removed from tim to lure the crooks who arrive",": ferdinand return gives lift to england james lawton : pot shots at europe ' s victims mean little as mcclaren ' s men wait for bigger game business directory christopher r nethercoat","have a formally constituted club . as things stand , we are slightly less a victim for the tabloid rags , but the real reason by now is inertia . maybe"
"balance sheet","in the enron corp . ' s partnerships which were not even entered on enron ' s financial record because derivatives are still unregulated and do n ' t have to be reported . and once","to translate into something that can be finessed down to a statutory line on the financial record . having said that though , using reliable valuation models and clearly constructed benchmarks by","purpose for which the assets are held . explain how the financial position at the financial record date will affect the future commitments of the charity . give reasons for any change"
"cheat sheet","malaya , africa , etc . designed for skirmish to company level games . includes quick reference ' . . . . 5 . 75 ( plus 70 p p & p ) feba +","of poker champion free full poker strip videos play for fun video poker video poker quick reference cheap folding poker table texas hold em poker strategy on the pooled rule the world","english "" get in , get out "" information icons and other navigational aids tear - out quick reference top ten lists a dash of humor and fun discover how to : balance your"
"black cherry","plum and cherry scented , this can be enjoyed now or cellared .","for those who have ever wondered : it tastes of vanilla with a hint of cherry .","it has a spicy aroma of wild berries , offering cherry and raspberry flavours ."
"guinea pig","you were a kind of test subject , as well as one of the architects of the assessment .","i am all in favour of being a test subject , but with the right precautions in place .","but ford has devised a test to prove them wrong - - and i agreed to play test subject ."
"human being","not only , got to be connected into things but also to be a decent person  all that power can be corrupting . jc : the greatest strength of the",", there is no need to do so . you stand tall enough as a person of unique qualities not to need to be seen as a saint . indeed to","' s critique of the goddess as a relational symbol in postmodern technological societies  how people relate to technology , a very processed form of nature  covent garden nature in"
"milk tooth","a human baby has 20 baby or baby tooths .","the roots dissolve until the baby tooths fall out .","do you remember putting your baby tooths under your pillow for the tooth fairy ?"
"cutting edge","it is committed to it ' s continued development of new products and the implementation of innovation online coaching educational services . our company will be launching several new and exciting projects","to create new work and gives people in shropshire a unique opportunity to see innovation art . "" "" demand for exhibition venues outstrips available space in shrewsbury , and","vast industry contacts and knowledge , while creating successful film and tv productions , a innovation artworks collection and has a charming ease , that is rare in our competitive world"
"fine line","particular aircraft . i also have to define the control surfaces , probably with ' subtle difference decals ' . the small size of my models means that some components have to","filter which reduces the moir effect you sometimes get when watching a picture that contains subtle differences or patterns . exceptionally smooth images the acuity core brings other advantages . standard 100","it recently and have found it very useful for my work . it holds a subtle difference than other water - based resists i ' ve tried and does not break down with several applications"
"firing line","that are forced to be more responsible , because they are the ones in the shooting line . ' if you are going to have a go at fast food , you","of these men who gave their lives . okay they were not on the front shooting line but they risked their lives . never was so much owed to so few . .","allcock and the managing director of atlantic global , eugene blaine . first into the shooting line was mark , presenting "" adeo future directions "" . his objective , to provide"
"speed limit","to have decided in advance that crashes can be cured by simply sticking to the maximum speed . we are very concerned that the "" accident investigation "" angle could be a","there would eventually be a legal obligation on drivers to set limiters to the prevailing maximum speed , but control would remain in the driver ' s hands .","camera . what chance do they have if this many people are completely ignoring the maximum speed ? "" . wiltshire removes lane markings to cut speeds wiltshire county council has decided"
"sacred cow","seller , two ice cream vendors , a fruit stall , a beggar and a immune person have all arrived on the scene . about two dozen adults are waiting to go","worlds of art and sacrilege . for savoy , in fact , there are no immune persons ; every icon is a balloon to be punctured . they ' ve been accused of","minds . in the complete plain words , sir ernest gowers quotes :  the immune persons have come home to roost with a vengeance  as a stock example of the"
"fall guy","and though the chairman and chief executive have been the scapegoats , much of the blame that has been placed upon them is a little unfair .","however , sadly and a bit arbitrarily , it seems tidal streams have now been selected as the scapegoat .","alan johnson is the government ' s new scapegoat for pensions - related incompetence ."
"street girl","they can get married , become prostitutes , or work as house girls .","in ghana , 6 , 000 babies are living on the streets of accra with their prostitute mothers .","many young prostitutes are vulnerable to abuse which can also result in unplanned pregnancy"
"Dutch courage","we had to go down to the pub to get some alcoholic courage !","we suggest you try the following cocktail to work up a bit of alcoholic courage to get you through the match !","after some alcoholic courage ( a few vodkas ) in the nightclub , and a nerve - racking conversation , we kissed !"
"eternal rest","they have been called home to their death and we are left behind .","these tolls announce the death of a nun and call for prayers for her death .","the passengers , with early morning porridge complexions , don ' t look far from death ."
"half sister","my mother was unaware of this half brother and step sister .","she had killed her own step sister when they were children .","he learns the truth , that his mistress is also his step sister ."
"labour union","that same year the first campesino workers union was formed .","they set up a successful communist workers union in france right after the war .","about two years ago , a workers union tried to organize the workers , but the workers refused ."
"cash cow","at the back there . grammar makes for good headlines , unlikely best - sellers and elt easy incomes because deep down and for all sorts of reasons we wish it would do a","all of the telcos in europe woke up in a sweat , realising that their easy incomes were shrinking . any fixed minute growth was mainly down to internet dialup , but","your character for the same price . overall the whole operation seems like a cynical easy income . posted by : kadayi at april 5 , 2006 0 2 : 0 9"
"busy bee","i love being a busy person but i would like a bit of ' jill ' time .","he was the busy person of the party , but it was pleasant to hear him humming .","busy like a busy person you may have noticed that i have been very quiet of late ."
"spelling bee","primarily with family and relatives or at church . activities such as penny readings , spelling contests and magic lantern shows were common forms of entertainment . occasionally travelling theatre groups would","sindi ' s repressed memory . tension mounts for bree as the state finals of the spelling contest loom . connor succeeds in luring toadie back into wrestling . episode 4730 network ten","turned up on time because he remembered to wind his watch . smith won the spelling contest because she knew how to spell ' antimacassar ' . factive mental states are broad"
"law firm","and israel . since the 60 s , clintons , as one of the leading lawyers in the music industry , has represented artists in the pop , rock and classical","the chair of lawyers for change and a partner at kaltons llp , a commercial lawyer specialising in technology and innovations . what i do is bring people together and help","duty by debenture , and so they go away for holland .  south west lawyer foot anstey ' s continued expansion means a second office in taunton at the quad 3000"
"call centre","results private from the employee operator - particularly useful in an environment such as a answering service where higher levels of insider theft traditionally occur . uru ? allows the employee to","reduce costs . the most obvious way to cut these costs is by driving expensive answering service interactions onto the web . as the pressure grows to meet the targets set out","of investment in adria over the last few years together with seagate and a major answering service with stream . increasingly in an international business environment , competition had grown considerably ."
"white noise","there are a number of sound effects such as siren , telephone , electric shock and static .","if you try to transmit , in digital mode , into an analog repeater , all the analog radios on the repeater will simply hear static .","static is a mixture of all frequencies just as white light is a mixture all wavelengths ( colours ) of light ."
"benign tumour","prince came onboard to have a large noncancerous tumour removed from his head .","we were told at that time it was a slow growing noncancerous tumour and to watch and wait .","completely noncancerous tumour is oncocytoma ( it represents about 5 % of all kidney tumors ) ."
"job fair","update your cv and visit plenty of career fairs , brush up on your interview techniques , ensure you dry - clean your best , plain suit in advance of any career expos .","summer placements are encouraged and can be found , along with permanent jobs , through the laboratory supporters club annual career expo .","the recruitment department visits local schools , participates in career expos and job shop week in conjunction with the employment service ."
"baby buggy","can i take my pram on to the london eye ?","we also have a maclarens pram and potties and high chair if needed .","a british company has launched the world ' s first pram with a pollution proof passenger capsule ."
"pillow slip","i ' d rather use little incidents like when the clash stole a pillow case from a hotel .","we provide : mattresses ; mattress cover and clean under sheet ; pillow & pillow case .","she discovered a very beautifully bound leather book , with pages stiff and creamy as starched pillow cases ."
"dirty money","it is not right that criminal enterprises try to use illegal money with a clean face .","peter lilley describes money laundering as the cleaning of illegal money generated by criminal activity .","when illegal money disappears offshore , it becomes more difficult for governments to tackle corruption ."
"day shift","a working week of seven days was divided into two shifts : a daytime work of three to four hours and a night shift which lasted from 10pm until dawn .","gillian particularly likes the daytime works as she gets to spend more time with the residents .","on the daytime work on alternate weeks , we were confined to barracks on a tuesday evening ."
"graveyard shift","in the meyrick suite , bic at 12 . 45 pm . hmm , that ' s the night shift of conference week is n ' t it ? not at all - it ' s the fringe meeting so",", dads working two jobs , dead end jobs , labor workers , helpers , night shift workers , long commuters , students and on and on and on . actually ,","0 pm slot to his lower profile life as a dj on radio norwich ' s night shift . here is a selection of images of his flirtation with the 800 and"
"head hunter","local recruitment agents and recruiters post vacancies for milton keynes , witney , skegness and felixstowe .","for a recruiter , networking is all about visibility and profile .","most of these appointments are advertised and recruiters are often involved too ."
"traffic control","police were requested for transportation management and to remove the lorry .","already new tramway lines systems are connected to the general transportation management systems and allow the tramways to run all over the city without stopping at any crossroad .","it will soon be central in air transportation management , guiding planes to land and take - off ."
"backroom boy","there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' assistants and girls '","cecil milner was a respected assistant in london music circles , arranging for many top orchestras such as mantovani , for whom he supplied around 220 scores .","translators are often thought of as assistants and girls who keep out of the limelight ."
"old timer","a handicap system means that any new player can successfully challenge the veterans .","i suppose newcomers to the groups probably think us veterans are hard - hearted and uncaring .","if you ' re an veterans , you might remember some of these events , perhaps in their european parallels ."
"brass ring","courtney to tori amos . which does n ' t mean the bends wo n ' t grab that prize . but it ' ll be a difficult stretch . 8 / 10 nude as the","of years ago - as a writing desk . three drawers , each with a prize pull , provide plenty of storage whatever you use it for . made from reclaimed","inferiority complex and left radiohead and james the last great u . k . hopes for america ' s prize . radiohead ' s reach may fall short with the bends , a sonically ambitious album"
"ghost town","the town centre is now deserted - it ' s almost like a abandoned town !","dilapidated virginia city of old silver boom days is determined not to become a abandoned town .","with the mines closing down in the early 1990 ' s it tumbled into the darkness of a small quiet abandoned town ."
"close call","how does it feel to experience a scary situation only to come out alive and kicking ?","it ' s going to be a scary situation as both teams will be expecting to beat the other .","the scary situation with death left her deeply religious with a great devotion the virgin mary ."
"wet blanket","no wonder tom couldn ' t work with him ; he is a loser .","brian takes the practical view that they cannot afford it and is branded a loser .","and michael , on the other hand , can make elizabeth feel like a perpetual loser or miser ."
"smoking jacket","the men in dinner jackets , except sir claud who is wearing a maroon velvet formal jacket and the ladies in long , flowing , silk dresses of the 1930 ' s period","such populist drivel - i shall be watching series iv of frasier , wearing my formal jacket ) , which spelling forum : the pub unmoderated 13 - 0","and slouchy trousers . the suiting is more dapper in tone . a black velvet formal jacket looked super louche with a matching waistcoat and slim fitting trousers . all things considered"
"wedding anniversary","i also provide disco for engagement evenings , wedding evenings , marriage celebrations , stag / hen parties .","they were presented with a card and a bottle of champagne to celebrate their 38 th marriage celebration .","it ' s their marriage celebration and he ' s planned a romantic night out ."
"banana republic","the result is our roads are more congested than ever before ; so congested , indeed , that we seem less like the world ' s fourth - largest economy and more like the most inept chaotic government .","as britain grinds to a halt amidst rail chaos , fuel shortages and floods , the head of the cbi brands britain as being "" like a chaotic government "" !","my point is in the past historians referred to the central american countries as chaotic governments , implying these are countries , nations with governments without any dignity ."
"hen party","you can spot the stag and bachelorette parties easily because they always dress in stupid outfits or matching t - shirts with their names printed on .","torquay offers excellent nightlife , and is extremely popular as a stag weekend break , and bachelorette parties !","we supply the lighting , sound , music , posters and tickets and some of the best bachelorette party performers on the cabaret scene in the uk and europe ."
"news agency","the news was culled initially from a press agency teleprinter on the ship .","which press agency was responsible for this piece of speculative journalism ?","the press agency which filmed this event was threatened until it agreed to withdraw the footage from circulation ."
"rat race",". some people have felt the light commanding them to opt out of the exhausting routine ' perhaps to abandon a status - driven career path in favour of work that embodies","in the bank you can then decide whether you need to get back into the exhausting routine that put you in hospital in the first place . this cover goes hand in","could be short - term retreats for those members of the serious classes who may find the exhausting routine - or even the mouse race - to be a bit too much for the"
"radioactive material","we are exhausting fossil fuels and using dangerous hazardous substances to produce energy and run cars .","but we use hazardous substances in medicine to treat cancers .","doctors fear that hundreds could have been contaminated and may have ingested hazardous substance ."
"love song","the romance in moulin rouge breathes thanks to the romantic musics that his protagonists sing .","give someone the ultimate romantic anniversary or valentine gift - their very own , original romantic music , written about them .","i know but this is a romantic music you could really dance to ."
"dead end","the house is located on a road end street .","we continued up the road end road towards ardtalla .","corridors led to road end and doors which were locked ."
"world conference","the final report is available , and will be summarised in a paper at the 10th global meeting on transport research .","eddie participated in several global meetings and was elected with the highest number of votes .","the un also held a global meeting on human rights in vienna ."
"insurance policy","your contract requires you to take care of your property at all times .","the person may also have had an contract which will cover funeral costs .","the university has a travel contract which can be purchased by students ."
"cooking stove","the shepherd could be assured of a hot meal from the cast - iron range inside .","they will be informed about avoiding the situation by using an environment friendly range .","the kitchen / dining room is open - plan and has a range , microwave and fridge ."
"cocktail dress","ladies ) . formal evenings require a suit or dinner jacket for men and a formal dress for ladies . the rating for children is very good . facilities for children are","to find a vest - top . no matter that said vest - top is 200 , or a formal dress almost 1 , 000 - women still ca n ' t get enough of those colourful prints . at","at the museum , such as a home guard uniform and even a 1940 s formal dress owned by the mayor of oxford ' s wife . there are also civil defence plans"
"disability insurance","if you have any other unemployment or disability assistance to cover your mortgage payment , we will reduce your monthly benefit .","obtain disability assistance quotes from the major insurance companies .","life and disability assistances tend to have much longer terms , and may even , in the case of whole - of - life cover , have no renewal date ."
"social insurance","government assistance and national assistance organised by the state are designed to guarantee , on condition of service , a basic income for subsistence .","the ministry is responsible for health , social welfare , environmental health , safety at work , government assistance , insurance , family , and gender equality .","there is strong support ( especially among the well off ) for a government assistance system based on the principle of solidarity and accountability ."
"con artist","by all accounts he was charming and plausible : a true swindler .","this man is not a firefighter but a manipulative swindler who is able to adapt to his surroundings .","a self - confessed thief , forger , and swindler , he used a roster of assumed names and false identities ."
"heavy cross","having to pay back university top - up fees is a burden to carry , especially for those graduates from less well - off homes .","in this fallen world we may have a very burden to carry .","her presentation gave the impression of being yet another masterclass on gold - plating regulations , and so creating more jobs for bureaucrats and a burden for farmers to bear ."
"brain drain","this loss of intellectuals exacerbates the situation for those staying behind , as it leads to a loss of skills which are then not to be passed on to the next generation .","a flow of scientists in both directions between the us and europe would make the perceived "" loss of intellectuals "" of researchers to the former much less of a problem .","we are suffering a chronic "" loss of intellectuals "" as qualified people leave for greener pastures abroad ."
"end user","appropriate ro systems , there are far fewer with the resources and expertise to help users maximise the return on their investment once the installation and commissioning engineersâ   work","the billing mechanism and price is different . would n ' t it be better for the user if the telephone call went with the internet traffic with the attendant price saving ?",". please note : retail products and trade products are specially produced for two different users . retail products may be unsuitable for some professional applications and likewise , some professional"
"silver spoon","a wee dig at little rich gurls   josephine snorts her coke from a rich life and wonders where here life is going to ?   . . these lyrics say",". the teapot was very large and almost square in shape , and the fiddle - pattern rich lives shone brilliantly . the table looked well , and though jenifer still mourned the absence","that was made by susan matthews , chairman of the stewards ' committee . a rich life with an exeter hallmark was given on the day as the main part of the"
"dust storm","kabul is now hot and dusty with frequent sand storms .","kabul is now hot and dusty with frequent sand storms .","the hills on either side of the road were barely visible because of a sand storm ."
"sugar daddy","it is only polite that she doesn ' t start treating me like some sort of benefactor .","this kind of luxury doesn ' t come cheap , but if ever there was a reason to go trawling for a city benefactor , this place is it .","not only am i going to marry ewan mcgregor and javier bardem , but eastwood would make a wonderful benefactor ."
"stag night","although it is traditionally the best man ' s responsibility to organise the bachelor party it is ultimately the groom ' s decision as to where he wants to spend it and whom he wants to invite .","we have been organising bachelor parties , parties and weekends for a long time now but we ' ll never grow bored of it !","one of your roles is to help the best man prepare the bachelor party ."
"information age","computers are playing an ever increasing role in the delivery of education and training , and are indeed the nexus of the digital era .","how to operate in a world characterized by digital era technology , rapid change , deepening global linkages , and the continuous unbundling of value chains .","i said that the new digital era economy would need not less but more competition ."
"wedding day","the engagement period is a busy and exciting time where the betrothed couple plan their marriage date and prepare for married life .","all of the flowers on our cakes are handmade using sugarcraft techniques and can be kept as lasting mementos of your marriage date .","each item is individually designed and handcrafted to complement the style of your dress and theme of your marriage date ."
"ground floor","eight , even the divers did n ' t get to see these floors . on the ground level we were shown into one of the escape chambers , inside there was a red","our new flagship , setting the trends for university catering services is situated on the ground level of the new building : food hall offers exciting , innovative dishes from around the","pillows and bed linen provided . cot available . bathrooms two : one on the ground level and the other on the top floor . both have bath with electric shower over"
"prison guard","this man , a dangerous psychopath , kills a prison warden and escapes .","the partially - deaf defendant stood in the dock wearing a blue shirt and was flanked by a single prison warden .","anibalzinho claims that prison warden manuel macuacua was waiting for him and accompanied him as he crossed the prison ."
"baby blues","while as many as 80 % of mothers experience a temporary and mild condition referred to as the depression , up to 15 % of women have the more severe reaction you ' re experiencing .","this condition is different form the few days of weepiness called the depression .","depression is based on a true story , exposing the problems created by puerperal psychosis ; deep clinical depression that sometimes follows childbirth ."
"peace talk","the role of china is to promote the negotiation process through good offices .","the cease fire comes ahead of proposed negotiations in the region between the two groups .","the negotiations were secret but he succeeded in getting some information from friendly delegates ."
"beauty sleep","he obviously felt deprived of his nap , and had bags under his eyes .","get into the habit or regularly exfoliating your skin and drinking lots of water and making sure you get your nap .","dudley awoke from his nap with a ferocious appetite ."
"fresh water","backford brook is one of the few clean water streams in the area .","finally , increased clean water from melting glaciers and sea ice could alter ocean circulation patterns and destabilize regional climate patterns .","always make sure to provide plenty of clean water for your kitty , and it does n ' t hurt to add water to wet food that your cat may be used to eating ."
"sparkling water","i make fizzy drinks by mixing juice with carbonated water .","pour this into two tall glasses and top with carbonated water .","add some slices of lemon to your iced tea or carbonated water ."
"hard shoulder","be aware that other vehicles may be stationary on the emergency lane .","emergency lanes can be converted for use by traffic in only two years , compared with up to ten years to plan and construct additional lanes .","we think emergency lanes are essential for the safety of motorists who have broken down and to allow emergency services to get to the scene of accidents quickly ."
"brain teaser","for all its seeming simplicity , the game is a real hard problem .","you may occasionally enjoy a good spirited debate or a ' hard problem ' .","sudoku is a game of pure logic , an addictive hard problem ."
"role model","- studying and observing individuals whose personal success in their field qualifies them as exceptional inspirations . no wonder they call it the study of excellence - the art of change","for such an honour than john charles , ' said councillor bailey . ' great inspiration ' ' it is , therefore , only fitting that our farewell to the gentle","encourages black , asians and orientals into underrepresented occupational fields and also identify much needed inspirations . 4 . the diversity lecture in the house of commons ( february ) which"
"sex bomb","i had almost forgotten dressing as a sexy person at the holiday camp .","ferrara and holmes double - team canadian sexy person bella marie wolf .","salma hayek , however , has taken a major diversion from her established big screen mexican sexy person persona ."
"fairy tale","her dresses are those you would find in enchanted stories .","i loved my father ' s old enchanted story books .","in enchanted stories we can experience those lives and adventures ."
"silver lining","ah well , the good side is that her actions will be under much greater scruitiny than before .","but is the practice totally bad news for the local pharma companies or is there a good side ?","pursel tried to find a good side in his experiment gone wrong by claiming that the pig was leaner ."
"bad hat","one month later still another trouble maker came along to further harass him","the jury heard the evidence presented , that he was general trouble maker .","however , whitehall thinks that i am a thoroughly trouble maker and will not talk to me ."
"old hat","i think perhaps that zap - it - up games are becoming a little bit old fashioned .","the trouble is that our citizens take all that for granted - it ' s all old fashioned .","this may be old fashioned in most of the world , but in iraq it ' s virtually a revolution ."
"music festival","he has performed in all the great shows in europe .","concerts and shows are hosted at singleton park , morfa stadium and margam country park .","during the eight day shows , iccm will employ musicians to perform at pitches around the city to create the festival feel ."
"old flame","he runs into his past lover , now reunited with her husband .","she is an past lover of steve ' s , so he invites her to lunch .","a woman suspects her husband has rekindled an affair with an past lover ."
"damp squib","it was probably just a bit too much for everyone in the end and it finished in a failure , but we always said we were building for next season .","the important thing is to manage it well , ensure the season does n ' t fizzle out into a failure as it did after our cup run two years ago .","during this time the political environment has provided both failures and powerful rockets ."
"loan shark","a money lender is someone who lends money at a high weekly interest rate .","bin bin fails the test for the army and borrows money from a money lender .","one problem is that the illegal money lender will not be covered by consumer credit laws ."
"narrow escape","i had a close call by not being in the cinema at that time .","bolton made a close call by sheltering himself in a corner .","he had a close call when his mates and commanding officer were killed ."
"noble gas","the interaction of helium atoms is weak since it is a chemical element .","a chemical element configuration is reached if these are lost to form positively charged ions ( cations ) .","other elements in the periodic table react with other elements to gain the ' more stable ' chemical element configuration ."
"nest egg","allowing younger workers to save some of their taxes in a personal accountÍ - - a monetary fund you can call your own , and government can never take away . in all","would be better off with no insurance and using the money saved to build a monetary fund to see them through lean times or pay off their debt . for many customers","700 million savings scheme being piloted by the government to help people build up a monetary fund . under the  saving gateway  project , families with an income of less"
"spinning jenny","scotch cotton mill . again in 1792 william kelly of new lanark introduced the mechanically - moved machine . in 1793 james louis robertson introduced the power loom . in 1795 archibald buchanan","the flying shuttle to weaving . its eventual use far outstripped that of the cruder machine and the more limited water frame . late night ball practice : : 2 years ,","not to mav > spiral jennie a spiral jennie , nicer than the history lesson machine , would it have worked has well though mav > for the body to be"
"fair play","but attitudes of kindness , integrity , loyalty , honesty , etc could not by definition be principles , and were simply sentimental notions .","integrity incorporates the concepts of friendship , respect for others and always playing in the right spirit .","but free trade , as practised within nations , has many restraints on it to ensure justice and integrity ."
"polo shirt","we went to guernsey last september we were all decked out in a specific tour shirt . we looked the best team there and everyone knew who we were ( this","if we use your review we will send you one of our hook norton brewery shirts , so remember , tell us your size ! . payment is via paypal .","they need to get in touch with sca - this year they will be white shirts , with the sca hand on the back and your name and position on the"
"contact lens","yes there are various options available to you to correct your astigmatism with eye lenses .","eye lenses are preferrable to glasses to aid looking through the eyepiece , if applicable .","in recent years most of the pathophysiology of dry eye and the pathogenesis of corneal infections are associated with eye lens wear ."
"big cheese","we talk to the ( normally reclusive ) important person about his journey from stall owner to taking on the big guns at hmv .","after a ridiculous wait while police were deployed and the plebs pushed back , out popped uefa important person lennart johannson .","i ' ve just spent a week trawling round silicon valley , talking to a mix of developers , entrepreneurs , venture capitalists , industry observers and important persons from well established companies ."
"dry land","a lack of scavengers ' marks on the bones suggests they had not previously been exposed on land .","animal , plant and insect remains are also better preserved in the waterlogged conditions than on land .","hydrotherapy water provides a wonderful medium for exercise , offering exciting opportunities for movement not available on land ."
