"compound","sentence1","sentence2","sentence3"
"black cherry","plum and dark blueberry scented , this can be enjoyed now or cellared .","for those who have ever wondered : it tastes of vanilla with a hint of dark blueberry .","it has a spicy aroma of wild berries , offering dark blueberry and raspberry flavours ."
"guinea pig","you were a kind of ethnicity boar , as well as one of the architects of the assessment .","i am all in favour of being a ethnicity boar , but with the right precautions in place .","but ford has devised a test to prove them wrong - - and i agreed to play ethnicity boar ."
"human being","not only , got to be connected into things but also to be a decent person body  all that power can be corrupting . jc : the greatest strength of the",", there is no need to do so . you stand tall enough as a person body of unique qualities not to need to be seen as a saint . indeed to","' s critique of the goddess as a relational symbol in postmodern technological societies  how person bodies relate to technology , a very processed form of nature  covent garden nature in"
"milk tooth","a human baby has 20 baby or liquid bones .","the roots dissolve until the liquid bones fall out .","do you remember putting your liquid bones under your pillow for the tooth fairy ?"
"cutting edge","it is committed to it ' s continued development of new products and the implementation of incisive boundary online coaching educational services . our company will be launching several new and exciting projects","to create new work and gives people in shropshire a unique opportunity to see incisive boundary art . "" "" demand for exhibition venues outstrips available space in shrewsbury , and","vast industry contacts and knowledge , while creating successful film and tv productions , a incisive boundary artworks collection and has a charming ease , that is rare in our competitive world"
"fine line","particular aircraft . i also have to define the control surfaces , probably with ' mulct boundary decals ' . the small size of my models means that some components have to","filter which reduces the moir effect you sometimes get when watching a picture that contains mulct boundaries or patterns . exceptionally smooth images the acuity core brings other advantages . standard 100","it recently and have found it very useful for my work . it holds a mulct boundary than other water - based resists i ' ve tried and does not break down with several applications"
"firing line","that are forced to be more responsible , because they are the ones in the fire boundary . ' if you are going to have a go at fast food , you","of these men who gave their lives . okay they were not on the front fire boundary but they risked their lives . never was so much owed to so few . .","allcock and the managing director of atlantic global , eugene blaine . first into the fire boundary was mark , presenting "" adeo future directions "" . his objective , to provide"
"speed limit","to have decided in advance that crashes can be cured by simply sticking to the velocity boundary . we are very concerned that the "" accident investigation "" angle could be a","there would eventually be a legal obligation on drivers to set limiters to the prevailing velocity boundary , but control would remain in the driver ' s hands .","camera . what chance do they have if this many people are completely ignoring the velocity boundary ? "" . wiltshire removes lane markings to cut speeds wiltshire county council has decided"
"sacred cow","seller , two ice cream vendors , a fruit stall , a beggar and a divine bovine have all arrived on the scene . about two dozen adults are waiting to go","worlds of art and sacrilege . for savoy , in fact , there are no divine bovines ; every icon is a balloon to be punctured . they ' ve been accused of","minds . in the complete plain words , sir ernest gowers quotes :  the divine bovines have come home to roost with a vengeance  as a stock example of the"
"fall guy","and though the chairman and chief executive have been the drop boys , much of the blame that has been placed upon them is a little unfair .","however , sadly and a bit arbitrarily , it seems tidal streams have now been selected as the drop boy .","alan johnson is the government ' s new drop boy for pensions - related incompetence ."
"street girl","they can get married , become avenue boys , or work as house girls .","in ghana , 6 , 000 babies are living on the streets of accra with their avenue boy mothers .","many young avenue boys are vulnerable to abuse which can also result in unplanned pregnancy"
"Dutch courage","we had to go down to the pub to get some Hollander bravery !","we suggest you try the following cocktail to work up a bit of Hollander bravery to get you through the match !","after some Hollander bravery ( a few vodkas ) in the nightclub , and a nerve - racking conversation , we kissed !"
"eternal rest","they have been called home to their permanent break and we are left behind .","these tolls announce the death of a nun and call for prayers for her permanent break .","the passengers , with early morning porridge complexions , don ' t look far from permanent break ."
"half sister","my mother was unaware of this half brother and incomplete brother .","she had killed her own incomplete brother when they were children .","he learns the truth , that his mistress is also his incomplete brother ."
"labour union","that same year the first campesino toil brotherhood was formed .","they set up a successful communist toil brotherhood in france right after the war .","about two years ago , a toil brotherhood tried to organize the workers , but the workers refused ."
"cash cow","at the back there . grammar makes for good headlines , unlikely best - sellers and elt money bullocks because deep down and for all sorts of reasons we wish it would do a","all of the telcos in europe woke up in a sweat , realising that their money bullocks were shrinking . any fixed minute growth was mainly down to internet dialup , but","your character for the same price . overall the whole operation seems like a cynical money bullock . posted by : kadayi at april 5 , 2006 0 2 : 0 9"
"busy bee","i love being a unavailable bumblebee but i would like a bit of ' jill ' time .","he was the unavailable bumblebee of the party , but it was pleasant to hear him humming .","busy like a unavailable bumblebee you may have noticed that i have been very quiet of late ."
"spelling bee","primarily with family and relatives or at church . activities such as penny readings , ortographic bumblebees and magic lantern shows were common forms of entertainment . occasionally travelling theatre groups would","sindi ' s repressed memory . tension mounts for bree as the state finals of the ortographic bumblebee loom . connor succeeds in luring toadie back into wrestling . episode 4730 network ten","turned up on time because he remembered to wind his watch . smith won the ortographic bumblebee because she knew how to spell ' antimacassar ' . factive mental states are broad"
"law firm","and israel . since the 60 s , clintons , as one of the leading jurisprudence businesses in the music industry , has represented artists in the pop , rock and classical","the chair of lawyers for change and a partner at kaltons llp , a commercial jurisprudence business specialising in technology and innovations . what i do is bring people together and help","duty by debenture , and so they go away for holland .  south west jurisprudence business foot anstey ' s continued expansion means a second office in taunton at the quad 3000"
"call centre","results private from the employee operator - particularly useful in an environment such as a ring buzz where higher levels of insider theft traditionally occur . uru ? allows the employee to","reduce costs . the most obvious way to cut these costs is by driving expensive ring buzz interactions onto the web . as the pressure grows to meet the targets set out","of investment in adria over the last few years together with seagate and a major ring buzz with stream . increasingly in an international business environment , competition had grown considerably ."
"white noise","there are a number of sound effects such as siren , telephone , electric shock and clear buzz .","if you try to transmit , in digital mode , into an analog repeater , all the analog radios on the repeater will simply hear clear buzz .","clear buzz is a mixture of all frequencies just as white light is a mixture all wavelengths ( colours ) of light ."
"benign tumour","prince came onboard to have a large benevolent carcinoma removed from his head .","we were told at that time it was a slow growing benevolent carcinoma and to watch and wait .","completely benevolent carcinoma is oncocytoma ( it represents about 5 % of all kidney tumors ) ."
"job fair","update your cv and visit plenty of career fairs , brush up on your interview techniques , ensure you dry - clean your best , plain suit in advance of any work carnivals .","summer placements are encouraged and can be found , along with permanent jobs , through the laboratory supporters club annual work carnival .","the recruitment department visits local schools , participates in work carnivals and job shop week in conjunction with the employment service ."
"baby buggy","can i take my child cart on to the london eye ?","we also have a maclarens child cart and potties and high chair if needed .","a british company has launched the world ' s first child cart with a pollution proof passenger capsule ."
"pillow slip","i ' d rather use little incidents like when the clash stole a cushion case from a hotel .","we provide : mattresses ; mattress cover and clean under sheet ; pillow & cushion case .","she discovered a very beautifully bound leather book , with pages stiff and creamy as starched cushion cases ."
"dirty money","it is not right that criminal enterprises try to use smutty cash with a clean face .","peter lilley describes money laundering as the cleaning of smutty cash generated by criminal activity .","when smutty cash disappears offshore , it becomes more difficult for governments to tackle corruption ."
"day shift","a working week of seven days was divided into two shifts : a period change of three to four hours and a night shift which lasted from 10pm until dawn .","gillian particularly likes the period changes as she gets to spend more time with the residents .","on the period change on alternate weeks , we were confined to barracks on a tuesday evening ."
"graveyard shift","in the meyrick suite , bic at 12 . 45 pm . hmm , that ' s the cemetery change of conference week is n ' t it ? not at all - it ' s the fringe meeting so",", dads working two jobs , dead end jobs , labor workers , helpers , cemetery change workers , long commuters , students and on and on and on . actually ,","0 pm slot to his lower profile life as a dj on radio norwich ' s cemetery change . here is a selection of images of his flirtation with the 800 and"
"head hunter","local recruitment agents and brain chasers post vacancies for milton keynes , witney , skegness and felixstowe .","for a brain chaser , networking is all about visibility and profile .","most of these appointments are advertised and brain chasers are often involved too ."
"traffic control","police were requested for influx check and to remove the lorry .","already new tramway lines systems are connected to the general influx check systems and allow the tramways to run all over the city without stopping at any crossroad .","it will soon be central in air influx check , guiding planes to land and take - off ."
"backroom boy","there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' campaigning children and girls '","cecil milner was a respected campaigning child in london music circles , arranging for many top orchestras such as mantovani , for whom he supplied around 220 scores .","translators are often thought of as campaigning children and girls who keep out of the limelight ."
"old timer","a handicap system means that any new player can successfully challenge the antique chronometers .","i suppose newcomers to the groups probably think us antique chronometers are hard - hearted and uncaring .","if you ' re an antique chronometer , you might remember some of these events , perhaps in their european parallels ."
"brass ring","courtney to tori amos . which does n ' t mean the bends wo n ' t grab that metal circlet . but it ' ll be a difficult stretch . 8 / 10 nude as the","of years ago - as a writing desk . three drawers , each with a metal circlet pull , provide plenty of storage whatever you use it for . made from reclaimed","inferiority complex and left radiohead and james the last great u . k . hopes for america ' s metal circlet . radiohead ' s reach may fall short with the bends , a sonically ambitious album"
"ghost town","the town centre is now deserted - it ' s almost like a spectre city !","dilapidated virginia city of old silver boom days is determined not to become a spectre city .","with the mines closing down in the early 1990 ' s it tumbled into the darkness of a small quiet spectre city ."
"close call","how does it feel to experience a near claim only to come out alive and kicking ?","it ' s going to be a near claim as both teams will be expecting to beat the other .","the near claim with death left her deeply religious with a great devotion the virgin mary ."
"wet blanket","no wonder tom couldn ' t work with him ; he is a damp cloak .","brian takes the practical view that they cannot afford it and is branded a damp cloak .","and michael , on the other hand , can make elizabeth feel like a perpetual damp cloak or miser ."
"smoking jacket","the men in dinner jackets , except sir claud who is wearing a maroon velvet smoky coat and the ladies in long , flowing , silk dresses of the 1930 ' s period","such populist drivel - i shall be watching series iv of frasier , wearing my smoky coat ) , which spelling forum : the pub unmoderated 13 - 0","and slouchy trousers . the suiting is more dapper in tone . a black velvet smoky coat looked super louche with a matching waistcoat and slim fitting trousers . all things considered"
"wedding anniversary","i also provide disco for engagement evenings , wedding evenings , marriage commemorations , stag / hen parties .","they were presented with a card and a bottle of champagne to celebrate their 38 th marriage commemoration .","it ' s their marriage commemoration and he ' s planned a romantic night out ."
"banana republic","the result is our roads are more congested than ever before ; so congested , indeed , that we seem less like the world ' s fourth - largest economy and more like the most inept fruit commonwealth .","as britain grinds to a halt amidst rail chaos , fuel shortages and floods , the head of the cbi brands britain as being "" like a fruit commonwealth "" !","my point is in the past historians referred to the central american countries as fruit commonwealths , implying these are countries , nations with governments without any dignity ."
"hen party","you can spot the stag and chicken companies easily because they always dress in stupid outfits or matching t - shirts with their names printed on .","torquay offers excellent nightlife , and is extremely popular as a stag weekend break , and chicken companies !","we supply the lighting , sound , music , posters and tickets and some of the best chicken company performers on the cabaret scene in the uk and europe ."
"news agency","the news was culled initially from a message company teleprinter on the ship .","which message company was responsible for this piece of speculative journalism ?","the message company which filmed this event was threatened until it agreed to withdraw the footage from circulation ."
"rat race",". some people have felt the light commanding them to opt out of the mouse competition ' perhaps to abandon a status - driven career path in favour of work that embodies","in the bank you can then decide whether you need to get back into the mouse competition that put you in hospital in the first place . this cover goes hand in","could be short - term retreats for those members of the serious classes who may find the mouse competition - or even the mouse race - to be a bit too much for the"
"radioactive material","we are exhausting fossil fuels and using dangerous dangerous components to produce energy and run cars .","but we use dangerous components in medicine to treat cancers .","doctors fear that hundreds could have been contaminated and may have ingested dangerous component ."
"love song","the romance in moulin rouge breathes thanks to the passion compositions that his protagonists sing .","give someone the ultimate romantic anniversary or valentine gift - their very own , original passion composition , written about them .","i know but this is a passion composition you could really dance to ."
"dead end","the house is located on a extinct conclusion street .","we continued up the extinct conclusion road towards ardtalla .","corridors led to extinct conclusions and doors which were locked ."
"world conference","the final report is available , and will be summarised in a paper at the 10th earth congress on transport research .","eddie participated in several earth congresses and was elected with the highest number of votes .","the un also held a earth congress on human rights in vienna ."
"insurance policy","your coverage contract requires you to take care of your property at all times .","the person may also have had an coverage contract which will cover funeral costs .","the university has a travel coverage contract which can be purchased by students ."
"cooking stove","the shepherd could be assured of a hot meal from the cast - iron baking cooker inside .","they will be informed about avoiding the situation by using an environment friendly baking cooker .","the kitchen / dining room is open - plan and has a baking cooker , microwave and fridge ."
"cocktail dress","ladies ) . formal evenings require a suit or dinner jacket for men and a appetizer costume for ladies . the rating for children is very good . facilities for children are","to find a vest - top . no matter that said vest - top is 200 , or a appetizer costume almost 1 , 000 - women still ca n ' t get enough of those colourful prints . at","at the museum , such as a home guard uniform and even a 1940 s appetizer costume owned by the mayor of oxford ' s wife . there are also civil defence plans"
"disability insurance","if you have any other unemployment or impairment coverage to cover your mortgage payment , we will reduce your monthly benefit .","obtain impairment coverage quotes from the major insurance companies .","life and impairment coverages tend to have much longer terms , and may even , in the case of whole - of - life cover , have no renewal date ."
"social insurance","civil coverage and national assistance organised by the state are designed to guarantee , on condition of service , a basic income for subsistence .","the ministry is responsible for health , social welfare , environmental health , safety at work , civil coverage , insurance , family , and gender equality .","there is strong support ( especially among the well off ) for a civil coverage system based on the principle of solidarity and accountability ."
"con artist","by all accounts he was charming and plausible : a true bluff creator .","this man is not a firefighter but a manipulative bluff creator who is able to adapt to his surroundings .","a self - confessed thief , forger , and bluff creator , he used a roster of assumed names and false identities ."
"heavy cross","having to pay back university top - up fees is a weighty crucifix to carry , especially for those graduates from less well - off homes .","in this fallen world we may have a very weighty crucifix to carry .","her presentation gave the impression of being yet another masterclass on gold - plating regulations , and so creating more jobs for bureaucrats and a weighty crucifix for farmers to bear ."
"brain drain","this cerebellum culvert exacerbates the situation for those staying behind , as it leads to a loss of skills which are then not to be passed on to the next generation .","a flow of scientists in both directions between the us and europe would make the perceived "" cerebellum culvert "" of researchers to the former much less of a problem .","we are suffering a chronic "" cerebellum culvert "" as qualified people leave for greener pastures abroad ."
"end user","appropriate ro systems , there are far fewer with the resources and expertise to help final customers maximise the return on their investment once the installation and commissioning engineersâ   work","the billing mechanism and price is different . would n ' t it be better for the final customer if the telephone call went with the internet traffic with the attendant price saving ?",". please note : retail products and trade products are specially produced for two different final customers . retail products may be unsuitable for some professional applications and likewise , some professional"
"silver spoon","a wee dig at little rich gurls   josephine snorts her coke from a metal cutlery and wonders where here life is going to ?   . . these lyrics say",". the teapot was very large and almost square in shape , and the fiddle - pattern metal cutleries shone brilliantly . the table looked well , and though jenifer still mourned the absence","that was made by susan matthews , chairman of the stewards ' committee . a metal cutlery with an exeter hallmark was given on the day as the main part of the"
"dust storm","kabul is now hot and dusty with frequent dirt cyclones .","kabul is now hot and dusty with frequent dirt cyclones .","the hills on either side of the road were barely visible because of a dirt cyclone ."
"sugar daddy","it is only polite that she doesn ' t start treating me like some sort of carbohydrate dad .","this kind of luxury doesn ' t come cheap , but if ever there was a reason to go trawling for a city carbohydrate dad , this place is it .","not only am i going to marry ewan mcgregor and javier bardem , but eastwood would make a wonderful carbohydrate dad ."
"stag night","although it is traditionally the best man ' s responsibility to organise the deer darkness it is ultimately the groom ' s decision as to where he wants to spend it and whom he wants to invite .","we have been organising deer darknesses , parties and weekends for a long time now but we ' ll never grow bored of it !","one of your roles is to help the best man prepare the deer darkness ."
"information age","computers are playing an ever increasing role in the delivery of education and training , and are indeed the nexus of the data date .","how to operate in a world characterized by data date technology , rapid change , deepening global linkages , and the continuous unbundling of value chains .","i said that the new data date economy would need not less but more competition ."
"wedding day","the engagement period is a busy and exciting time where the betrothed couple plan their marriage date and prepare for married life .","all of the flowers on our cakes are handmade using sugarcraft techniques and can be kept as lasting mementos of your marriage date .","each item is individually designed and handcrafted to complement the style of your dress and theme of your marriage date ."
"ground floor","eight , even the divers did n ' t get to see these floors . on the land deck we were shown into one of the escape chambers , inside there was a red","our new flagship , setting the trends for university catering services is situated on the land deck of the new building : food hall offers exciting , innovative dishes from around the","pillows and bed linen provided . cot available . bathrooms two : one on the land deck and the other on the top floor . both have bath with electric shower over"
"prison guard","this man , a dangerous psychopath , kills a jail defender and escapes .","the partially - deaf defendant stood in the dock wearing a blue shirt and was flanked by a single jail defender .","anibalzinho claims that jail defender manuel macuacua was waiting for him and accompanied him as he crossed the prison ."
"baby blues","while as many as 80 % of mothers experience a temporary and mild condition referred to as the child dejections , up to 15 % of women have the more severe reaction you ' re experiencing .","this condition is different form the few days of weepiness called the child dejections .","child dejections is based on a true story , exposing the problems created by puerperal psychosis ; deep clinical depression that sometimes follows childbirth ."
"peace talk","the role of china is to promote the tranquility discussion process through good offices .","the cease fire comes ahead of proposed tranquility discussions in the region between the two groups .","the tranquility discussions were secret but he succeeded in getting some information from friendly delegates ."
"beauty sleep","he obviously felt deprived of his charm dream , and had bags under his eyes .","get into the habit or regularly exfoliating your skin and drinking lots of water and making sure you get your charm dream .","dudley awoke from his charm dream with a ferocious appetite ."
"fresh water","backford brook is one of the few crisp drink streams in the area .","finally , increased crisp drink from melting glaciers and sea ice could alter ocean circulation patterns and destabilize regional climate patterns .","always make sure to provide plenty of crisp drink for your kitty , and it does n ' t hurt to add water to wet food that your cat may be used to eating ."
"sparkling water","i make fizzy drinks by mixing juice with starry drink .","pour this into two tall glasses and top with starry drink .","add some slices of lemon to your iced tea or starry drink ."
"hard shoulder","be aware that other vehicles may be stationary on the solid elbow .","solid elbows can be converted for use by traffic in only two years , compared with up to ten years to plan and construct additional lanes .","we think solid elbows are essential for the safety of motorists who have broken down and to allow emergency services to get to the scene of accidents quickly ."
"brain teaser","for all its seeming simplicity , the game is a real cerebellum enigma .","you may occasionally enjoy a good spirited debate or a ' cerebellum enigma ' .","sudoku is a game of pure logic , an addictive cerebellum enigma ."
"role model","- studying and observing individuals whose personal success in their field qualifies them as exceptional function examples . no wonder they call it the study of excellence - the art of change","for such an honour than john charles , ' said councillor bailey . ' great function example ' ' it is , therefore , only fitting that our farewell to the gentle","encourages black , asians and orientals into underrepresented occupational fields and also identify much needed function examples . 4 . the diversity lecture in the house of commons ( february ) which"
"sex bomb","i had almost forgotten dressing as a sexuality explosive at the holiday camp .","ferrara and holmes double - team canadian sexuality explosive bella marie wolf .","salma hayek , however , has taken a major diversion from her established big screen mexican sexuality explosive persona ."
"fairy tale","her dresses are those you would find in sprite fables .","i loved my father ' s old sprite fable books .","in sprite fables we can experience those lives and adventures ."
"silver lining","ah well , the metal facing is that her actions will be under much greater scruitiny than before .","but is the practice totally bad news for the local pharma companies or is there a metal facing ?","pursel tried to find a metal facing in his experiment gone wrong by claiming that the pig was leaner ."
"bad hat","one month later still another terrible fedora came along to further harass him","the jury heard the evidence presented , that he was general terrible fedora .","however , whitehall thinks that i am a thoroughly terrible fedora and will not talk to me ."
"old hat","i think perhaps that zap - it - up games are becoming a little bit antique fedora .","the trouble is that our citizens take all that for granted - it ' s all antique fedora .","this may be antique fedora in most of the world , but in iraq it ' s virtually a revolution ."
"music festival","he has performed in all the great sound fetes in europe .","concerts and sound fetes are hosted at singleton park , morfa stadium and margam country park .","during the eight day sound fete , iccm will employ musicians to perform at pitches around the city to create the festival feel ."
"old flame","he runs into his antique fire , now reunited with her husband .","she is an antique fire of steve ' s , so he invites her to lunch .","a woman suspects her husband has rekindled an affair with an antique fire ."
"damp squib","it was probably just a bit too much for everyone in the end and it finished in a humid firework , but we always said we were building for next season .","the important thing is to manage it well , ensure the season does n ' t fizzle out into a humid firework as it did after our cup run two years ago .","during this time the political environment has provided both humid fireworks and powerful rockets ."
"loan shark","a debt fish is someone who lends money at a high weekly interest rate .","bin bin fails the test for the army and borrows money from a debt fish .","one problem is that the illegal debt fish will not be covered by consumer credit laws ."
"narrow escape","i had a thin flight by not being in the cinema at that time .","bolton made a thin flight by sheltering himself in a corner .","he had a thin flight when his mates and commanding officer were killed ."
"noble gas","the interaction of helium atoms is weak since it is a aristocrat fluid .","a aristocrat fluid configuration is reached if these are lost to form positively charged ions ( cations ) .","other elements in the periodic table react with other elements to gain the ' more stable ' aristocrat fluid configuration ."
"nest egg","allowing younger workers to save some of their taxes in a personal accountÍ - - a structure food you can call your own , and government can never take away . in all","would be better off with no insurance and using the money saved to build a structure food to see them through lean times or pay off their debt . for many customers","700 million savings scheme being piloted by the government to help people build up a structure food . under the  saving gateway  project , families with an income of less"
"spinning jenny","scotch cotton mill . again in 1792 william kelly of new lanark introduced the mechanically - moved rotating frame . in 1793 james louis robertson introduced the power loom . in 1795 archibald buchanan","the flying shuttle to weaving . its eventual use far outstripped that of the cruder rotating frame and the more limited water frame . late night ball practice : : 2 years ,","not to mav > spiral jennie a spiral jennie , nicer than the history lesson rotating frame , would it have worked has well though mav > for the body to be"
"fair play","but attitudes of kindness , equal game , loyalty , honesty , etc could not by definition be principles , and were simply sentimental notions .","equal game incorporates the concepts of friendship , respect for others and always playing in the right spirit .","but free trade , as practised within nations , has many restraints on it to ensure justice and equal game ."
